hero,para,rate,matches
arc-warden,10.30,40.10,14360
huskar,10.01,42.83,80223
lycan,6.55,41.61,13176
naga-siren,6.30,41.29,13985
tinker,5.56,42.48,62834
broodmother,5.52,34.56,11900
drow-ranger,5.00,46.12,89658
alchemist,4.54,43.35,55728
death-prophet,4.00,41.05,20799
razor,3.93,39.88,30185
undying,3.85,44.91,18652
terrorblade,3.73,43.30,21037
brewmaster,3.51,41.60,10565
magnus,3.34,40.73,31767
faceless-void,3.33,41.57,70756
enchantress,3.29,34.11,13511
leshrac,3.28,39.69,10321
clinkz,3.28,39.66,36377
sven,3.12,48.54,82605
batrider,3.11,38.94,17733
lone-druid,2.82,33.98,8628
outworld-devourer,2.80,43.91,58751
natures-prophet,2.76,35.23,30275
meepo,2.74,41.38,22531
luna,2.72,48.66,49732
tiny,2.64,38.83,36516
clockwerk,2.55,44.11,24565
templar-assassin,2.44,38.95,26706
anti-mage,2.24,40.75,97350
nyx-assassin,1.85,43.49,46048
lifestealer,1.79,42.25,52567
beastmaster,1.75,39.84,10661
bane,1.74,39.23,16811
gyrocopter,1.70,38.01,18139
timbersaw,1.48,42.09,62878
sniper,1.29,44.71,91309
phantom-lancer,1.27,38.77,28347
night-stalker,1.23,43.14,24270
kunkka,1.08,41.15,60292
ember-spirit,0.77,34.82,27189
sand-king,0.58,42.38,54115
queen-of-pain,0.55,35.33,29207
vengeful-spirit,0.53,45.19,26118
dark-seer,0.53,42.31,17651
lina,0.50,37.35,29122
viper,0.45,41.78,32725
dragon-knight,0.34,42.19,26589
shadow-fiend,0.28,40.46,47985
juggernaut,0.26,42.76,119728
slardar,0.21,43.88,54557
chaos-knight,0.20,43.01,24421
invoker,0.14,39.45,116052
phantom-assassin,0.11,44.98,159822
ursa,0.10,47.09,53385
axe,-0.02,45.11,92411
legion-commander,-0.06,41.71,102556
bounty-hunter,-0.07,38.80,50652
centaur-warrunner,-0.10,47.86,32774
pudge,-0.11,45.37,141611
storm-spirit,-0.14,41.80,65963
zeus,-0.38,46.93,44095
underlord,-0.45,46.84,24501
doom,-0.54,36.11,16191
earthshaker,-0.58,42.35,38215
slark,-0.66,43.21,124063
bloodseeker,-0.68,42.81,60794
pugna,-0.71,38.79,15603
weaver,-0.76,41.48,39604
elder-titan,-1.03,46.59,15200
riki,-1.10,46.41,76207
mirana,-1.23,44.01,85359
troll-warlord,-1.31,41.74,28604
windranger,-1.35,37.43,48875
enigma,-1.38,43.95,19120
puck,-1.55,36.32,25262
spectre,-1.65,46.83,44392
venomancer,-1.67,43.38,21380
bristleback,-1.83,40.51,39654
visage,-1.90,36.56,7087
tusk,-2.03,34.30,15879
necrophos,-2.09,46.46,41890
treant-protector,-2.31,44.98,13612
medusa,-2.43,43.28,35337
spirit-breaker,-2.46,44.05,51387
silencer,-2.66,45.03,31666
ogre-magi,-2.74,45.51,33950
warlock,-2.79,46.77,16120
shadow-shaman,-3.02,43.95,21408
earth-spirit,-3.14,33.84,9890
lich,-3.27,45.68,19168
witch-doctor,-3.36,41.15,23113
abaddon,-3.39,46.88,24027
jakiro,-3.85,44.07,15293
omniknight,-4.20,50.68,37063
dazzle,-4.26,42.47,20470
wraith-king,-4.30,46.40,60781
winter-wyvern,-4.46,37.03,12067
morphling,-4.57,39.07,64132
lion,-4.67,38.63,38816
rubick,-4.89,36.97,26496
disruptor,-5.16,41.35,18241
phoenix,-6.66,41.09,14964
skywrath-mage,-6.71,36.76,18891
crystal-maiden,-6.89,44.47,30613
tidehunter,-7.76,39.79,36127
ancient-apparition,-8.61,39.43,19796
keeper-of-the-light,-9.22,38.87,15202
shadow-demon,-12.00,34.02,13262
chen,-18.81,28.35,4674
techies,-20.07,30.90,15035
io,-26.02,22.58,7404
