hero,para,rate,matches
omniknight,7.62,42.93,222176
axe,6.76,50.77,357364
abaddon,6.47,47.02,93231
timbersaw,6.32,54.51,231632
morphling,5.91,54.88,232849
wraith-king,5.61,46.69,221749
dazzle,4.67,50.58,114131
oracle,4.29,59.87,60382
anti-mage,4.16,55.14,330451
bristleback,4.12,53.61,144759
centaur-warrunner,3.24,46.22,114284
ursa,3.18,47.08,188232
treant-protector,3.15,48.10,55480
tidehunter,3.05,51.08,118138
dragon-knight,2.51,51.95,89398
naga-siren,2.30,55.24,42856
slark,2.27,50.32,420004
lion,2.26,53.43,229564
winter-wyvern,1.92,55.12,56266
underlord,1.72,46.40,95155
storm-spirit,1.61,51.69,243330
dark-seer,1.59,51.45,56984
kunkka,1.51,52.84,239673
jakiro,1.48,47.53,76207
slardar,1.48,49.63,194663
ancient-apparition,1.48,50.29,89934
phoenix,1.41,49.35,65631
clockwerk,1.20,50.29,79682
vengeful-spirit,1.17,48.28,124187
ogre-magi,0.93,46.31,178029
necrophos,0.67,45.53,198558
ember-spirit,0.61,58.90,87612
troll-warlord,0.60,50.73,105627
meepo,0.54,52.79,77480
riki,0.39,45.93,324950
lich,0.31,45.59,94470
mirana,0.29,48.26,370656
razor,0.22,54.61,107106
shadow-demon,0.18,54.29,77494
gyrocopter,0.16,55.63,58093
terrorblade,0.13,51.06,62861
doom,0.12,56.74,60922
faceless-void,0.12,52.62,248430
bane,0.05,54.32,73888
keeper-of-the-light,0.03,49.91,89175
juggernaut,0.02,50.07,419890
elder-titan,-0.15,45.54,62126
legion-commander,-0.17,50.92,440657
rubick,-0.19,53.87,157317
viper,-0.22,51.03,121755
pudge,-0.31,47.11,609220
leshrac,-0.32,54.26,32026
batrider,-0.37,54.93,55302
tiny,-0.41,54.84,129159
chaos-knight,-0.48,49.54,82582
crystal-maiden,-0.53,44.67,184779
medusa,-0.56,48.06,135568
magnus,-0.72,53.02,111038
spectre,-0.74,44.73,155898
sven,-0.75,45.26,298026
lone-druid,-0.80,59.68,29110
brewmaster,-0.94,52.10,29066
disruptor,-0.98,48.61,105117
night-stalker,-1.02,49.58,82919
sand-king,-1.04,50.07,204859
lycan,-1.17,53.15,39197
shadow-shaman,-1.21,46.78,114926
io,-1.24,62.14,24384
chen,-1.25,57.43,14079
witch-doctor,-1.25,49.51,130113
shadow-fiend,-1.27,51.76,179469
undying,-1.32,48.81,69835
invoker,-1.36,52.70,455695
lina,-1.39,54.99,130397
phantom-lancer,-1.44,53.80,93380
earthshaker,-1.45,49.39,183813
techies,-1.46,53.40,56475
beastmaster,-1.48,52.88,34261
weaver,-1.58,50.14,139035
visage,-1.73,54.69,18128
tusk,-1.75,57.04,59856
natures-prophet,-1.80,57.77,110739
skywrath-mage,-1.80,52.45,87867
spirit-breaker,-1.82,46.64,204722
bloodseeker,-2.01,48.60,252456
earth-spirit,-2.09,56.92,36921
bounty-hunter,-2.09,52.88,215579
death-prophet,-2.23,52.15,71422
windranger,-2.24,53.71,190342
queen-of-pain,-2.50,56.47,98646
phantom-assassin,-2.52,46.55,562313
lifestealer,-2.77,49.82,198326
huskar,-2.81,52.39,168773
enchantress,-2.83,58.49,47646
alchemist,-2.84,49.83,189234
warlock,-2.86,43.29,80331
venomancer,-2.91,47.16,94702
broodmother,-2.96,58.69,33148
drow-ranger,-3.48,47.06,315843
puck,-3.53,54.08,88938
clinkz,-3.78,52.40,124190
luna,-4.03,43.48,187022
zeus,-4.34,43.59,182184
templar-assassin,-4.41,52.44,87782
enigma,-4.67,45.86,79417
nyx-assassin,-4.69,47.66,248663
silencer,-5.19,44.01,180165
tinker,-5.80,49.49,227947
arc-warden,-6.71,52.82,38862
sniper,-7.28,45.01,420304
pugna,-12.43,47.08,94212
