hero,para,rate,matches
io,7.70,40.05,22136
earth-spirit,6.65,44.78,35861
chen,5.33,44.20,12937
underlord,5.02,57.23,86982
faceless-void,4.70,49.80,253003
treant-protector,4.44,55.86,51359
bounty-hunter,4.39,48.13,214476
keeper-of-the-light,3.87,52.17,85230
beastmaster,3.52,48.08,31339
undying,3.10,52.23,65049
winter-wyvern,2.91,47.38,52123
oracle,2.80,43.91,58751
tidehunter,2.65,51.90,113375
dark-seer,2.59,50.76,52180
rubick,2.51,47.31,149520
omniknight,2.43,61.68,235389
batrider,2.38,46.06,49214
visage,2.37,45.52,15586
abaddon,2.20,57.18,81697
nyx-assassin,1.69,50.96,158519
clockwerk,1.49,51.17,78582
lion,1.33,48.51,221154
lich,1.24,55.34,86151
pudge,1.03,53.40,478590
brewmaster,0.99,47.99,23871
juggernaut,0.94,50.53,365826
spirit-breaker,0.93,53.10,185966
ogre-magi,0.82,54.68,178639
disruptor,0.81,51.44,98737
doom,0.75,43.77,53040
kunkka,0.71,48.41,185300
techies,0.56,46.19,52127
dazzle,0.39,52.00,104333
tusk,0.36,42.21,53042
anti-mage,0.32,47.33,291846
elder-titan,0.11,54.57,57585
shadow-demon,0.09,45.97,72011
timbersaw,0.05,48.87,190860
venomancer,0.00,51.55,83519
mirana,-0.20,51.90,299709
jakiro,-0.25,53.14,68270
centaur-warrunner,-0.29,55.18,102431
axe,-0.38,52.36,328930
necrophos,-0.45,54.64,161305
warlock,-0.49,55.28,68431
night-stalker,-0.52,49.77,71114
sand-king,-0.55,49.25,195751
enigma,-0.61,51.69,72344
lycan,-0.66,46.03,34066
drow-ranger,-0.66,51.02,278019
earthshaker,-0.70,49.65,170161
bane,-0.74,45.48,66538
silencer,-0.77,53.29,140804
naga-siren,-0.79,45.75,35245
slark,-0.79,50.51,372061
sven,-0.91,54.02,251684
ursa,-0.97,53.96,155712
slardar,-1.08,50.66,183884
shadow-shaman,-1.11,52.18,103967
witch-doctor,-1.15,49.40,120570
phoenix,-1.16,50.86,59116
lifestealer,-1.29,48.25,167662
spectre,-1.32,54.33,136358
ancient-apparition,-1.44,49.84,89220
bloodseeker,-1.45,49.79,220736
vengeful-spirit,-1.51,51.61,114039
legion-commander,-1.52,48.37,372711
wraith-king,-1.74,54.94,194267
terrorblade,-1.77,48.25,53311
chaos-knight,-1.78,49.44,69752
lone-druid,-1.80,39.23,24172
luna,-1.89,53.77,152918
pugna,-1.95,45.46,52687
phantom-lancer,-2.00,44.62,82935
riki,-2.13,53.21,300958
lina,-2.26,43.35,93073
leshrac,-2.37,44.60,24941
magnus,-2.39,45.60,80990
morphling,-2.41,47.13,167301
troll-warlord,-2.66,48.37,89757
medusa,-2.71,50.39,81697
crystal-maiden,-2.84,53.64,164208
dragon-knight,-2.84,48.04,63180
bristleback,-2.85,47.24,126447
phantom-assassin,-2.88,50.86,453946
arc-warden,-3.14,42.13,24650
weaver,-3.34,47.53,112739
natures-prophet,-3.49,39.84,97197
huskar,-3.55,44.57,121937
clinkz,-3.71,43.96,97803
skywrath-mage,-3.73,44.96,75479
broodmother,-3.76,38.14,28399
zeus,-4.01,52.36,107053
gyrocopter,-4.02,42.78,45308
razor,-4.10,43.76,70019
windranger,-4.13,43.31,129213
tiny,-4.19,43.17,96861
ember-spirit,-4.26,39.80,53603
sniper,-4.28,49.37,259781
viper,-4.37,46.84,77879
puck,-4.40,42.12,40376
storm-spirit,-5.41,46.58,75891
meepo,-5.53,44.98,52970
death-prophet,-5.83,44.05,39901
alchemist,-6.14,45.84,96815
enchantress,-6.19,37.45,40968
queen-of-pain,-6.73,39.35,49745
templar-assassin,-8.22,41.54,40978
tinker,-8.95,43.32,76656
shadow-fiend,-9.31,43.25,74101
invoker,-9.45,42.28,152513
