hero,para,rate,matches
anti-mage,6.55,58.79,1346280
drow-ranger,5.81,53.97,1457426
enchantress,4.53,65.15,189251
riki,3.99,49.90,1538131
lifestealer,3.89,55.57,781052
lycan,3.88,58.18,154553
sniper,3.87,52.76,1933947
keeper-of-the-light,3.73,54.08,286222
ember-spirit,3.59,62.89,340364
clinkz,3.46,58.64,525379
rubick,3.08,57.92,469187
arc-warden,2.97,60.56,125947
lone-druid,2.81,64.05,106435
invoker,2.79,57.21,1583083
witch-doctor,2.76,53.83,459919
alchemist,2.65,54.94,737464
natures-prophet,2.56,62.56,470521
outworld-devourer,2.30,53.45,542885
huskar,1.88,57.18,872602
silencer,1.72,49.50,464827
viper,1.70,54.30,534447
faceless-void,1.56,55.65,846563
medusa,1.55,51.36,434943
shadow-demon,1.38,57.20,195847
doom,1.37,59.68,185442
disruptor,1.36,52.04,290261
visage,1.36,58.65,57255
death-prophet,1.28,56.29,259691
bounty-hunter,1.09,56.85,849865
shadow-shaman,1.00,50.10,501504
beastmaster,0.96,56.44,106634
legion-commander,0.87,53.71,1948267
kunkka,0.76,54.71,759967
lina,0.72,58.38,544704
oracle,0.61,59.95,170234
windranger,0.59,57.50,819598
broodmother,0.57,62.97,126636
earth-spirit,0.50,60.61,115539
chen,0.48,60.62,54573
leshrac,0.32,56.84,108738
winter-wyvern,0.32,56.49,192690
storm-spirit,0.27,53.26,708559
naga-siren,0.20,56.34,139190
abaddon,0.20,46.49,336620
ancient-apparition,0.06,51.84,280280
io,0.04,65.02,89889
earthshaker,0.03,52.38,675698
venomancer,0.00,50.82,317782
clockwerk,-0.06,51.91,242865
phantom-lancer,-0.07,56.77,452293
tusk,-0.08,60.18,242206
bane,-0.10,56.46,284308
vengeful-spirit,-0.12,49.91,434751
nyx-assassin,-0.12,52.19,465334
brewmaster,-0.16,54.75,101224
warlock,-0.20,46.71,255861
pugna,-0.21,55.87,223833
templar-assassin,-0.21,56.96,336760
slardar,-0.21,51.04,641442
ursa,-0.24,47.76,885694
spirit-breaker,-0.28,49.62,883481
spectre,-0.41,47.10,547648
skywrath-mage,-0.41,55.41,307838
gyrocopter,-0.42,57.51,218287
bloodseeker,-0.46,51.61,1220857
weaver,-0.55,52.90,585283
batrider,-0.55,57.03,155355
magnus,-0.61,55.29,341728
lion,-0.63,54.15,832220
juggernaut,-0.68,51.96,1761961
jakiro,-0.70,48.74,254262
terrorblade,-0.72,52.86,227887
techies,-0.77,55.98,308288
night-stalker,-0.78,51.94,328471
undying,-0.81,51.29,217138
queen-of-pain,-0.93,59.54,377775
shadow-fiend,-1.13,54.05,729019
necrophos,-1.13,46.93,727535
zeus,-1.18,47.24,741406
tiny,-1.24,56.57,521553
enigma,-1.34,49.69,289339
slark,-1.37,50.75,1773775
dazzle,-1.46,49.84,395850
elder-titan,-1.49,47.13,163974
treant-protector,-1.50,48.14,190582
sven,-1.50,47.12,1359343
mirana,-1.64,49.54,1269703
pudge,-1.81,48.61,2412841
puck,-1.84,57.18,321679
troll-warlord,-1.84,51.71,636037
chaos-knight,-1.85,51.07,367085
wraith-king,-2.30,45.37,987560
luna,-2.32,46.44,688781
underlord,-2.34,46.74,263700
dark-seer,-2.61,51.51,177752
meepo,-2.82,53.20,340203
dragon-knight,-2.85,51.42,350453
phoenix,-2.89,49.44,207435
bristleback,-2.98,52.13,639858
crystal-maiden,-3.06,45.70,792077
sand-king,-3.17,51.16,653916
razor,-3.50,54.73,408714
lich,-3.60,45.97,359864
morphling,-3.92,51.94,729987
ogre-magi,-3.96,46.21,611676
tinker,-4.18,52.48,834613
tidehunter,-4.43,49.52,325531
centaur-warrunner,-4.65,44.83,382166
timbersaw,-5.25,50.70,787596
omniknight,-5.56,39.73,738203
axe,-6.11,46.76,1472959
