hero,para,rate,matches
techies,6.07,51.09,262713
io,5.41,41.44,84450
chen,4.90,46.33,49715
magnus,4.22,51.03,344698
slardar,3.15,55.15,635148
ancient-apparition,3.00,54.39,290834
enchantress,2.55,43.17,171500
winter-wyvern,2.20,49.34,173023
visage,2.12,47.68,50633
disruptor,2.03,54.35,296747
witch-doctor,2.03,53.29,448762
treant-protector,1.82,56.74,182097
phoenix,1.74,54.63,195286
elder-titan,1.65,57.67,152874
warlock,1.64,58.71,247934
lion,1.62,50.93,808033
earth-spirit,1.57,44.88,107286
wraith-king,1.55,59.02,738606
abaddon,1.51,59.04,294337
jakiro,1.47,56.32,247134
lich,1.43,57.70,337588
dazzle,1.42,54.80,405466
tusk,1.42,44.90,208835
skywrath-mage,1.39,49.63,286472
silencer,1.17,56.59,475872
gyrocopter,1.13,47.34,166306
rubick,1.08,48.91,522307
shadow-shaman,1.05,55.58,481063
earthshaker,1.03,52.79,668534
doom,0.97,46.11,167433
riki,0.94,57.12,1307458
enigma,0.91,54.74,264199
broodmother,0.87,42.17,105841
lone-druid,0.86,42.49,90433
leshrac,0.84,48.33,97925
medusa,0.81,54.47,317124
bounty-hunter,0.78,48.73,795028
tiny,0.76,47.65,421598
bristleback,0.68,51.22,522985
lina,0.66,46.90,464427
omniknight,0.66,62.76,904885
weaver,0.64,51.76,447828
nyx-assassin,0.62,52.69,436233
batrider,0.56,47.49,143404
bane,0.47,48.29,259416
clockwerk,0.42,52.89,223017
tidehunter,0.38,53.00,305263
keeper-of-the-light,0.36,52.66,296502
clinkz,0.35,48.06,419413
beastmaster,0.32,48.84,94750
vengeful-spirit,0.30,54.80,393763
necrophos,0.27,57.26,669664
spectre,0.24,57.41,312701
mirana,0.22,54.36,1121894
kunkka,0.22,50.42,638507
shadow-fiend,0.19,50.03,577206
dark-seer,0.18,51.82,157938
natures-prophet,0.18,43.56,434327
crystal-maiden,0.15,57.51,790520
death-prophet,0.15,49.09,224977
oracle,0.11,44.98,159822
phantom-lancer,0.09,47.82,333155
ember-spirit,0.09,43.81,261357
invoker,0.05,48.97,1297761
sand-king,0.03,51.79,598774
undying,-0.08,52.86,197312
night-stalker,-0.09,52.23,274174
windranger,-0.10,47.37,663770
zeus,-0.17,56.67,635303
sniper,-0.18,53.72,1534875
shadow-demon,-0.20,48.07,173364
pudge,-0.24,54.97,2144679
queen-of-pain,-0.27,44.29,319030
razor,-0.28,47.74,309216
legion-commander,-0.29,51.21,1561689
axe,-0.30,54.63,1196210
bloodseeker,-0.31,52.60,1021596
dragon-knight,-0.31,51.53,270917
chaos-knight,-0.32,52.42,272116
spirit-breaker,-0.34,54.66,779587
puck,-0.38,46.12,276443
venomancer,-0.41,53.57,288318
centaur-warrunner,-0.46,57.29,329714
lycan,-0.49,48.34,124961
ogre-magi,-0.55,56.15,592531
lifestealer,-0.56,50.84,610003
slark,-0.68,52.80,1128528
sven,-0.71,56.34,925383
timbersaw,-0.72,50.73,635226
viper,-0.79,50.82,432742
pugna,-0.80,48.22,198532
troll-warlord,-1.09,51.38,427559
brewmaster,-1.12,49.21,83118
ursa,-1.25,56.00,680208
luna,-1.26,56.31,480721
terrorblade,-1.38,50.67,162797
alchemist,-1.66,50.24,557234
arc-warden,-1.66,44.96,104148
morphling,-1.90,49.59,493940
underlord,-1.93,55.63,237404
meepo,-1.94,48.89,273054
huskar,-1.99,47.49,700222
naga-siren,-2.03,47.38,109788
anti-mage,-2.07,48.41,833293
juggernaut,-2.68,50.90,1065044
templar-assassin,-2.71,46.21,267790
outworld-devourer,-2.88,50.86,453946
tinker,-2.91,48.38,664221
drow-ranger,-3.10,51.94,1040884
storm-spirit,-3.68,49.60,608321
faceless-void,-4.55,47.54,546115
