hero,para,rate,matches
wraith-king,15.92,46.06,246042
arc-warden,10.53,57.55,27246
templar-assassin,8.48,54.54,67524
visage,7.81,55.07,14655
ursa,7.21,44.08,169544
silencer,6.78,44.72,85724
huskar,6.66,52.60,157842
clinkz,6.55,53.15,103829
vengeful-spirit,6.18,45.84,84383
bounty-hunter,6.15,52.47,150950
drow-ranger,5.75,46.73,232263
viper,5.55,49.14,108476
chaos-knight,5.20,47.55,80504
chen,4.94,56.27,10879
shadow-demon,4.91,52.04,32332
treant-protector,4.88,44.15,40538
lycan,4.83,51.57,39938
bane,4.68,52.04,51787
clockwerk,4.30,47.06,49494
beastmaster,4.09,51.09,23654
lifestealer,3.98,48.51,138262
terrorblade,3.88,48.21,54988
skywrath-mage,3.70,50.63,58643
death-prophet,3.63,50.52,56838
lich,3.30,42.29,71685
spirit-breaker,3.29,44.37,159104
slardar,3.27,45.78,114047
oracle,3.25,54.58,30679
brewmaster,3.21,49.55,25874
enchantress,3.18,57.49,41460
tusk,3.17,55.22,51892
ancient-apparition,3.10,46.37,50979
ogre-magi,3.06,42.63,94365
undying,3.03,46.24,47980
abaddon,3.01,40.89,67467
lone-druid,2.93,57.32,23157
luna,2.88,41.98,133734
night-stalker,2.85,46.81,71053
pudge,2.79,43.91,348716
morphling,2.79,48.54,117319
dazzle,2.65,44.92,68203
witch-doctor,2.49,46.69,82001
faceless-void,2.41,49.12,140607
earth-spirit,2.36,54.87,19898
nyx-assassin,2.34,46.49,90487
tinker,2.18,48.99,120211
winter-wyvern,2.04,50.51,36558
troll-warlord,1.96,46.74,109111
venomancer,1.96,44.87,68220
outworld-devourer,1.73,46.20,93380
pugna,1.66,49.99,44326
razor,1.38,50.59,81854
broodmother,1.20,56.69,33988
weaver,0.71,46.68,111794
windranger,0.57,50.65,129478
batrider,0.53,50.82,32164
sniper,0.35,44.13,306946
dragon-knight,0.24,46.20,74144
natures-prophet,0.24,54.45,84055
slark,0.17,44.71,262051
keeper-of-the-light,0.16,45.38,49166
phantom-assassin,0.09,43.24,468486
lina,0.01,51.20,97907
techies,-0.15,49.53,50982
io,-0.17,58.44,16991
doom,-0.18,52.02,39234
lion,-0.28,47.52,128316
invoker,-0.53,48.57,219501
shadow-shaman,-0.54,42.58,91682
bloodseeker,-0.56,44.77,211318
juggernaut,-0.69,45.16,265650
rubick,-0.75,49.01,73923
riki,-0.80,40.91,251378
gyrocopter,-0.94,50.49,57244
omniknight,-0.94,35.25,138514
queen-of-pain,-0.95,52.88,74364
elder-titan,-1.02,40.68,35399
warlock,-1.05,39.66,54255
naga-siren,-1.09,48.87,36250
mirana,-1.14,43.06,191612
disruptor,-1.25,43.96,55137
phoenix,-1.30,43.52,38581
medusa,-1.36,43.17,116288
necrophos,-1.46,40.14,119586
underlord,-2.02,40.28,53540
alchemist,-2.29,45.62,123170
meepo,-2.48,46.73,49795
jakiro,-2.52,41.24,52818
storm-spirit,-2.53,45.12,119260
shadow-fiend,-2.70,46.55,121939
magnus,-2.76,47.46,65429
bristleback,-3.05,45.47,115301
zeus,-3.08,39.80,127614
enigma,-3.13,42.19,52982
leshrac,-3.20,48.26,28596
legion-commander,-3.20,44.93,299857
anti-mage,-3.32,46.74,210254
tidehunter,-3.36,43.47,65064
kunkka,-3.58,45.76,135036
tiny,-3.62,48.66,101466
dark-seer,-3.73,44.34,36176
puck,-4.25,49.30,51907
crystal-maiden,-5.04,38.38,133206
centaur-warrunner,-5.45,38.09,72456
spectre,-5.59,38.30,97459
ember-spirit,-7.22,50.12,93442
sven,-7.32,38.08,251201
earthshaker,-7.42,42.15,276353
axe,-10.42,38.53,229539
timbersaw,-11.82,41.16,124118
sand-king,-13.37,39.85,146239
