hero,para,rate,matches
chen,7.50,40.38,9906
broodmother,7.49,37.97,27970
enchantress,6.69,37.99,37216
leshrac,5.34,43.37,24920
gyrocopter,5.19,42.17,41955
techies,5.16,43.55,44919
visage,4.78,41.89,12947
troll-warlord,4.17,46.99,83226
winter-wyvern,3.87,43.12,34879
io,3.80,34.26,14416
brewmaster,3.24,44.37,21163
lina,2.99,41.07,88816
viper,2.89,45.68,90732
jakiro,2.63,49.97,48117
keeper-of-the-light,2.51,46.79,55108
tiny,2.49,41.57,81396
tusk,2.48,38.60,44280
dragon-knight,2.43,45.96,59178
death-prophet,2.36,43.23,49125
skywrath-mage,2.30,43.14,54321
witch-doctor,2.15,46.37,78908
night-stalker,2.13,46.41,58495
weaver,2.09,45.54,89231
razor,2.01,41.95,66829
pugna,1.99,42.66,41763
dazzle,1.94,48.12,66078
shadow-shaman,1.87,49.07,83571
disruptor,1.86,47.30,52506
lich,1.86,51.02,62888
bristleback,1.81,44.86,95797
bloodseeker,1.80,46.76,168619
windranger,1.76,41.39,114558
bane,1.68,42.00,49060
treant-protector,1.49,49.63,37043
natures-prophet,1.40,37.43,74569
crystal-maiden,1.38,51.33,122628
clinkz,1.38,41.71,83518
riki,1.34,50.45,211452
centaur-warrunner,1.29,51.42,63078
oracle,1.27,38.77,28347
huskar,1.27,42.22,122145
lycan,1.25,42.33,32125
ancient-apparition,1.06,46.46,49902
lion,1.01,43.75,130088
warlock,0.98,51.48,49298
lone-druid,0.97,35.98,19508
sniper,0.91,47.41,248994
wraith-king,0.90,51.81,123588
batrider,0.84,40.83,29103
beastmaster,0.70,42.20,20531
ursa,0.69,50.25,121572
naga-siren,0.62,41.85,27976
medusa,0.51,47.44,63771
vengeful-spirit,0.47,48.03,73959
queen-of-pain,0.41,37.94,64666
sven,0.35,50.11,150044
bounty-hunter,0.35,41.73,134004
doom,0.32,39.11,34652
venomancer,0.29,47.09,60901
legion-commander,0.29,44.67,236422
necrophos,0.20,50.41,114172
slark,0.15,46.40,180015
enigma,0.13,47.48,47514
phoenix,0.10,46.91,35929
phantom-assassin,0.09,47.82,333155
axe,0.03,47.98,191975
chaos-knight,-0.09,45.71,59864
nyx-assassin,-0.15,45.46,82476
sand-king,-0.26,44.83,103184
silencer,-0.26,48.99,83772
templar-assassin,-0.31,40.63,56643
shadow-fiend,-0.34,42.99,103218
lifestealer,-0.37,44.14,103858
timbersaw,-0.37,44.12,102231
zeus,-0.37,49.78,114192
tidehunter,-0.43,45.77,57777
alchemist,-0.47,44.06,99733
elder-titan,-0.49,49.68,31509
spectre,-0.52,50.21,59192
slardar,-0.55,46.37,98392
undying,-0.55,45.82,42136
terrorblade,-0.62,44.28,40167
ogre-magi,-0.84,49.24,89352
arc-warden,-0.90,38.69,23026
luna,-0.95,49.75,91659
spirit-breaker,-1.07,47.50,128675
earthshaker,-1.08,44.93,123972
anti-mage,-1.10,42.17,134728
mirana,-1.20,46.84,172424
underlord,-1.24,49.30,47260
rubick,-1.34,41.07,78345
clockwerk,-1.35,45.22,44020
ember-spirit,-1.51,36.63,51693
puck,-1.53,38.99,48083
invoker,-1.55,41.51,192187
meepo,-1.60,42.37,39362
juggernaut,-1.67,44.71,178494
kunkka,-1.72,42.76,108516
abaddon,-1.96,50.37,56959
outworld-devourer,-2.00,44.62,82935
drow-ranger,-2.65,45.53,170178
omniknight,-2.67,54.26,108015
dark-seer,-2.73,43.68,31425
tinker,-3.01,41.74,110167
morphling,-3.17,42.35,78132
pudge,-3.27,46.69,311754
magnus,-3.75,40.60,50741
faceless-void,-3.84,41.36,101440
storm-spirit,-3.91,42.92,104332
shadow-demon,-4.47,39.56,30584
earth-spirit,-4.69,35.82,18293
