hero,para,rate,matches
axe,6.84,52.24,131076
spectre,4.86,48.64,59812
clockwerk,4.73,53.45,32660
crystal-maiden,4.44,48.29,78717
chaos-knight,4.22,53.27,33193
sand-king,4.14,54.08,77885
treant-protector,3.93,49.85,23390
pudge,3.31,50.20,234677
earthshaker,3.21,53.10,68886
sven,3.19,48.42,106752
phantom-assassin,3.07,50.59,214693
magnus,2.89,56.31,43334
slardar,2.75,51.62,69566
underlord,2.56,48.15,34631
zeus,2.45,48.05,70565
templar-assassin,2.38,57.51,36495
winter-wyvern,2.03,56.53,22221
lich,2.03,47.72,40158
tiny,1.94,57.48,52147
venomancer,1.82,50.81,39122
centaur-warrunner,1.80,46.93,44543
wraith-king,1.78,46.34,85114
ogre-magi,1.75,48.04,70118
bristleback,1.59,53.66,55544
dragon-knight,1.53,52.81,35509
warlock,1.49,46.58,31194
ancient-apparition,1.40,51.60,38944
enigma,1.32,50.10,31642
slark,1.25,51.17,156398
kunkka,1.13,53.99,86662
tidehunter,1.09,51.46,45566
phantom-lancer,1.02,56.48,38581
shadow-demon,1.01,56.08,27846
naga-siren,0.93,55.84,17241
timbersaw,0.86,53.05,81665
rubick,0.85,55.77,67077
undying,0.85,51.23,29339
dazzle,0.82,50.07,46138
necrophos,0.70,46.88,77208
batrider,0.61,56.79,19774
vengeful-spirit,0.57,49.34,50724
mirana,0.51,49.71,132674
omniknight,0.49,41.39,80867
brewmaster,0.47,54.18,12383
shadow-fiend,0.47,54.02,68357
lone-druid,0.47,61.72,12875
dark-seer,0.45,52.21,22175
lion,0.44,53.81,89646
tusk,0.41,59.59,26841
techies,0.36,55.71,24384
disruptor,0.29,50.58,40280
gyrocopter,0.23,56.99,24514
spirit-breaker,0.20,48.94,81859
razor,0.16,55.90,41236
bounty-hunter,0.15,55.42,84917
legion-commander,0.14,52.41,160253
leshrac,0.12,55.83,13682
puck,0.09,57.41,32941
riki,0.07,47.11,119252
witch-doctor,-0.06,51.44,54298
visage,-0.35,56.77,7000
viper,-0.37,52.28,47335
invoker,-0.40,54.53,154388
medusa,-0.59,49.37,46576
terrorblade,-0.60,52.02,25456
queen-of-pain,-0.67,58.82,38765
oracle,-0.70,58.30,21729
jakiro,-0.71,47.83,30526
elder-titan,-0.80,46.56,22924
pugna,-0.95,54.56,25533
io,-1.00,63.52,11088
broodmother,-1.00,61.14,14185
shadow-shaman,-1.03,48.19,48615
ember-spirit,-1.03,59.22,36735
faceless-void,-1.08,53.31,93802
luna,-1.09,46.12,68980
tinker,-1.19,53.23,79339
windranger,-1.21,55.58,73265
beastmaster,-1.27,54.31,15166
outworld-devourer,-1.34,50.65,65631
storm-spirit,-1.40,51.47,82424
lycan,-1.48,54.29,16669
bloodseeker,-1.77,50.04,97870
bane,-1.88,54.57,32688
skywrath-mage,-1.97,53.66,34996
death-prophet,-2.12,53.51,28811
keeper-of-the-light,-2.15,50.13,35322
night-stalker,-2.36,50.22,33702
lifestealer,-2.41,51.31,73111
earth-spirit,-2.48,57.95,15608
natures-prophet,-2.48,58.63,47379
sniper,-2.63,48.57,140210
lina,-2.71,55.53,52587
doom,-2.79,56.37,24758
weaver,-2.82,50.80,56337
meepo,-3.19,52.12,29009
morphling,-3.22,51.44,77368
nyx-assassin,-3.34,49.63,61913
enchantress,-3.39,59.38,19707
alchemist,-3.49,50.78,66192
abaddon,-3.53,43.88,37426
drow-ranger,-3.67,48.26,116885
arc-warden,-3.69,55.79,15662
huskar,-3.86,53.09,63717
chen,-3.90,57.13,6711
juggernaut,-3.92,49.38,153995
ursa,-4.21,44.98,73973
anti-mage,-4.55,51.80,113203
silencer,-4.72,45.49,66353
troll-warlord,-5.99,48.66,46847
clinkz,-6.12,52.37,51026
