hero,para,rate,matches
legion-commander,3.57,52.25,135693
storm-spirit,3.10,52.15,75635
spirit-breaker,3.01,55.56,60436
faceless-void,2.94,50.33,101236
riki,2.67,57.18,96402
slark,2.66,53.64,145735
clockwerk,2.47,53.04,23846
templar-assassin,2.44,47.73,32356
meepo,2.19,50.02,26299
huskar,2.08,48.54,52695
magnus,1.99,49.01,36491
pudge,1.96,55.25,172270
bloodseeker,1.92,52.85,79126
lifestealer,1.89,51.16,65327
juggernaut,1.85,52.34,138470
phantom-assassin,1.74,54.63,195286
anti-mage,1.70,49.34,109827
tiny,1.70,47.17,42314
viper,1.53,51.08,38236
drow-ranger,1.43,53.44,98077
sven,1.40,56.62,100841
sniper,1.33,53.61,117490
clinkz,1.26,47.58,41861
axe,1.16,54.51,106787
spectre,1.11,57.00,56546
nyx-assassin,1.04,51.98,44558
tinker,1.01,49.41,70462
wraith-king,0.96,57.77,79521
bristleback,0.74,50.34,42653
earthshaker,0.68,51.69,49257
mirana,0.66,53.68,96366
chaos-knight,0.62,52.00,29831
invoker,0.60,48.32,135088
slardar,0.54,52.83,53353
sand-king,0.43,51.08,55241
luna,0.36,56.33,60097
ogre-magi,0.33,55.74,45471
alchemist,0.18,50.27,63058
ember-spirit,0.16,42.95,34618
phantom-lancer,0.10,46.91,35929
shadow-fiend,-0.01,49.01,59892
queen-of-pain,-0.04,43.49,32772
dragon-knight,-0.04,50.76,31181
centaur-warrunner,-0.15,56.58,32289
night-stalker,-0.24,51.24,26960
puck,-0.38,45.21,28259
troll-warlord,-0.53,50.76,37970
weaver,-0.54,50.24,44926
morphling,-0.54,49.37,72211
ursa,-0.54,55.51,61847
arc-warden,-0.60,44.55,13137
lone-druid,-0.64,40.98,9918
tusk,-0.69,43.07,20563
venomancer,-0.71,52.51,26181
enigma,-0.73,52.95,27969
natures-prophet,-0.84,42.22,35469
shadow-shaman,-0.86,53.63,31322
beastmaster,-0.93,47.33,10752
windranger,-1.00,46.04,56246
kunkka,-1.06,48.87,69498
outworld-devourer,-1.16,50.86,59116
necrophos,-1.20,55.53,53178
rubick,-1.21,46.91,41153
undying,-1.23,51.36,20552
terrorblade,-1.32,49.79,22605
lion,-1.34,48.55,57740
zeus,-1.35,55.11,55025
earth-spirit,-1.44,42.67,11515
treant-protector,-1.44,54.03,17412
doom,-1.46,44.11,18909
pugna,-1.62,46.92,17906
lina,-1.67,44.91,38230
medusa,-1.76,52.19,44104
razor,-1.83,46.10,33857
witch-doctor,-1.87,50.36,36389
tidehunter,-1.88,50.92,33308
death-prophet,-1.90,47.20,22803
warlock,-1.93,55.77,21474
bounty-hunter,-2.28,46.36,62812
timbersaw,-2.31,49.03,58780
crystal-maiden,-2.36,55.19,49350
underlord,-2.38,54.49,24504
silencer,-2.39,53.71,42614
bane,-2.62,45.91,21597
vengeful-spirit,-2.77,52.24,33870
batrider,-2.97,44.94,13308
abaddon,-3.01,55.54,27740
omniknight,-3.26,59.49,51223
lycan,-3.48,46.01,14139
gyrocopter,-3.52,44.28,20670
lich,-3.64,53.95,25739
skywrath-mage,-3.85,46.19,23112
keeper-of-the-light,-4.01,49.49,22253
jakiro,-4.12,52.35,20037
disruptor,-4.12,50.20,26587
naga-siren,-4.19,45.46,14872
enchantress,-4.20,39.48,14337
dark-seer,-4.26,48.65,13899
brewmaster,-4.32,46.75,9727
dazzle,-4.70,50.63,29034
shadow-demon,-4.71,45.03,18621
leshrac,-5.05,44.64,10184
chen,-5.14,41.05,5031
broodmother,-5.15,38.81,10526
ancient-apparition,-5.24,49.18,24989
visage,-5.68,43.18,5319
winter-wyvern,-5.86,44.59,15305
elder-titan,-5.99,52.49,16706
oracle,-6.66,41.09,14964
techies,-7.05,43.93,17124
io,-8.89,35.03,7842
