hero,para,rate,matches
phantom-lancer,4.52,50.70,51907
outworld-devourer,4.50,45.92,88938
slark,4.34,45.04,217920
morphling,3.84,47.50,108370
shadow-demon,3.26,49.69,37071
broodmother,3.04,56.20,17451
mirana,2.72,43.25,203539
kunkka,2.59,47.17,119831
phantom-assassin,2.59,42.82,332082
invoker,2.32,48.45,244318
queen-of-pain,2.27,53.08,62023
winter-wyvern,2.04,48.99,27488
slardar,1.98,43.71,98601
oracle,1.97,52.39,28753
naga-siren,1.80,48.79,21471
sand-king,1.76,45.31,100714
bounty-hunter,1.75,48.78,115069
crystal-maiden,1.72,39.66,104384
weaver,1.29,45.46,75157
lich,1.21,39.99,48396
timbersaw,1.20,45.74,106868
ancient-apparition,1.18,44.02,45024
tinker,1.17,47.01,128667
ogre-magi,1.13,40.38,92174
omniknight,1.12,34.61,105089
skywrath-mage,0.95,47.78,46709
vengeful-spirit,0.93,42.10,68015
dazzle,0.81,42.64,58293
witch-doctor,0.81,44.44,65684
chaos-knight,0.72,44.05,42063
bloodseeker,0.72,43.87,137628
io,0.57,57.41,14336
brewmaster,0.56,46.78,14608
batrider,0.51,49.31,26358
terrorblade,0.47,45.14,32958
enchantress,0.40,54.46,26077
spirit-breaker,0.38,41.66,114478
drow-ranger,0.34,42.87,178719
magnus,0.34,47.49,57689
earthshaker,0.29,44.19,98436
visage,0.29,49.74,8488
pudge,0.27,41.38,329885
axe,0.17,41.62,168089
windranger,0.17,48.96,103096
lina,0.15,49.78,67563
keeper-of-the-light,0.09,43.88,47636
faceless-void,0.08,46.52,120007
arc-warden,0.03,50.59,19702
lion,0.03,46.19,125296
bane,-0.09,48.18,40413
juggernaut,-0.09,43.97,211503
tusk,-0.10,51.98,36236
tidehunter,-0.11,43.47,54199
phoenix,-0.11,42.59,32941
enigma,-0.14,42.03,41221
leshrac,-0.18,48.28,16796
meepo,-0.35,46.27,47560
gyrocopter,-0.39,49.29,31218
disruptor,-0.44,42.86,51987
storm-spirit,-0.46,44.60,123465
necrophos,-0.51,39.10,98587
beastmaster,-0.54,47.34,18237
lycan,-0.69,47.38,20878
nyx-assassin,-0.70,43.65,78789
elder-titan,-0.80,39.35,27096
warlock,-0.91,38.31,38082
pugna,-0.91,47.25,32430
techies,-0.94,47.66,34950
night-stalker,-1.02,43.59,44150
doom,-1.05,50.10,30282
rubick,-1.13,47.35,83541
clockwerk,-1.14,43.15,39021
clinkz,-1.17,47.83,68469
natures-prophet,-1.23,52.19,66154
silencer,-1.28,39.92,86538
earth-spirit,-1.29,51.44,20146
lone-druid,-1.29,53.51,15972
troll-warlord,-1.51,43.70,61178
treant-protector,-1.54,40.03,28154
bristleback,-1.54,44.72,71837
dark-seer,-1.63,43.85,27603
lifestealer,-1.67,44.42,96589
jakiro,-1.71,40.16,38248
shadow-shaman,-1.75,40.63,63030
chen,-1.81,51.20,8557
legion-commander,-2.07,44.01,225639
shadow-fiend,-2.20,45.34,101145
death-prophet,-2.23,46.21,36701
ursa,-2.24,38.80,94283
sven,-2.32,38.74,155363
luna,-2.53,38.38,91540
viper,-2.57,43.92,60231
riki,-2.67,38.74,174061
razor,-2.72,47.10,51657
tiny,-2.78,47.63,70708
undying,-2.86,42.17,33204
centaur-warrunner,-2.92,37.73,54476
abaddon,-2.97,37.14,46660
underlord,-3.14,38.43,40499
anti-mage,-3.21,45.36,167556
venomancer,-3.22,41.17,47166
sniper,-3.33,41.10,212847
zeus,-3.36,38.30,93688
ember-spirit,-3.48,50.72,48950
medusa,-3.64,40.76,58955
dragon-knight,-4.07,42.80,44293
huskar,-4.14,45.85,89068
alchemist,-4.43,43.21,88756
spectre,-4.46,37.39,74647
templar-assassin,-4.82,46.44,48656
wraith-king,-5.37,36.26,114485
