hero,para,rate,matches
lifestealer,3.41,44.30,100412
anti-mage,2.31,42.14,169230
legion-commander,2.25,44.04,214691
morphling,2.05,43.14,92287
luna,1.86,49.65,79849
spectre,1.84,49.89,75620
abaddon,1.74,50.76,40826
terrorblade,1.71,43.82,29826
lycan,1.66,41.03,19157
riki,1.58,49.06,155067
necrophos,1.55,49.58,76366
elder-titan,1.49,49.16,24563
juggernaut,1.45,44.64,195058
troll-warlord,1.42,44.26,54632
shadow-demon,1.18,40.44,31878
lone-druid,1.09,34.65,14437
clinkz,1.06,40.13,54640
silencer,1.05,48.13,60702
ursa,1.02,48.91,87800
drow-ranger,0.95,45.72,149614
sven,0.94,48.90,152664
bounty-hunter,0.94,40.52,99613
ogre-magi,0.91,48.60,81027
enigma,0.89,46.34,35944
weaver,0.70,43.44,61702
ancient-apparition,0.66,44.79,39916
chen,0.61,36.40,7558
nyx-assassin,0.52,44.29,65087
rubick,0.45,40.37,73946
slark,0.43,45.04,199994
earth-spirit,0.42,36.35,17857
underlord,0.42,48.63,34912
chaos-knight,0.33,44.43,40187
wraith-king,0.32,50.02,110869
undying,0.27,44.72,30003
mirana,0.15,46.00,148583
omniknight,0.09,54.32,92253
beastmaster,-0.04,40.46,15286
warlock,-0.06,49.46,32183
jakiro,-0.22,47.10,32101
timbersaw,-0.27,42.70,93224
phantom-assassin,-0.38,46.12,276443
phoenix,-0.38,45.21,28259
dark-seer,-0.57,43.18,23512
vengeful-spirit,-0.58,46.05,57176
witch-doctor,-0.61,43.66,55724
earthshaker,-0.66,43.66,87552
natures-prophet,-0.74,35.27,55026
centaur-warrunner,-0.75,48.91,48471
spirit-breaker,-0.77,46.17,92313
lich,-0.86,48.18,41048
meepo,-0.92,41.22,36841
pudge,-0.97,46.33,234643
razor,-1.06,39.27,38179
pugna,-1.15,39.92,25200
lion,-1.17,41.37,102281
shadow-shaman,-1.18,46.14,50126
dazzle,-1.20,45.17,49123
skywrath-mage,-1.30,40.20,34057
axe,-1.32,45.87,157348
huskar,-1.49,39.65,71614
doom,-1.50,37.02,27142
magnus,-1.52,40.12,41682
phantom-lancer,-1.53,38.99,48083
oracle,-1.55,36.32,25262
slardar,-1.63,44.41,86804
sand-king,-1.63,42.77,85576
tusk,-1.73,35.65,29746
crystal-maiden,-1.80,48.26,86700
zeus,-1.80,47.61,50851
treant-protector,-1.80,46.56,24494
bane,-1.90,39.11,32540
sniper,-1.93,44.63,154634
faceless-void,-1.99,40.73,101056
bloodseeker,-2.04,43.55,117712
dragon-knight,-2.09,42.49,36492
keeper-of-the-light,-2.16,43.22,40122
bristleback,-2.23,41.65,66354
night-stalker,-2.31,42.96,36978
enchantress,-2.33,33.45,21367
disruptor,-2.49,43.84,42849
viper,-2.53,41.85,43787
lina,-2.65,37.44,45106
windranger,-2.71,38.19,69837
death-prophet,-2.72,39.69,20995
medusa,-2.74,44.47,48982
clockwerk,-2.89,43.08,32882
leshrac,-3.01,38.54,12027
broodmother,-3.15,32.91,14641
alchemist,-3.29,41.40,60468
kunkka,-3.46,40.59,89409
brewmaster,-3.54,40.05,11970
gyrocopter,-3.61,37.27,25925
venomancer,-3.75,43.77,38467
templar-assassin,-3.75,37.85,26521
tiny,-3.77,37.65,54710
tidehunter,-3.92,42.75,48707
winter-wyvern,-4.07,38.45,24470
outworld-devourer,-4.40,42.12,40376
naga-siren,-4.58,38.32,18908
batrider,-4.65,37.25,20374
visage,-4.88,36.68,7410
shadow-fiend,-4.90,39.64,48385
tinker,-5.18,39.42,44823
queen-of-pain,-5.39,34.44,27621
storm-spirit,-5.45,40.85,43360
techies,-5.54,37.76,29917
invoker,-6.25,38.17,94416
ember-spirit,-6.51,33.48,32547
arc-warden,-10.15,33.82,13159
io,-11.15,28.17,12606
