hero,para,rate,matches
pugna,4.58,59.06,218318
tinker,4.56,57.78,822352
sniper,3.28,52.97,1653047
zeus,2.97,49.73,677066
underlord,2.70,49.66,292383
venomancer,2.35,52.52,331342
axe,2.29,51.45,1339651
timbersaw,2.27,55.23,817958
keeper-of-the-light,2.27,53.83,323311
crystal-maiden,2.15,48.66,776916
luna,1.90,48.95,630377
phantom-assassin,1.78,51.39,2500476
lich,1.76,49.03,362003
shadow-fiend,1.72,56.11,726649
enchantress,1.65,63.82,174514
drow-ranger,1.65,52.36,1293406
sand-king,1.46,54.11,708357
spectre,1.41,48.47,519194
jakiro,1.30,50.23,262983
viper,1.28,54.57,433087
faceless-void,1.25,55.98,850187
gyrocopter,1.20,58.93,195223
elder-titan,1.13,48.88,186475
dragon-knight,1.13,54.02,308338
nyx-assassin,1.12,53.34,514703
bane,1.07,57.62,292820
mirana,1.06,51.40,1381839
leshrac,1.06,57.75,108664
razor,1.01,57.77,365082
bloodseeker,0.95,52.84,1023711
lina,0.90,58.98,486908
techies,0.90,57.41,272410
templar-assassin,0.79,58.02,320468
slark,0.61,52.26,1587508
windranger,0.58,57.98,747794
necrophos,0.55,48.22,767573
earthshaker,0.44,53.09,681926
troll-warlord,0.41,53.39,443616
natures-prophet,0.38,61.70,477110
winter-wyvern,0.36,57.00,180897
outworld-devourer,0.28,52.89,609220
rubick,0.22,56.81,729367
lion,0.20,55.08,838186
ogre-magi,0.18,48.70,629867
medusa,0.15,51.15,399653
centaur-warrunner,0.09,47.54,372290
shadow-demon,0.05,56.93,223591
dark-seer,0.02,53.39,183352
bounty-hunter,0.00,56.73,849415
ancient-apparition,-0.07,52.26,330915
brewmaster,-0.12,55.25,95670
oracle,-0.12,59.99,183428
puck,-0.19,58.62,329885
legion-commander,-0.21,53.63,1742921
alchemist,-0.22,53.90,677966
tiny,-0.34,57.57,471781
kunkka,-0.35,54.59,808264
silencer,-0.43,48.94,531810
skywrath-mage,-0.46,55.87,311960
invoker,-0.49,55.87,1695789
disruptor,-0.50,51.57,331412
clinkz,-0.50,56.88,474027
huskar,-0.57,56.29,682952
tusk,-0.60,60.34,225229
morphling,-0.61,54.22,722060
doom,-0.69,58.94,192499
broodmother,-0.70,62.63,110060
naga-siren,-0.74,56.29,132761
night-stalker,-0.75,52.44,291582
sven,-0.88,47.91,1125401
witch-doctor,-0.90,52.40,489285
spirit-breaker,-0.95,49.77,799945
treant-protector,-0.97,48.89,196412
omniknight,-0.97,42.14,739731
shadow-shaman,-1.07,49.56,474386
batrider,-1.21,57.13,170995
queen-of-pain,-1.23,59.82,378397
vengeful-spirit,-1.25,49.83,447046
magnus,-1.32,55.38,385504
riki,-1.35,47.83,1333216
tidehunter,-1.35,51.60,353082
enigma,-1.45,50.12,295144
arc-warden,-1.54,58.38,130907
clockwerk,-1.59,51.61,293892
earth-spirit,-1.62,59.79,133154
warlock,-1.63,46.52,260283
dazzle,-1.79,50.16,417052
juggernaut,-1.84,51.83,1541701
phantom-lancer,-2.08,56.09,348716
storm-spirit,-2.09,52.49,811727
terrorblade,-2.16,52.57,204989
lone-druid,-2.28,61.33,103950
bristleback,-2.28,52.99,544529
io,-2.40,63.87,91669
death-prophet,-2.40,54.72,255236
beastmaster,-2.45,55.01,112354
ember-spirit,-2.47,59.67,340693
anti-mage,-2.53,54.25,1157492
chen,-2.72,59.14,53918
slardar,-2.75,50.22,666302
phoenix,-3.13,49.80,234677
meepo,-3.42,53.35,316886
lycan,-3.89,54.30,133225
wraith-king,-4.23,44.94,863110
undying,-4.28,49.97,237812
visage,-4.39,55.78,57565
ursa,-4.42,46.22,736157
abaddon,-4.47,44.79,337940
weaver,-4.89,51.05,525762
chaos-knight,-5.02,49.88,294949
lifestealer,-5.26,51.13,790686
