hero,para,rate,matches
pugna,3.34,50.74,184399
elder-titan,2.95,58.90,131849
medusa,2.93,56.12,354704
omniknight,2.87,64.62,618972
underlord,2.80,58.80,221272
tidehunter,2.70,54.73,250323
timbersaw,2.50,52.88,623216
venomancer,2.47,55.63,251039
keeper-of-the-light,2.36,54.22,263519
jakiro,2.33,57.30,202363
ancient-apparition,2.23,54.49,254765
winter-wyvern,2.06,49.78,152048
phoenix,1.96,55.25,172270
silencer,1.93,57.51,447929
dark-seer,1.92,53.22,142087
sniper,1.91,55.35,1346331
sven,1.76,58.23,977645
crystal-maiden,1.74,58.91,633163
spectre,1.68,58.72,487084
tinker,1.60,51.13,596709
luna,1.59,58.43,537375
lich,1.55,58.26,271702
invoker,1.52,50.19,1233958
anti-mage,1.44,50.64,1139861
mirana,1.38,55.49,1085327
disruptor,1.35,54.49,258641
necrophos,1.29,58.33,586183
enigma,1.23,55.41,216022
shadow-fiend,1.16,51.01,516454
centaur-warrunner,1.13,58.69,275991
terrorblade,1.12,52.45,177742
outworld-devourer,1.03,53.40,478590
rubick,0.92,49.34,442844
dazzle,0.78,54.95,321221
sand-king,0.69,52.63,531047
warlock,0.65,58.62,199378
morphling,0.60,51.35,648620
juggernaut,0.60,53.12,1362692
faceless-void,0.57,50.59,663974
naga-siren,0.53,49.11,112596
alchemist,0.44,51.81,540933
nyx-assassin,0.43,53.08,435943
zeus,0.38,57.47,522168
ogre-magi,0.35,57.14,471586
witch-doctor,0.27,52.86,374177
lion,0.23,50.73,677499
templar-assassin,0.22,48.09,245100
earthshaker,0.11,52.81,530855
troll-warlord,0.06,52.46,380989
shadow-shaman,0.03,55.50,369588
oracle,-0.11,45.37,141611
lina,-0.14,47.01,385296
kunkka,-0.16,50.73,609932
axe,-0.16,55.20,964557
arc-warden,-0.23,46.10,105698
phantom-assassin,-0.24,54.97,2144679
slark,-0.27,53.51,1449296
windranger,-0.28,47.77,600132
meepo,-0.29,50.21,269708
skywrath-mage,-0.33,49.29,247551
abaddon,-0.34,58.43,255279
techies,-0.41,48.47,263631
riki,-0.54,56.77,1093032
natures-prophet,-0.54,43.73,380419
treant-protector,-0.61,55.86,145419
dragon-knight,-0.70,51.82,237126
storm-spirit,-0.75,51.60,615627
shadow-demon,-0.75,48.30,163472
io,-0.79,39.47,72098
clinkz,-0.79,48.01,398496
bristleback,-0.85,50.93,399895
wraith-king,-0.88,58.08,711488
puck,-0.97,46.33,234643
brewmaster,-0.98,49.77,73353
leshrac,-1.06,47.90,82811
weaver,-1.08,51.36,431942
bane,-1.13,48.01,241756
ursa,-1.16,56.53,609391
magnus,-1.16,48.88,261603
gyrocopter,-1.17,46.75,160905
bloodseeker,-1.18,52.63,867463
lone-druid,-1.20,42.10,82881
ember-spirit,-1.22,43.72,265165
drow-ranger,-1.30,53.39,994640
earth-spirit,-1.32,44.09,95904
legion-commander,-1.39,51.14,1474732
clockwerk,-1.41,52.41,202444
viper,-1.48,50.95,340892
razor,-1.54,47.62,293426
lifestealer,-1.62,50.79,599794
undying,-1.77,52.45,161008
chen,-1.85,43.83,43308
queen-of-pain,-1.90,44.04,263208
death-prophet,-1.97,48.54,189728
bounty-hunter,-2.08,47.83,679742
tiny,-2.18,46.74,382297
vengeful-spirit,-2.27,53.87,327929
doom,-2.30,45.09,151633
spirit-breaker,-2.34,54.04,620130
enchantress,-2.55,41.50,139440
batrider,-2.57,46.49,131310
slardar,-2.60,52.55,535558
visage,-2.62,45.95,43479
chaos-knight,-2.71,51.64,246818
beastmaster,-2.78,47.81,82376
night-stalker,-2.95,51.21,227206
huskar,-3.12,47.43,536669
tusk,-3.16,43.34,179667
phantom-lancer,-3.27,46.69,311754
lycan,-3.87,47.17,107057
broodmother,-5.29,40.05,88124
