hero,para,rate,matches
outworld-devourer,14.45,52.92,94212
timbersaw,7.58,51.10,83665
tidehunter,6.02,48.57,44161
omniknight,5.88,38.48,79340
skywrath-mage,5.06,52.16,47395
necrophos,4.50,43.40,82062
axe,4.34,45.72,129183
undying,4.19,47.62,31657
storm-spirit,3.61,48.81,82477
winter-wyvern,3.50,52.08,24434
morphling,3.49,49.73,77691
lion,3.19,50.03,93417
leshrac,3.18,52.29,19940
underlord,3.12,43.22,36176
disruptor,2.91,46.66,39850
ancient-apparition,2.88,47.12,39636
jakiro,2.66,44.26,33906
tinker,2.53,50.01,87750
lich,2.46,42.77,44096
invoker,2.26,50.78,161627
shadow-demon,2.25,51.57,24868
elder-titan,2.19,42.82,24689
sand-king,2.19,47.86,76760
dazzle,2.09,45.51,46860
dark-seer,2.08,47.85,24577
enigma,1.93,45.22,34352
zeus,1.85,42.64,84766
crystal-maiden,1.75,41.94,82155
chen,1.67,55.36,7101
lina,1.47,52.78,60642
slardar,1.47,45.82,69876
silencer,1.45,43.31,63817
batrider,1.40,52.10,22924
warlock,1.38,41.44,34166
ogre-magi,1.33,42.73,66758
treant-protector,1.22,43.43,26173
dragon-knight,1.22,47.49,39763
phoenix,1.16,45.44,25533
arc-warden,1.13,53.49,17768
sven,1.08,42.34,113119
io,0.95,59.91,11252
puck,0.83,52.75,32430
venomancer,0.77,45.17,43332
faceless-void,0.73,49.15,90264
shadow-shaman,0.57,43.87,54365
earth-spirit,0.53,54.71,14291
terrorblade,0.45,47.44,30224
queen-of-pain,0.42,54.44,43356
slark,0.39,45.63,152023
phantom-assassin,0.28,44.13,232277
brewmaster,0.18,48.92,15411
earthshaker,-0.01,46.35,73568
wraith-king,-0.05,40.51,91421
oracle,-0.12,53.62,23408
keeper-of-the-light,-0.12,46.08,35600
enchantress,-0.15,56.45,25383
spectre,-0.18,41.29,59765
magnus,-0.24,49.52,41707
techies,-0.33,50.26,27994
rubick,-0.33,50.05,57304
visage,-0.37,51.72,10464
kunkka,-0.61,48.00,82325
legion-commander,-0.63,46.94,172476
abaddon,-0.65,40.23,41603
nyx-assassin,-0.80,45.88,67947
vengeful-spirit,-0.83,43.62,51335
troll-warlord,-0.89,46.25,49174
mirana,-0.96,43.95,127310
bristleback,-0.97,47.26,63436
witch-doctor,-0.98,45.92,55594
bounty-hunter,-1.04,49.73,89576
clockwerk,-1.06,45.45,35094
windranger,-1.07,50.64,76914
riki,-1.11,41.57,125467
luna,-1.26,41.08,73414
juggernaut,-1.41,45.65,154953
bloodseeker,-1.49,45.16,104358
drow-ranger,-1.54,44.32,122983
phantom-lancer,-1.61,50.01,44326
naga-siren,-1.62,49.43,21049
doom,-1.72,52.03,24065
tiny,-1.83,50.37,56217
centaur-warrunner,-1.91,40.30,45455
shadow-fiend,-1.92,47.73,66863
viper,-2.14,46.37,54080
ursa,-2.27,40.97,82996
tusk,-2.29,53.10,28262
bane,-2.32,49.37,35779
spirit-breaker,-2.49,42.68,83736
lone-druid,-2.50,55.09,13176
razor,-2.54,49.44,47236
templar-assassin,-2.59,49.78,35426
beastmaster,-2.67,48.59,14527
death-prophet,-2.85,48.17,35145
broodmother,-2.87,55.20,18669
medusa,-3.10,43.20,50423
chaos-knight,-3.25,44.52,37732
gyrocopter,-3.28,50.10,29630
meepo,-3.28,47.14,28555
alchemist,-3.47,45.87,68433
clinkz,-3.56,48.90,57827
ember-spirit,-3.58,52.88,36719
weaver,-3.77,45.40,61365
lifestealer,-4.21,45.48,75899
night-stalker,-4.23,44.38,38034
lycan,-5.31,47.37,21683
pudge,-5.95,40.94,218318
natures-prophet,-6.30,51.67,54863
sniper,-6.43,41.91,153924
huskar,-6.94,46.66,71426
anti-mage,-7.03,45.72,118687
