hero,para,rate,matches
undying,4.46,48.99,26760
naga-siren,3.95,44.08,17926
clockwerk,3.69,48.38,29030
pudge,3.34,50.74,184399
spectre,3.03,52.86,57559
anti-mage,2.84,44.68,113368
night-stalker,2.70,47.51,32975
juggernaut,2.61,47.51,140536
nyx-assassin,2.44,47.48,53157
leshrac,2.40,42.98,14413
underlord,2.27,51.89,30598
necrophos,2.21,52.27,57528
faceless-void,2.02,44.71,80288
phantom-lancer,1.99,42.66,41763
slark,1.99,48.09,142233
death-prophet,1.93,43.88,28174
natures-prophet,1.81,38.36,41585
storm-spirit,1.79,46.30,67007
lycan,1.77,43.37,19347
witch-doctor,1.57,46.95,35631
mirana,1.54,48.98,96349
beastmaster,1.54,43.38,12183
chaos-knight,1.48,47.26,36042
alchemist,1.36,45.70,65445
sand-king,1.31,46.37,59375
zeus,1.26,51.44,57176
terrorblade,1.14,45.89,27243
luna,1.07,51.60,64081
centaur-warrunner,1.07,52.15,41617
venomancer,0.98,48.25,31793
brewmaster,0.93,44.19,13256
broodmother,0.90,36.41,15797
jakiro,0.81,49.92,25184
dragon-knight,0.69,46.00,37049
bloodseeker,0.68,47.07,86840
treant-protector,0.65,50.05,18813
dazzle,0.64,48.34,28769
axe,0.60,49.09,111434
meepo,0.59,44.13,25262
wraith-king,0.48,52.42,83602
shadow-shaman,0.45,49.22,36406
magnus,0.34,43.14,33738
batrider,0.31,41.42,17715
earthshaker,0.25,46.36,53219
sven,0.22,50.87,102529
elder-titan,0.20,50.86,18599
ogre-magi,0.13,50.55,43410
tinker,0.10,43.89,63895
abaddon,0.10,52.26,33956
gyrocopter,0.08,40.92,25025
ursa,0.03,50.75,67087
sniper,-0.05,47.78,129621
doom,-0.11,39.74,20404
omniknight,-0.19,56.45,49973
tiny,-0.20,41.28,48864
razor,-0.21,41.83,39680
morphling,-0.24,44.45,71061
spirit-breaker,-0.25,48.72,70012
legion-commander,-0.28,45.23,140793
queen-of-pain,-0.28,38.46,34246
lifestealer,-0.30,44.99,67036
timbersaw,-0.33,44.95,65836
bristleback,-0.49,44.66,53212
shadow-fiend,-0.50,43.73,58753
viper,-0.50,45.00,45351
warlock,-0.52,51.53,22791
ember-spirit,-0.68,37.71,33657
enigma,-0.69,47.91,23990
oracle,-0.71,38.79,15603
riki,-0.71,50.25,105071
bane,-0.72,41.81,23486
kunkka,-0.74,43.99,68270
invoker,-0.75,42.65,114863
silencer,-0.75,49.57,42725
phantom-assassin,-0.80,48.22,198532
weaver,-0.82,45.05,52851
windranger,-0.91,41.10,61006
vengeful-spirit,-0.94,48.17,35091
dark-seer,-1.01,45.26,17931
arc-warden,-1.06,39.41,14955
slardar,-1.11,46.93,61346
puck,-1.15,39.92,25200
lina,-1.16,40.21,41693
tusk,-1.21,37.98,22776
lone-druid,-1.22,35.95,11543
clinkz,-1.33,41.39,47914
medusa,-1.48,47.32,45975
huskar,-1.53,41.85,65931
disruptor,-1.55,46.53,23616
phoenix,-1.62,46.92,17906
troll-warlord,-1.67,45.17,42899
enchantress,-1.89,35.68,18617
drow-ranger,-1.92,46.68,105685
outworld-devourer,-1.95,45.46,52687
lion,-2.09,43.21,53187
bounty-hunter,-2.17,41.47,67716
templar-assassin,-2.33,40.59,31034
rubick,-2.38,41.42,34928
keeper-of-the-light,-2.57,45.27,22267
lich,-2.74,49.52,27513
skywrath-mage,-3.12,41.64,26826
crystal-maiden,-4.44,49.17,46816
winter-wyvern,-4.92,40.24,16413
earth-spirit,-5.09,36.41,10359
visage,-5.38,38.58,8353
shadow-demon,-5.52,39.88,15380
tidehunter,-7.35,43.35,39169
ancient-apparition,-8.04,43.04,25053
techies,-12.23,37.05,20460
chen,-12.83,33.42,5918
io,-25.44,25.16,9011
