hero,para,rate,matches
visage,4.83,50.00,13833
batrider,3.62,48.87,33726
outworld-devourer,3.45,43.53,98646
timbersaw,3.25,44.73,123599
arc-warden,3.11,50.19,26200
ancient-apparition,2.92,42.87,55265
winter-wyvern,2.80,47.40,35770
shadow-demon,2.64,47.44,38058
elder-titan,2.53,38.81,35003
io,2.46,56.57,17007
clockwerk,2.40,42.79,51142
beastmaster,2.27,46.74,22465
dark-seer,2.24,43.66,35589
brewmaster,2.20,45.61,22274
omniknight,2.16,33.24,126759
bounty-hunter,2.04,46.98,145083
broodmother,2.04,53.73,27765
leshrac,2.01,47.40,25096
slark,1.97,42.12,259930
undying,1.93,42.35,45199
pudge,1.89,40.18,378397
chen,1.87,51.18,10242
lich,1.79,38.38,62235
storm-spirit,1.71,43.67,141872
naga-siren,1.60,46.77,31193
morphling,1.51,44.53,119667
enigma,1.40,40.81,51509
phantom-assassin,1.35,40.44,390738
keeper-of-the-light,1.34,42.54,52515
phantom-lancer,1.08,47.12,74364
techies,1.04,46.70,43033
terrorblade,1.00,43.48,46177
phoenix,0.97,41.18,38765
tinker,0.83,44.94,131060
sand-king,0.80,43.00,119027
dragon-knight,0.79,43.08,61497
jakiro,0.78,39.33,48522
sniper,0.76,40.98,260374
slardar,0.69,41.30,116586
earth-spirit,0.62,50.53,22087
gyrocopter,0.55,47.84,45388
oracle,0.52,49.73,34494
alchemist,0.50,43.55,112579
skywrath-mage,0.42,45.63,58721
rubick,0.40,46.18,95960
axe,0.37,39.86,205784
tidehunter,0.30,41.78,68325
vengeful-spirit,0.26,39.98,81615
magnus,0.21,45.53,66365
mirana,0.19,40.33,220000
night-stalker,0.10,42.21,60548
disruptor,0.08,41.23,61269
lone-druid,0.07,52.35,20468
chaos-knight,0.02,41.87,61134
doom,0.01,48.73,37096
crystal-maiden,-0.02,37.19,123288
windranger,-0.03,46.96,128483
juggernaut,-0.04,42.13,247517
tusk,-0.07,50.10,45729
lion,-0.13,44.23,139260
dazzle,-0.16,40.39,70145
lycan,-0.20,45.72,32610
kunkka,-0.30,43.96,134854
spirit-breaker,-0.32,39.55,137496
necrophos,-0.33,37.37,122163
enchantress,-0.35,52.16,37499
bane,-0.37,46.15,50926
venomancer,-0.45,40.51,63606
earthshaker,-0.49,41.98,115850
pugna,-0.50,45.56,43356
bristleback,-0.50,43.32,95165
shadow-fiend,-0.51,44.24,123011
warlock,-0.53,36.68,49170
death-prophet,-0.54,45.13,50043
lifestealer,-0.59,43.04,121523
invoker,-0.61,45.18,250161
bloodseeker,-0.62,41.43,177871
lina,-0.62,47.50,88048
natures-prophet,-0.69,50.59,81357
underlord,-0.72,37.60,54004
razor,-0.76,46.17,71183
anti-mage,-0.83,44.60,201375
troll-warlord,-0.85,42.14,81226
weaver,-0.85,42.64,98827
shadow-shaman,-0.90,39.17,80769
nyx-assassin,-0.96,41.68,96333
clinkz,-1.03,46.02,91808
ursa,-1.10,37.46,125549
witch-doctor,-1.35,41.65,80654
ogre-magi,-1.35,37.60,102108
ember-spirit,-1.38,49.94,60581
treant-protector,-1.44,38.27,38533
drow-ranger,-1.51,40.26,207157
luna,-1.52,37.00,115486
centaur-warrunner,-1.59,36.48,69372
templar-assassin,-1.66,46.11,60942
riki,-1.76,37.32,217320
tiny,-1.80,46.25,89740
viper,-1.82,42.41,87569
sven,-1.94,37.11,183605
faceless-void,-1.96,43.72,142429
abaddon,-2.33,35.64,60402
zeus,-2.42,36.90,120328
puck,-2.45,46.92,62023
meepo,-2.98,43.21,52567
huskar,-3.01,44.55,118662
spectre,-3.16,36.16,91626
silencer,-3.19,37.39,97385
legion-commander,-3.41,41.59,272578
medusa,-3.95,38.86,78687
wraith-king,-5.24,34.62,143201
