hero,para,rate,matches
broodmother,4.29,33.68,23025
terrorblade,3.19,42.55,39897
lycan,3.07,39.73,28398
naga-siren,2.97,39.48,26404
spectre,2.28,48.16,88271
leshrac,2.19,38.76,18822
legion-commander,2.08,42.07,245981
centaur-warrunner,2.04,48.34,61833
riki,1.89,47.28,190489
lifestealer,1.80,41.73,113912
anti-mage,1.78,40.05,187460
brewmaster,1.77,40.38,18535
sven,1.56,47.27,175007
chaos-knight,1.53,43.06,54387
chen,1.41,34.92,9051
wraith-king,1.30,48.57,136418
treant-protector,1.26,46.09,34209
luna,1.23,47.42,96497
warlock,1.21,48.16,41820
ursa,1.10,47.03,111106
doom,1.06,36.20,33349
abaddon,0.98,48.46,52855
visage,0.98,37.13,11434
night-stalker,0.93,42.49,50765
lone-druid,0.93,32.89,17776
dark-seer,0.85,41.92,30783
troll-warlord,0.83,42.12,69531
underlord,0.63,46.82,46663
axe,0.57,44.85,188370
faceless-void,0.55,39.94,137551
oracle,0.55,35.33,29207
earthshaker,0.53,42.31,105470
beastmaster,0.48,38.83,19390
phantom-lancer,0.41,37.94,64666
drow-ranger,0.33,43.55,171106
bounty-hunter,0.32,38.45,126550
clinkz,0.31,38.02,71162
juggernaut,0.26,42.24,221955
slark,0.21,43.06,226434
necrophos,0.15,46.99,94886
enigma,0.08,44.08,48674
natures-prophet,-0.01,33.80,68881
tidehunter,-0.01,42.62,62588
phoenix,-0.04,43.49,32772
vengeful-spirit,-0.07,44.40,69667
dragon-knight,-0.25,41.43,49781
gyrocopter,-0.26,36.78,36094
phantom-assassin,-0.27,44.29,319030
pugna,-0.28,38.46,34246
bristleback,-0.28,40.63,85123
bane,-0.33,37.93,42132
lion,-0.35,39.88,118329
undying,-0.36,42.57,39936
nyx-assassin,-0.42,42.01,80437
clockwerk,-0.49,42.28,43362
spirit-breaker,-0.55,44.40,120560
lich,-0.61,46.42,53155
magnus,-0.63,38.67,54015
omniknight,-0.64,52.04,108588
sand-king,-0.71,41.32,103744
winter-wyvern,-0.79,37.96,31849
jakiro,-0.81,44.94,41663
shadow-shaman,-0.84,44.42,66588
elder-titan,-0.85,46.15,31689
meepo,-0.87,39.42,37428
viper,-0.90,40.71,61209
silencer,-0.94,45.30,73679
witch-doctor,-0.95,41.66,71825
weaver,-1.01,40.86,79568
death-prophet,-1.02,38.57,30406
tiny,-1.13,36.91,71580
mirana,-1.22,43.50,159171
morphling,-1.23,39.93,99392
venomancer,-1.25,43.05,52604
tusk,-1.30,34.08,37970
keeper-of-the-light,-1.31,41.75,45494
ogre-magi,-1.39,45.63,91753
slardar,-1.40,42.67,103357
crystal-maiden,-1.42,46.57,105312
timbersaw,-1.48,40.36,103129
batrider,-1.57,36.68,26818
skywrath-mage,-1.59,38.28,44961
medusa,-1.61,43.13,61916
ancient-apparition,-1.62,41.94,49681
enchantress,-1.78,31.98,29956
dazzle,-1.87,43.02,59675
pudge,-1.90,44.04,263208
windranger,-1.91,36.73,86253
shadow-demon,-1.96,37.41,32744
bloodseeker,-2.00,41.73,145505
lina,-2.04,35.93,59615
razor,-2.13,37.07,51425
huskar,-2.17,37.60,91650
zeus,-2.22,45.55,69335
techies,-2.25,37.30,36447
rubick,-2.32,37.48,78055
disruptor,-2.51,42.00,51000
kunkka,-2.76,39.09,103670
templar-assassin,-3.07,36.38,33880
alchemist,-3.07,39.70,76702
earth-spirit,-3.08,33.40,19136
sniper,-3.26,42.20,186357
storm-spirit,-3.87,39.75,54443
shadow-fiend,-3.90,38.29,58295
arc-warden,-4.14,34.38,18460
tinker,-5.02,37.74,58266
puck,-5.39,34.44,27621
invoker,-5.72,36.67,107332
ember-spirit,-6.04,32.02,39888
io,-6.28,28.19,14254
outworld-devourer,-6.73,39.35,49745
