hero,para,rate,matches
io,10.92,65.04,20559
tidehunter,9.83,49.51,75538
visage,7.93,55.24,15379
chen,7.61,57.81,12226
oracle,5.40,55.81,35387
omniknight,5.18,37.52,125016
phantom-assassin,4.60,45.28,423564
skywrath-mage,4.48,51.11,61062
spirit-breaker,4.33,44.92,149851
earth-spirit,4.12,55.91,22800
night-stalker,4.04,47.45,67434
arc-warden,3.88,54.18,27786
riki,3.87,42.93,229358
abaddon,3.25,41.08,68307
death-prophet,2.86,50.25,56727
bane,2.79,51.20,55777
ancient-apparition,2.77,46.32,57340
pugna,2.62,50.56,47236
broodmother,2.60,57.57,31770
shadow-shaman,2.59,44.01,89138
puck,2.56,52.90,51657
lion,2.51,48.95,138855
rubick,2.30,50.62,86038
techies,2.03,50.71,48711
lifestealer,1.94,47.65,135900
bounty-hunter,1.84,50.43,154178
batrider,1.71,51.52,35527
nyx-assassin,1.67,46.28,97585
silencer,1.66,42.68,92597
sven,1.63,41.85,206920
leshrac,1.52,50.71,27815
dark-seer,1.40,46.79,38257
brewmaster,1.38,48.77,24753
winter-wyvern,1.37,50.27,37931
templar-assassin,1.36,51.06,63605
dragon-knight,1.13,46.71,69775
legion-commander,1.11,47.03,283410
disruptor,1.09,45.10,60399
clinkz,1.06,50.51,100044
treant-protector,1.05,42.63,41268
wraith-king,1.00,40.22,156572
dazzle,0.99,44.29,72792
shadow-demon,0.95,50.17,37435
magnus,0.89,49.34,68034
lina,0.81,51.70,96589
lone-druid,0.67,56.16,23223
storm-spirit,0.67,46.69,126722
queen-of-pain,0.66,53.83,71183
slardar,0.59,44.69,117679
axe,0.59,43.36,220469
juggernaut,0.59,45.84,256696
tiny,0.58,50.87,94857
ursa,0.58,41.45,153910
troll-warlord,0.57,46.20,95255
bristleback,0.54,47.25,107826
vengeful-spirit,0.35,43.41,85142
tusk,0.25,53.75,49056
windranger,-0.08,50.42,128767
natures-prophet,-0.16,54.33,87501
phoenix,-0.21,44.10,41236
outworld-devourer,-0.27,45.39,107106
beastmaster,-0.39,48.99,24019
zeus,-0.42,40.98,126687
elder-titan,-0.44,41.01,38277
huskar,-0.55,49.14,135092
naga-siren,-0.58,49.22,34375
morphling,-0.63,47.02,116361
enchantress,-0.78,55.38,40684
ogre-magi,-0.89,41.09,103117
kunkka,-0.94,47.11,134697
crystal-maiden,-0.95,40.12,131754
alchemist,-0.96,46.34,120675
gyrocopter,-0.97,50.57,50973
centaur-warrunner,-0.97,39.99,75377
meepo,-1.01,47.52,50132
timbersaw,-1.06,46.28,131685
undying,-1.09,44.49,49175
lich,-1.24,40.53,69946
keeper-of-the-light,-1.27,44.83,53940
pudge,-1.35,42.23,365082
phantom-lancer,-1.38,49.41,81854
warlock,-1.47,39.59,53508
jakiro,-1.53,41.75,53369
doom,-1.53,51.42,39750
tinker,-1.58,47.28,120915
earthshaker,-1.59,44.90,118780
invoker,-1.71,48.09,230471
terrorblade,-1.74,45.69,50996
lycan,-1.77,48.42,36704
luna,-1.92,40.11,123978
witch-doctor,-1.98,44.75,89272
chaos-knight,-2.03,44.38,67829
faceless-void,-2.15,47.03,144672
bloodseeker,-2.20,44.13,188045
weaver,-2.49,45.29,107405
drow-ranger,-2.50,43.18,214929
sand-king,-2.53,44.94,122412
ember-spirit,-2.87,52.56,64066
enigma,-3.00,42.34,54528
medusa,-3.10,42.50,85326
mirana,-3.26,42.23,204590
venomancer,-3.31,42.63,70817
underlord,-3.37,39.81,58206
viper,-3.38,45.07,100847
anti-mage,-3.40,46.80,194078
clockwerk,-3.48,43.64,53345
shadow-fiend,-3.66,46.18,119677
slark,-3.74,43.05,258341
necrophos,-4.28,39.07,126400
spectre,-4.53,38.82,95988
sniper,-4.91,41.91,287730
