hero,para,rate,matches
broodmother,7.66,38.13,26177
natures-prophet,5.70,39.11,71716
lycan,5.12,44.05,30482
drow-ranger,4.63,49.03,172885
chen,4.55,39.37,9414
oracle,3.93,39.88,30185
brewmaster,3.83,44.71,20215
naga-siren,3.37,43.09,27862
lone-druid,3.22,36.87,19151
visage,3.19,41.35,12292
chaos-knight,3.15,47.29,57233
io,3.10,34.12,14729
winter-wyvern,2.78,42.77,33574
leshrac,2.73,42.39,22325
treant-protector,2.37,50.16,35914
anti-mage,2.09,43.62,161729
troll-warlord,2.06,46.14,74871
phantom-lancer,2.01,41.95,66829
death-prophet,1.96,43.16,43023
wraith-king,1.88,52.41,132100
tidehunter,1.76,46.87,59248
bloodseeker,1.71,46.81,154002
ursa,1.68,50.84,117922
tiny,1.57,41.29,75865
abaddon,1.56,52.28,57494
sven,1.50,50.78,156129
tusk,1.49,38.31,41204
meepo,1.35,43.74,39290
dazzle,1.31,47.92,64282
enigma,1.25,48.11,45390
terrorblade,1.25,45.21,40609
alchemist,1.08,44.84,93920
dragon-knight,0.95,45.39,55195
earthshaker,0.95,45.95,106737
viper,0.94,44.92,73554
spirit-breaker,0.87,48.53,122641
night-stalker,0.85,45.92,54073
witch-doctor,0.76,45.84,76089
centaur-warrunner,0.74,51.24,62699
lifestealer,0.71,44.72,105391
beastmaster,0.69,42.29,20086
huskar,0.65,42.06,101980
lich,0.62,50.49,60886
shadow-shaman,0.57,48.54,78801
bane,0.50,41.60,56433
jakiro,0.47,49.01,46018
gyrocopter,0.43,40.35,39006
elder-titan,0.40,50.23,32991
legion-commander,0.40,44.81,229173
luna,0.39,50.52,94580
juggernaut,0.39,45.75,201051
enchantress,0.38,35.83,33351
slardar,0.35,46.89,98252
spectre,0.28,50.72,79455
lina,0.22,40.06,76315
clinkz,0.11,41.28,78246
warlock,0.09,51.12,45486
bounty-hunter,-0.06,41.65,137987
slark,-0.07,46.39,204262
crystal-maiden,-0.12,50.66,109984
keeper-of-the-light,-0.18,45.66,47672
pugna,-0.21,41.83,39680
earth-spirit,-0.23,37.59,19270
faceless-void,-0.25,42.99,118748
phantom-assassin,-0.28,47.74,309216
disruptor,-0.34,46.37,52584
doom,-0.35,38.94,34085
vengeful-spirit,-0.36,47.73,73261
axe,-0.42,47.86,187411
kunkka,-0.45,43.40,107158
bristleback,-0.46,43.95,86918
omniknight,-0.48,55.57,107859
arc-warden,-0.52,38.93,21378
riki,-0.64,49.56,191427
underlord,-0.68,49.67,47080
venomancer,-0.88,46.64,58243
sniper,-0.88,46.67,207738
batrider,-0.89,40.22,27951
dark-seer,-0.91,44.59,30985
puck,-1.06,39.27,38179
sand-king,-1.19,44.51,105148
skywrath-mage,-1.20,41.76,49434
undying,-1.34,45.55,41474
clockwerk,-1.38,45.30,44613
techies,-1.38,40.93,39663
weaver,-1.39,44.08,81179
lion,-1.48,42.77,124860
pudge,-1.54,47.62,293426
shadow-demon,-1.60,40.84,33538
silencer,-1.67,48.39,77182
rubick,-1.67,41.02,79200
necrophos,-1.68,49.56,101629
ogre-magi,-1.72,48.89,93860
phoenix,-1.83,46.10,33857
zeus,-1.92,49.10,96479
shadow-fiend,-1.97,42.37,82347
windranger,-2.03,39.94,96306
queen-of-pain,-2.13,37.07,51425
storm-spirit,-2.23,43.77,90590
nyx-assassin,-2.27,44.59,83063
mirana,-2.29,46.42,154488
medusa,-2.55,46.09,63266
templar-assassin,-2.63,39.78,46006
ancient-apparition,-2.70,44.83,48965
invoker,-3.08,40.95,161675
magnus,-3.41,40.84,48822
ember-spirit,-3.70,35.90,48690
timbersaw,-3.89,42.65,98807
morphling,-3.90,42.12,87227
outworld-devourer,-4.10,43.76,70019
tinker,-5.12,40.91,88035
