hero,para,rate,matches
medusa,4.26,54.83,251194
lifestealer,4.02,57.71,424630
slark,3.90,55.54,919665
witch-doctor,3.56,56.32,252924
storm-spirit,3.40,56.99,425722
enigma,3.32,54.11,151223
faceless-void,3.19,58.59,469288
weaver,3.13,56.91,334969
meepo,3.11,58.49,186357
huskar,2.97,59.82,487067
undying,2.91,55.27,128077
ember-spirit,2.66,64.28,194009
anti-mage,2.33,58.49,706932
arc-warden,2.19,62.08,74383
legion-commander,2.16,56.44,1130775
tusk,2.04,63.40,139699
shadow-demon,1.87,59.47,111573
puck,1.76,61.26,174061
clockwerk,1.73,54.88,146144
magnus,1.71,58.59,193020
invoker,1.43,58.46,834401
drow-ranger,1.42,53.77,797534
ursa,1.41,50.58,492228
gyrocopter,1.34,60.50,129152
wraith-king,1.33,49.09,522215
pudge,1.27,52.17,1333216
juggernaut,1.19,54.96,887807
kunkka,1.12,56.91,432525
rubick,1.11,58.81,260461
queen-of-pain,1.08,62.68,217320
lich,0.98,50.18,202237
clinkz,0.95,59.21,324441
nyx-assassin,0.89,54.74,314240
warlock,0.82,49.21,149233
pugna,0.81,58.43,125467
death-prophet,0.78,58.00,153794
viper,0.69,55.77,306088
lina,0.63,60.29,302592
templar-assassin,0.59,59.38,195424
phantom-lancer,0.56,59.09,251378
ancient-apparition,0.53,54.10,165941
spirit-breaker,0.41,51.98,525796
shadow-shaman,0.34,51.79,281913
skywrath-mage,0.16,57.71,179819
doom,0.06,60.84,115288
leshrac,0.03,58.64,67919
earthshaker,0.01,54.37,378890
chaos-knight,-0.04,54.01,202622
phoenix,-0.06,52.89,119252
batrider,-0.08,59.25,94746
oracle,-0.19,61.40,95574
sand-king,-0.27,54.69,376203
abaddon,-0.30,48.25,190386
outworld-devourer,-0.33,54.07,324950
enchantress,-0.36,63.97,111490
treant-protector,-0.38,50.69,112893
morphling,-0.40,55.83,390004
luna,-0.47,49.32,392144
terrorblade,-0.61,54.90,136441
natures-prophet,-0.67,62.47,267818
lone-druid,-0.73,63.70,64527
sniper,-0.77,52.40,1084518
lycan,-0.86,57.48,94502
mirana,-0.98,51.86,701776
bane,-1.01,57.90,156691
windranger,-1.02,58.51,429129
sven,-1.04,49.33,697122
shadow-fiend,-1.04,56.07,403821
keeper-of-the-light,-1.05,53.57,167376
silencer,-1.11,50.11,282417
earth-spirit,-1.16,61.49,66987
dazzle,-1.17,51.97,215630
crystal-maiden,-1.19,48.57,435995
jakiro,-1.20,50.48,148101
venomancer,-1.34,52.12,195477
brewmaster,-1.35,56.05,59888
dark-seer,-1.49,54.07,101866
tiny,-1.52,58.33,293326
night-stalker,-1.52,53.52,197835
beastmaster,-1.52,57.00,64660
vengeful-spirit,-1.54,51.18,251041
tinker,-1.55,55.88,435228
centaur-warrunner,-1.55,48.26,215414
alchemist,-1.58,54.64,391116
io,-1.70,65.67,51444
troll-warlord,-1.70,53.74,316035
lion,-1.80,55.46,454228
zeus,-1.83,48.90,469140
dragon-knight,-1.94,53.85,196081
disruptor,-1.96,52.30,173168
bloodseeker,-2.13,52.71,734578
ogre-magi,-2.17,49.05,334174
slardar,-2.17,52.00,606943
axe,-2.20,50.68,775203
elder-titan,-2.41,48.65,99265
spectre,-2.44,48.10,297757
winter-wyvern,-2.47,56.84,101518
chen,-2.53,60.66,32445
razor,-2.72,57.07,229358
visage,-2.90,58.08,34663
necrophos,-2.97,48.01,405681
omniknight,-2.98,42.73,432849
tidehunter,-2.99,52.21,187794
broodmother,-3.16,62.44,81884
timbersaw,-3.40,53.62,407385
phantom-assassin,-3.67,50.10,1592960
techies,-4.15,55.96,175991
naga-siren,-4.20,55.75,86064
underlord,-4.44,47.66,164703
bounty-hunter,-4.49,55.60,837889
bristleback,-5.95,52.41,350858
