hero,para,rate,matches
dark-seer,3.82,55.79,104122
ember-spirit,3.35,47.30,173855
medusa,3.02,57.72,218341
wraith-king,2.99,61.85,435908
io,2.91,42.45,39185
dazzle,2.84,57.62,169218
phoenix,2.67,57.18,96402
ancient-apparition,2.60,56.23,133065
chen,2.48,47.31,24337
slardar,2.47,56.82,310765
lich,2.18,60.13,164858
crystal-maiden,2.13,60.64,339859
centaur-warrunner,2.09,60.75,182066
shadow-shaman,2.04,58.14,227002
gyrocopter,2.02,49.80,106111
keeper-of-the-light,2.01,55.57,130317
venomancer,1.98,56.89,151353
treant-protector,1.96,58.82,89165
lifestealer,1.93,54.16,400597
queen-of-pain,1.89,47.28,190489
enigma,1.87,57.29,125415
naga-siren,1.86,51.31,70745
ogre-magi,1.86,59.51,261700
zeus,1.81,59.80,355854
meepo,1.70,52.75,152877
jakiro,1.66,58.44,119992
warlock,1.61,60.67,123737
spectre,1.60,60.17,251660
puck,1.58,49.06,155067
tidehunter,1.57,55.66,164926
enchantress,1.51,44.74,89431
necrophos,1.43,59.91,338925
lone-druid,1.43,44.73,51024
alchemist,1.37,53.82,350286
bristleback,1.37,53.61,279021
leshrac,1.35,50.61,55434
phantom-lancer,1.34,50.45,211452
windranger,1.32,50.08,367164
earthshaker,1.26,54.94,319092
undying,1.20,55.56,101593
beastmaster,1.16,51.29,50617
natures-prophet,1.01,45.92,206219
underlord,0.95,59.24,137415
phantom-assassin,0.94,57.12,1307458
disruptor,0.94,55.79,141337
winter-wyvern,0.88,50.73,86069
chaos-knight,0.88,55.07,171722
brewmaster,0.85,52.22,49726
lion,0.80,52.55,368407
timbersaw,0.80,53.53,354662
witch-doctor,0.80,54.67,210569
tiny,0.79,49.69,246735
dragon-knight,0.73,54.09,169871
magnus,0.73,51.35,173737
storm-spirit,0.59,53.81,393650
anti-mage,0.48,51.69,586417
abaddon,0.48,60.39,154954
sven,0.46,58.97,598460
legion-commander,0.46,53.62,797633
vengeful-spirit,0.44,56.87,189746
rubick,0.42,50.62,229239
clockwerk,0.39,54.88,125099
tusk,0.29,46.40,111282
terrorblade,0.29,53.53,111969
shadow-demon,0.21,50.28,87567
skywrath-mage,0.17,51.05,144386
omniknight,0.16,64.33,320776
lycan,0.11,50.64,74348
viper,0.10,53.28,254328
doom,0.06,47.69,88991
lina,0.02,48.60,254357
bane,0.02,50.08,124671
tinker,0.02,51.85,399910
luna,-0.02,58.98,325953
silencer,-0.03,57.89,232218
morphling,-0.04,52.54,347075
bloodseeker,-0.11,54.70,533907
sniper,-0.13,55.74,858849
batrider,-0.14,49.16,76489
axe,-0.15,56.70,622159
arc-warden,-0.21,47.62,63000
spirit-breaker,-0.45,56.57,410268
pudge,-0.54,56.77,1093032
elder-titan,-0.55,58.38,78687
juggernaut,-0.58,53.99,750622
invoker,-0.60,50.64,747597
razor,-0.64,49.56,191427
sand-king,-0.69,53.41,303457
techies,-0.71,49.82,126205
pugna,-0.71,50.25,105071
death-prophet,-0.79,50.63,131992
huskar,-0.97,49.98,399329
night-stalker,-1.02,53.72,153989
troll-warlord,-1.03,53.39,259911
oracle,-1.10,46.41,76207
kunkka,-1.17,51.71,348576
shadow-fiend,-1.19,51.33,354380
ursa,-1.96,57.52,398556
outworld-devourer,-2.13,53.21,300958
visage,-2.18,47.64,27959
weaver,-2.31,52.19,246917
faceless-void,-2.40,50.57,363859
earth-spirit,-2.47,45.04,49502
templar-assassin,-2.68,48.18,165796
slark,-3.34,53.32,729963
mirana,-3.86,54.06,536030
broodmother,-3.88,42.07,61549
drow-ranger,-4.40,53.15,605900
nyx-assassin,-4.87,51.72,215041
clinkz,-6.32,46.75,221437
bounty-hunter,-7.92,46.37,292135
