hero,para,rate,matches
enigma,5.73,46.69,131063
omniknight,5.49,38.13,234502
jakiro,4.63,44.89,71065
wraith-king,4.62,42.19,192148
underlord,4.51,43.59,72142
morphling,4.25,49.88,200557
crystal-maiden,4.07,42.68,219079
luna,3.56,42.88,172603
leshrac,3.24,52.11,27356
sand-king,3.23,48.12,200643
earthshaker,2.79,47.43,197009
zeus,2.74,42.80,171918
lich,2.66,42.65,106035
mirana,2.54,45.29,362761
abaddon,2.43,41.27,78720
treant-protector,2.00,43.55,49552
centaur-warrunner,1.92,41.67,93091
disruptor,1.83,45.95,101151
lion,1.71,49.10,251447
warlock,1.70,41.37,90372
magnus,1.65,50.24,146704
ogre-magi,1.55,42.61,170565
kunkka,1.53,48.81,223387
ancient-apparition,1.50,46.27,91897
necrophos,1.47,41.93,189477
oracle,1.36,54.20,50245
shadow-fiend,1.36,49.12,169727
venomancer,1.36,45.22,83395
broodmother,1.28,57.35,25394
slardar,1.24,45.50,159911
dark-seer,1.13,47.20,50028
nyx-assassin,1.06,46.53,140939
bounty-hunter,1.05,50.57,191029
puck,1.04,52.65,83541
beastmaster,0.93,50.17,32342
gyrocopter,0.92,52.06,51849
phantom-lancer,0.73,50.99,73923
lina,0.65,52.14,125031
shadow-shaman,0.61,43.68,121436
techies,0.60,50.52,59214
tiny,0.52,51.37,117526
vengeful-spirit,0.52,44.00,115413
naga-siren,0.50,50.28,36999
doom,0.44,52.97,57415
bane,0.33,50.49,78605
pugna,0.33,49.95,57304
dazzle,0.27,44.49,107253
outworld-devourer,0.23,46.13,157317
skywrath-mage,0.20,49.54,78831
keeper-of-the-light,0.17,46.00,84424
anti-mage,0.14,49.03,292465
brewmaster,0.12,48.68,24122
sven,0.01,41.69,271931
batrider,-0.01,51.17,43806
night-stalker,-0.04,46.11,66127
medusa,-0.09,44.33,101009
juggernaut,-0.13,46.03,409108
dragon-knight,-0.15,46.63,70787
legion-commander,-0.20,46.94,362066
witch-doctor,-0.20,46.07,135101
clockwerk,-0.20,45.64,69684
invoker,-0.21,49.35,458653
pudge,-0.29,43.19,729367
troll-warlord,-0.30,46.32,88722
queen-of-pain,-0.34,53.82,95960
natures-prophet,-0.48,54.67,105656
timbersaw,-0.48,47.07,189035
shadow-demon,-0.49,49.98,64310
tidehunter,-0.50,45.37,132800
windranger,-0.52,50.71,167578
bloodseeker,-0.53,45.39,227140
winter-wyvern,-0.55,49.84,53963
viper,-0.56,46.90,91365
enchantress,-0.57,56.01,38625
silencer,-0.58,42.24,146168
storm-spirit,-0.61,46.61,195856
tinker,-0.73,48.21,198628
undying,-0.85,45.11,60520
elder-titan,-0.88,41.32,48267
weaver,-0.88,46.55,118503
io,-0.95,58.57,22199
tusk,-0.96,53.62,56058
arc-warden,-1.02,52.14,32757
phoenix,-1.05,44.23,67077
death-prophet,-1.06,48.85,66858
spirit-breaker,-1.12,43.08,184557
ember-spirit,-1.15,54.01,80759
lone-druid,-1.19,55.62,25282
faceless-void,-1.19,48.01,223228
spectre,-1.38,40.59,130128
meepo,-1.49,47.81,72701
riki,-1.54,41.19,260461
axe,-1.60,42.92,273910
chaos-knight,-1.62,45.07,64981
sniper,-1.67,43.84,320130
ursa,-1.76,40.98,149446
huskar,-1.77,49.05,126388
lycan,-1.78,48.93,31356
chen,-1.89,53.21,13681
alchemist,-1.98,46.37,144724
lifestealer,-2.22,46.21,158152
razor,-2.25,49.38,86038
earth-spirit,-2.33,52.95,35120
visage,-2.37,50.48,13630
clinkz,-2.46,49.26,104627
drow-ranger,-2.52,43.67,264217
slark,-2.52,44.10,357658
terrorblade,-2.69,45.75,51109
bristleback,-3.16,46.01,112239
phantom-assassin,-4.00,42.05,486544
templar-assassin,-4.66,48.52,75642
