hero,para,rate,matches
meepo,4.91,45.81,77885
arc-warden,4.21,41.30,29956
alchemist,3.54,46.47,158902
anti-mage,3.41,44.71,303925
templar-assassin,2.81,42.52,78432
faceless-void,2.65,44.77,193642
clinkz,2.59,42.82,99541
outworld-devourer,2.51,47.31,149520
storm-spirit,2.34,46.34,193837
terrorblade,2.31,46.21,49587
juggernaut,2.15,47.08,367860
underlord,2.06,51.57,59469
morphling,2.03,45.25,191224
abaddon,2.02,53.05,65186
luna,1.90,51.81,136303
tinker,1.85,44.44,194867
dark-seer,1.69,46.28,38210
magnus,1.59,43.47,88530
slark,1.55,47.67,387434
earth-spirit,1.48,38.73,25094
drow-ranger,1.40,48.04,249192
lone-druid,1.34,36.69,23280
invoker,1.28,43.31,378298
beastmaster,1.25,43.05,25921
lifestealer,1.24,45.48,161130
ember-spirit,1.20,38.22,82150
phantom-assassin,1.08,48.91,522307
omniknight,1.03,56.93,104107
undying,0.99,47.15,44972
pudge,0.92,49.34,442844
sniper,0.88,48.02,290148
weaver,0.79,45.57,109811
necrophos,0.77,51.32,117388
ursa,0.73,50.89,151430
sven,0.58,50.85,250679
nyx-assassin,0.55,46.40,119079
huskar,0.51,42.51,119522
zeus,0.45,50.81,121307
puck,0.45,40.37,73946
riki,0.42,50.62,229239
clockwerk,0.24,46.56,64892
shadow-fiend,0.23,43.84,155081
centaur-warrunner,0.21,51.49,86525
spectre,0.17,51.18,136463
death-prophet,0.01,42.85,49936
venomancer,-0.03,47.56,51798
brewmaster,-0.09,43.54,21937
naga-siren,-0.09,42.16,31968
legion-commander,-0.22,45.05,340865
timbersaw,-0.24,44.78,189966
bounty-hunter,-0.27,42.07,141261
silencer,-0.28,49.59,93628
treant-protector,-0.30,49.37,31016
medusa,-0.30,47.67,95663
ogre-magi,-0.31,50.11,92384
enigma,-0.43,47.83,50678
tidehunter,-0.47,46.36,83776
doom,-0.49,39.39,44737
mirana,-0.57,47.75,267857
bloodseeker,-0.80,46.17,187189
elder-titan,-0.84,50.12,32874
warlock,-0.90,51.13,36294
spirit-breaker,-0.91,48.19,148412
slardar,-0.98,46.78,152102
lycan,-1.07,41.96,28374
phoenix,-1.21,46.91,41153
batrider,-1.22,40.59,36828
wraith-king,-1.23,51.32,183413
troll-warlord,-1.29,45.14,86039
phantom-lancer,-1.34,41.07,78345
viper,-1.37,44.39,83586
chen,-1.46,37.59,9493
night-stalker,-1.46,45.38,62759
tiny,-1.47,40.55,102792
razor,-1.67,41.02,79200
dragon-knight,-1.84,44.64,70123
chaos-knight,-1.85,45.51,65812
queen-of-pain,-2.32,37.48,78055
pugna,-2.38,41.42,34928
bristleback,-2.39,43.60,114430
lich,-2.54,49.42,46703
tusk,-2.56,37.27,45364
sand-king,-2.58,44.39,140348
dazzle,-2.60,46.57,49748
skywrath-mage,-2.69,41.63,43540
axe,-2.76,47.24,264352
vengeful-spirit,-2.80,47.07,62032
windranger,-2.91,40.07,144372
kunkka,-3.08,42.76,171689
jakiro,-3.12,47.76,35382
witch-doctor,-3.17,44.55,56403
shadow-demon,-3.42,40.57,31762
lina,-3.45,39.08,77455
earthshaker,-3.60,44.38,107206
disruptor,-3.66,45.33,42658
ancient-apparition,-3.84,44.80,44654
visage,-3.89,39.00,9385
broodmother,-4.11,34.42,23866
keeper-of-the-light,-4.26,44.28,42573
natures-prophet,-4.27,35.89,81724
shadow-shaman,-4.53,46.58,52851
gyrocopter,-4.62,38.80,43324
crystal-maiden,-4.77,48.80,83685
leshrac,-4.80,39.77,19313
oracle,-4.89,36.97,26496
enchantress,-4.97,34.38,30266
lion,-5.33,41.58,98765
winter-wyvern,-5.43,39.83,25924
bane,-6.14,39.33,38510
techies,-6.67,39.21,40786
io,-8.61,30.67,14645
