hero,para,rate,matches
phantom-lancer,11.39,60.15,146239
chaos-knight,9.81,54.01,106394
terrorblade,6.27,53.56,77401
broodmother,5.68,63.32,43663
naga-siren,4.69,55.92,52285
troll-warlord,4.31,51.98,129803
ursa,3.61,46.67,218270
phantom-assassin,3.57,48.84,679251
dragon-knight,3.35,51.76,103772
slark,3.35,50.24,490077
meepo,3.11,53.53,95804
luna,3.08,46.10,212399
vengeful-spirit,3.03,48.56,148107
lycan,2.87,54.72,49908
legion-commander,2.75,51.80,497710
bane,2.74,55.18,90789
winter-wyvern,2.59,54.88,62430
night-stalker,2.50,50.74,102104
templar-assassin,2.47,55.61,105157
brewmaster,2.46,53.28,36123
natures-prophet,2.38,59.64,138612
shadow-demon,2.29,54.83,81780
razor,2.16,55.06,122412
enchantress,2.00,60.81,57456
lich,1.90,45.72,116291
chen,1.79,58.61,17749
lone-druid,1.79,60.66,34632
tusk,1.73,58.47,76489
dazzle,1.52,48.46,129467
beastmaster,1.47,53.87,41140
wraith-king,1.43,44.25,259776
spirit-breaker,1.22,47.49,256352
drow-ranger,1.21,48.75,359117
axe,1.13,47.50,417906
windranger,1.12,54.96,219317
shadow-shaman,1.10,47.28,140998
ogre-magi,1.09,45.79,211894
outworld-devourer,1.06,49.93,204859
gyrocopter,1.06,55.54,70633
omniknight,1.04,39.74,238814
abaddon,0.84,43.95,110226
treant-protector,0.72,46.37,67689
oracle,0.71,57.23,65527
sven,0.54,45.26,337454
keeper-of-the-light,0.45,49.52,101256
crystal-maiden,0.34,44.48,228129
riki,0.32,45.31,376203
death-prophet,0.31,52.92,85587
faceless-void,0.23,52.09,274813
tiny,0.16,54.56,156425
clinkz,0.13,53.94,149895
weaver,0.12,50.41,165194
viper,0.04,50.57,140624
io,-0.04,62.34,29937
lion,-0.04,51.64,271384
invoker,-0.16,52.75,464965
mirana,-0.25,47.41,419392
techies,-0.31,53.44,72808
lina,-0.33,54.99,153689
tinker,-0.54,51.67,242881
skywrath-mage,-0.59,52.51,102483
queen-of-pain,-0.60,57.00,119027
doom,-0.61,55.75,69166
warlock,-0.65,43.70,92516
morphling,-0.80,50.82,232342
ember-spirit,-0.82,57.49,107958
clockwerk,-0.83,48.69,99249
leshrac,-0.86,53.39,39454
shadow-fiend,-0.90,51.37,208523
bloodseeker,-0.95,48.54,304477
arc-warden,-0.99,55.48,45105
batrider,-1.19,53.89,62189
witch-doctor,-1.22,48.94,155982
huskar,-1.24,52.65,192633
earthshaker,-1.25,48.90,234373
ancient-apparition,-1.35,48.30,110877
anti-mage,-1.38,51.62,363807
slardar,-1.38,47.65,235489
puck,-1.41,54.69,100714
alchemist,-1.41,49.98,206605
bristleback,-1.54,50.11,166237
magnus,-1.55,51.99,131686
medusa,-1.56,46.99,139051
pudge,-1.66,45.89,708357
visage,-1.67,54.15,21439
dark-seer,-1.72,49.19,67814
nyx-assassin,-1.73,48.56,201427
centaur-warrunner,-1.77,43.41,132764
bounty-hunter,-1.89,52.42,265918
enigma,-1.90,46.62,94401
kunkka,-1.92,50.48,264729
pugna,-1.93,52.14,76760
lifestealer,-2.05,49.61,222746
necrophos,-2.07,43.72,228927
undying,-2.12,47.83,84366
jakiro,-2.21,45.23,91213
storm-spirit,-2.37,49.09,262422
spectre,-2.43,43.40,183737
disruptor,-2.50,47.29,119389
tidehunter,-2.57,47.71,142933
juggernaut,-2.75,48.11,479499
earth-spirit,-2.75,55.97,44301
rubick,-2.82,51.88,200643
venomancer,-3.41,46.34,113030
silencer,-3.50,44.22,194583
elder-titan,-3.52,43.43,70148
timbersaw,-3.83,48.74,261509
sniper,-3.88,46.09,437855
phoenix,-4.47,45.92,77885
underlord,-4.78,42.88,108566
zeus,-6.29,42.15,215945
