hero,para,rate,matches
chen,6.24,43.97,12909
visage,5.66,46.36,16227
io,5.38,38.61,21620
meepo,3.56,48.70,79494
arc-warden,3.31,44.33,37742
lycan,3.29,47.25,39721
lifestealer,3.10,49.78,186397
juggernaut,3.01,50.95,440748
alchemist,2.51,49.46,190972
anti-mage,2.31,47.67,345389
terrorblade,2.31,49.65,65357
templar-assassin,2.28,45.69,95544
troll-warlord,2.08,50.12,110369
huskar,1.96,46.52,160512
clinkz,1.80,45.88,127331
ursa,1.68,54.81,184743
omniknight,1.49,60.54,179967
sniper,1.49,51.74,397079
death-prophet,1.48,46.87,71527
necrophos,1.43,55.08,181603
lone-druid,1.41,39.94,26338
abaddon,1.37,56.12,82158
pugna,1.31,46.37,59375
chaos-knight,1.27,50.38,81914
earth-spirit,1.22,41.91,31991
ember-spirit,1.18,41.48,99477
sven,1.04,54.49,292382
undying,0.97,50.55,62846
wraith-king,0.95,55.86,219345
viper,0.92,48.83,119200
treant-protector,0.76,53.30,48822
morphling,0.76,48.07,225532
dazzle,0.70,51.56,101962
beastmaster,0.70,46.17,26860
pudge,0.69,52.63,531047
silencer,0.68,53.47,153601
enchantress,0.67,39.62,44199
luna,0.64,54.57,192016
bloodseeker,0.59,50.22,238924
oracle,0.58,42.38,54115
brewmaster,0.54,47.18,26704
night-stalker,0.54,49.70,76376
dragon-knight,0.45,49.07,84904
phoenix,0.43,51.08,55241
storm-spirit,0.35,48.82,246148
legion-commander,0.26,48.65,388253
enigma,0.22,51.53,77541
medusa,0.15,51.28,133366
dark-seer,0.14,48.95,44241
leshrac,0.14,45.16,31747
bane,0.13,45.29,68420
centaur-warrunner,0.11,54.82,85103
spirit-breaker,0.08,52.06,176100
phantom-assassin,0.03,51.79,598774
ancient-apparition,-0.08,49.93,88602
zeus,-0.14,53.88,178928
windranger,-0.18,44.51,178182
bounty-hunter,-0.18,45.43,201247
doom,-0.24,42.76,50149
phantom-lancer,-0.26,44.83,103184
lina,-0.26,43.66,125844
spectre,-0.31,54.30,169227
weaver,-0.36,48.41,137224
skywrath-mage,-0.40,45.94,81456
warlock,-0.46,54.71,71744
outworld-devourer,-0.55,49.25,195751
tusk,-0.62,41.23,55157
broodmother,-0.66,38.81,30977
slark,-0.68,49.98,435581
shadow-demon,-0.69,45.03,66594
riki,-0.69,53.41,303457
queen-of-pain,-0.71,41.32,103744
natures-prophet,-0.71,40.42,101318
shadow-shaman,-0.74,51.79,102939
bristleback,-0.74,47.68,120226
timbersaw,-0.77,47.89,180002
venomancer,-0.78,50.56,86102
underlord,-0.82,53.47,68788
shadow-fiend,-0.84,46.70,195631
vengeful-spirit,-0.90,51.34,108427
invoker,-0.94,45.67,412520
naga-siren,-0.96,45.09,42594
earthshaker,-1.00,48.92,141738
jakiro,-1.05,52.13,66636
witch-doctor,-1.16,48.82,114771
gyrocopter,-1.16,43.48,60563
razor,-1.19,44.51,105148
tiny,-1.20,43.93,119454
lich,-1.20,53.43,90342
drow-ranger,-1.28,50.12,299693
tinker,-1.31,46.37,223590
ogre-magi,-1.32,52.94,145165
magnus,-1.51,45.43,99716
winter-wyvern,-1.51,44.76,50285
mirana,-1.54,50.62,326646
puck,-1.63,42.77,85576
techies,-1.69,44.57,50886
elder-titan,-1.77,52.97,48234
lion,-1.77,46.44,195710
kunkka,-1.98,46.54,201887
slardar,-2.18,49.52,140492
faceless-void,-2.30,45.89,203534
clockwerk,-2.43,48.62,62483
disruptor,-2.56,49.14,94160
rubick,-2.58,44.39,140348
keeper-of-the-light,-2.59,48.35,80486
batrider,-2.68,43.21,40805
crystal-maiden,-2.72,53.14,166762
axe,-2.72,50.55,280689
tidehunter,-2.74,48.59,77039
nyx-assassin,-2.92,48.07,124789
