hero,para,rate,matches
omniknight,7.38,38.59,109278
ursa,3.97,43.15,72795
vengeful-spirit,3.56,45.11,56904
wraith-king,3.48,41.51,74337
techies,3.44,51.72,22580
disruptor,3.29,46.39,47295
ancient-apparition,3.08,46.77,41702
axe,3.01,44.70,132773
legion-commander,2.96,48.20,171138
ogre-magi,2.60,42.83,77985
lion,2.57,49.29,102685
lich,2.56,42.38,39442
mirana,2.55,45.07,144207
dazzle,2.28,45.16,48406
luna,2.04,42.02,77162
oracle,1.96,54.30,27840
slardar,1.61,45.44,71441
silencer,1.59,42.94,63491
anti-mage,1.58,49.51,141016
tidehunter,1.55,46.08,46846
witch-doctor,1.32,46.55,53667
necrophos,1.05,41.54,79022
slark,1.03,45.48,152922
lifestealer,0.90,47.47,71751
skywrath-mage,0.88,49.65,35042
windranger,0.87,51.20,68446
treant-protector,0.75,42.80,21162
centaur-warrunner,0.60,40.91,41855
viper,0.59,47.22,42013
shadow-fiend,0.51,48.48,64943
rubick,0.49,50.02,64310
spectre,0.48,41.14,55477
enchantress,0.36,56.31,17191
crystal-maiden,0.01,40.80,74436
elder-titan,0.01,41.48,25386
alchemist,0.01,47.09,66216
shadow-shaman,-0.01,43.19,45104
keeper-of-the-light,-0.04,45.68,39085
magnus,-0.07,49.17,44777
pudge,-0.07,43.07,223591
bristleback,-0.09,47.25,49825
drow-ranger,-0.12,44.53,120151
outworld-devourer,-0.21,45.71,77494
juggernaut,-0.22,45.77,154210
sven,-0.23,41.38,108384
gyrocopter,-0.28,51.22,21916
invoker,-0.29,49.09,161244
beastmaster,-0.38,49.30,15681
tiny,-0.49,50.63,47446
terrorblade,-0.55,46.54,24307
clockwerk,-0.56,45.25,31332
winter-wyvern,-0.59,49.60,24337
templar-assassin,-0.66,50.34,35786
dark-seer,-0.79,46.08,23818
jakiro,-0.86,42.32,30727
troll-warlord,-0.86,45.84,38082
razor,-0.94,49.83,37435
dragon-knight,-1.00,46.02,30580
venomancer,-1.01,43.94,35282
visage,-1.04,50.94,6633
morphling,-1.26,47.02,83886
phoenix,-1.26,43.92,27846
night-stalker,-1.27,45.32,30490
abaddon,-1.29,39.56,35483
kunkka,-1.30,47.23,103401
batrider,-1.31,50.28,24241
tinker,-1.33,47.70,87217
enigma,-1.36,43.34,28996
io,-1.51,58.04,11119
lina,-1.57,50.77,48284
warlock,-1.58,39.82,31872
spirit-breaker,-1.66,42.63,77419
brewmaster,-1.68,47.58,11014
phantom-assassin,-1.86,42.77,202588
death-prophet,-1.92,48.20,27013
leshrac,-1.94,49.27,12545
broodmother,-2.05,55.25,12797
bloodseeker,-2.06,44.48,87191
zeus,-2.12,40.56,66782
bane,-2.16,49.03,31969
huskar,-2.20,48.62,58099
doom,-2.26,51.32,22444
queen-of-pain,-2.27,52.56,38058
sniper,-2.28,43.36,128227
earthshaker,-2.29,44.87,69020
pugna,-2.29,48.43,24868
arc-warden,-2.35,51.22,15760
riki,-2.63,40.53,111573
sand-king,-2.64,45.17,81780
natures-prophet,-2.66,53.26,43832
nyx-assassin,-2.75,44.55,68280
tusk,-2.94,52.33,24159
puck,-3.02,50.31,37071
earth-spirit,-3.09,52.32,16998
medusa,-3.10,42.78,44627
clinkz,-3.34,48.59,47058
chen,-3.41,52.18,6520
bounty-hunter,-3.43,48.11,80582
undying,-3.46,43.71,27395
faceless-void,-3.57,46.63,102258
storm-spirit,-3.80,44.90,88209
chaos-knight,-3.85,43.83,27230
underlord,-3.86,39.89,33839
naga-siren,-3.96,47.84,16362
weaver,-4.21,44.78,50678
phantom-lancer,-4.83,47.96,32332
timbersaw,-4.85,44.79,82515
lone-druid,-4.95,53.30,11934
lycan,-5.12,47.05,14276
meepo,-5.23,45.78,29610
ember-spirit,-5.29,51.54,35470
