hero,para,rate,matches
arc-warden,6.75,42.08,14244
luna,5.71,53.51,148743
templar-assassin,5.41,43.37,34375
alchemist,5.39,47.07,70322
tinker,5.34,45.74,79092
faceless-void,4.79,45.47,89563
drow-ranger,3.93,49.01,133432
meepo,3.82,45.11,27757
storm-spirit,3.18,46.49,83978
invoker,2.58,43.64,151707
nyx-assassin,2.43,47.03,57199
earth-spirit,2.16,38.78,11378
morphling,2.01,45.01,99630
sniper,1.96,48.30,106952
anti-mage,1.96,43.86,114731
doom,1.85,40.09,19601
kunkka,1.84,44.70,93319
underlord,1.78,51.21,28233
beastmaster,1.71,43.02,13970
ember-spirit,1.58,38.15,31010
timbersaw,1.21,45.21,80137
puck,1.18,40.44,31878
juggernaut,1.17,46.40,141642
mirana,1.07,48.31,132264
medusa,0.95,48.04,42932
bounty-hunter,0.92,42.35,56210
terrorblade,0.87,45.33,33428
bloodseeker,0.65,46.62,69445
clockwerk,0.44,46.43,28143
clinkz,0.31,41.65,38932
weaver,0.27,45.11,44457
shadow-fiend,0.27,43.64,58829
slardar,0.23,47.13,69051
riki,0.21,50.28,87567
outworld-devourer,0.09,45.97,72011
tiny,-0.07,40.91,40454
zeus,-0.15,50.29,50287
phantom-assassin,-0.20,48.07,173364
batrider,-0.26,40.77,19298
lone-druid,-0.52,35.81,10162
spirit-breaker,-0.59,48.13,57214
huskar,-0.68,41.79,45966
sand-king,-0.69,45.03,66594
magnus,-0.73,42.26,36756
elder-titan,-0.74,49.95,17887
pudge,-0.75,48.30,163472
centaur-warrunner,-0.84,50.73,42863
night-stalker,-0.96,45.39,25647
vengeful-spirit,-1.08,47.67,33865
ogre-magi,-1.10,49.50,43797
sven,-1.27,49.69,87724
death-prophet,-1.37,42.04,21983
slark,-1.48,46.03,132693
lina,-1.54,39.64,33643
razor,-1.60,40.84,33538
necrophos,-1.77,49.80,47342
enigma,-1.86,46.92,19909
natures-prophet,-1.89,36.57,31614
spectre,-1.90,49.91,50843
queen-of-pain,-1.96,37.41,32744
axe,-2.04,47.38,108498
omniknight,-2.05,54.98,44043
venomancer,-2.06,46.38,22551
undying,-2.13,45.48,20046
abaddon,-2.13,50.68,25373
lifestealer,-2.16,43.73,57531
troll-warlord,-2.30,44.46,32548
naga-siren,-2.38,40.98,15977
dragon-knight,-2.50,44.12,29184
tidehunter,-2.57,45.17,44666
viper,-2.59,43.63,36393
earthshaker,-2.59,44.63,42699
windranger,-2.75,39.93,56602
warlock,-2.85,49.91,17220
brewmaster,-2.90,42.10,9810
broodmother,-2.96,34.63,10837
lycan,-3.04,40.91,11861
ursa,-3.08,48.75,55173
tusk,-3.09,36.86,17999
dark-seer,-3.12,43.88,18604
legion-commander,-3.19,43.50,112774
silencer,-3.33,47.86,36834
wraith-king,-3.34,50.01,66486
bristleback,-3.36,42.95,43250
rubick,-3.42,40.57,31762
jakiro,-3.72,47.26,16544
lion,-3.78,42.05,41815
shadow-shaman,-4.15,46.55,22924
phantom-lancer,-4.47,39.56,30584
leshrac,-4.60,39.64,9712
gyrocopter,-4.66,38.58,17961
phoenix,-4.71,45.03,18621
chaos-knight,-4.78,43.94,27188
disruptor,-5.01,44.48,19457
treant-protector,-5.06,46.80,13077
enchantress,-5.17,34.11,12835
lich,-5.24,47.84,20191
pugna,-5.52,39.88,15380
winter-wyvern,-5.72,39.50,11650
witch-doctor,-5.95,43.06,24138
crystal-maiden,-6.20,47.86,33143
dazzle,-6.52,44.49,22656
bane,-7.20,38.68,15280
keeper-of-the-light,-7.80,42.44,17809
chen,-7.97,34.91,5007
skywrath-mage,-8.72,38.85,18962
ancient-apparition,-9.62,41.91,20093
visage,-10.80,36.00,5108
techies,-11.98,36.79,15835
oracle,-12.00,34.02,13262
io,-14.83,28.41,7293
