hero,para,rate,matches
broodmother,4.02,60.47,39688
silencer,3.60,45.59,155664
death-prophet,3.44,52.66,81351
razor,3.37,53.82,119677
omniknight,3.04,38.73,218967
visage,2.83,54.75,17860
tidehunter,2.71,48.41,113823
meepo,2.61,51.38,105325
undying,2.58,48.24,71486
phantom-lancer,2.48,53.45,121939
naga-siren,2.43,52.83,47706
natures-prophet,2.21,57.70,141286
chen,2.08,56.93,17702
storm-spirit,2.04,49.43,250641
weaver,1.92,49.44,168854
puck,1.90,54.66,101145
pugna,1.82,52.27,66863
oracle,1.76,55.98,54159
gyrocopter,1.63,53.99,71420
leshrac,1.54,52.81,35920
chaos-knight,1.54,48.08,99233
timbersaw,1.48,49.55,235546
brewmaster,1.47,50.90,32039
batrider,1.42,53.46,53055
outworld-devourer,1.40,48.24,179469
spectre,1.40,43.26,168458
phantom-assassin,1.39,45.96,755323
riki,1.36,43.93,403821
viper,1.29,49.34,143983
io,1.27,61.39,29071
slark,1.13,47.30,482276
sand-king,0.97,48.63,208523
drow-ranger,0.91,46.76,386161
enchantress,0.90,58.36,58127
necrophos,0.77,43.16,217249
bloodseeker,0.76,47.53,303359
lycan,0.75,51.74,47972
warlock,0.74,42.49,80073
bristleback,0.74,49.42,169419
centaur-warrunner,0.74,42.69,117844
tiny,0.68,53.00,156623
earth-spirit,0.66,56.11,39039
lone-druid,0.64,58.18,35730
troll-warlord,0.61,48.29,146659
alchemist,0.60,49.14,223891
legion-commander,0.49,48.81,518578
morphling,0.42,49.59,227189
queen-of-pain,0.41,55.76,123011
dazzle,0.38,46.08,121223
underlord,0.37,43.38,90886
venomancer,0.26,46.26,104199
lina,0.22,53.46,153004
huskar,0.20,51.57,209731
earthshaker,0.20,47.78,211962
jakiro,0.18,44.51,80763
ancient-apparition,0.18,47.21,89926
juggernaut,0.17,47.71,469174
skywrath-mage,0.09,51.03,95545
beastmaster,0.07,51.29,37207
vengeful-spirit,0.05,45.32,137505
faceless-void,0.01,50.13,245593
arc-warden,0.01,54.22,39879
doom,-0.01,54.27,62441
lifestealer,-0.01,48.80,217099
disruptor,-0.01,46.66,95317
dragon-knight,-0.03,48.23,103476
clinkz,-0.05,52.01,153055
sniper,-0.18,46.03,511419
nyx-assassin,-0.23,47.47,157233
mirana,-0.24,45.59,411657
tusk,-0.25,55.53,77395
treant-protector,-0.26,44.10,60761
axe,-0.27,45.02,375687
night-stalker,-0.30,47.52,96685
kunkka,-0.33,49.46,237869
ember-spirit,-0.36,55.96,111999
shadow-shaman,-0.42,44.75,135959
shadow-demon,-0.47,51.52,64943
terrorblade,-0.52,48.31,73832
keeper-of-the-light,-0.54,47.20,93773
phoenix,-0.55,45.98,68357
witch-doctor,-0.58,47.43,142881
abaddon,-0.62,41.52,103489
magnus,-0.64,50.64,115916
windranger,-0.64,52.19,226337
winter-wyvern,-0.65,51.32,59327
bane,-0.73,51.50,83362
dark-seer,-0.81,47.82,56995
anti-mage,-0.84,50.08,360407
luna,-0.97,42.49,204311
lion,-1.03,49.30,242576
invoker,-1.10,50.44,506901
clockwerk,-1.17,46.71,88391
lich,-1.23,42.52,106358
rubick,-1.28,50.88,169727
crystal-maiden,-1.29,41.97,226631
slardar,-1.51,45.77,203993
ogre-magi,-1.79,42.70,187070
enigma,-1.82,44.85,86937
sven,-1.84,42.40,350145
spirit-breaker,-1.93,44.22,246373
medusa,-1.95,45.01,139207
pudge,-2.12,43.89,726649
elder-titan,-2.23,42.24,57233
ursa,-2.37,42.20,219310
bounty-hunter,-2.72,50.18,261701
templar-assassin,-2.76,50.99,109002
wraith-king,-2.82,40.64,265389
techies,-3.19,50.11,78106
tinker,-3.54,48.33,245427
zeus,-4.68,41.15,207735
