hero,para,rate,matches
io,4.28,36.44,24273
tidehunter,4.25,50.17,111321
spirit-breaker,3.30,51.83,220613
chaos-knight,3.05,49.36,85791
wraith-king,2.78,54.98,236797
night-stalker,2.59,48.82,81433
elder-titan,2.55,53.42,53767
bane,2.17,44.36,72778
chen,2.12,40.45,15286
lion,1.90,46.31,226765
dazzle,1.85,50.27,111243
batrider,1.85,43.38,45451
slardar,1.84,49.68,198332
shadow-shaman,1.79,51.23,120312
clockwerk,1.62,48.77,80701
lifestealer,1.58,47.18,194158
ogre-magi,1.55,52.62,177129
drow-ranger,1.39,49.61,328872
beastmaster,1.28,44.59,32859
earth-spirit,1.25,40.13,35516
tusk,1.25,40.21,66554
treant-protector,1.21,51.68,56634
pudge,1.16,51.01,516454
legion-commander,1.12,47.21,467707
spectre,1.01,53.17,144920
bristleback,1.00,46.66,150997
lich,0.93,52.73,92507
earthshaker,0.91,48.00,210937
vengeful-spirit,0.88,50.40,125222
brewmaster,0.67,45.40,25874
abaddon,0.67,53.90,89765
centaur-warrunner,0.58,53.23,106949
axe,0.57,50.41,358811
witch-doctor,0.54,47.80,127345
ancient-apparition,0.49,48.36,85817
faceless-void,0.36,45.30,223811
ursa,0.35,52.25,188771
crystal-maiden,0.35,52.98,202618
oracle,0.28,40.46,47985
shadow-demon,0.27,43.64,58829
rubick,0.23,43.84,155081
disruptor,0.23,48.71,89953
omniknight,0.21,57.98,207103
jakiro,0.19,50.94,71657
phantom-assassin,0.19,50.03,577206
lone-druid,0.14,37.69,29492
sven,0.13,52.16,314861
visage,0.07,42.10,14702
anti-mage,0.04,44.78,333929
warlock,0.02,53.15,70642
dragon-knight,0.00,47.01,77229
phoenix,-0.01,49.01,59892
underlord,-0.01,52.07,82044
skywrath-mage,-0.04,44.27,78709
undying,-0.10,48.18,65192
keeper-of-the-light,-0.21,47.70,85697
doom,-0.23,40.97,56502
enigma,-0.23,49.46,101689
huskar,-0.31,43.67,160275
juggernaut,-0.32,47.47,391751
silencer,-0.33,51.11,134241
phantom-lancer,-0.34,42.99,103218
necrophos,-0.47,52.22,181410
lycan,-0.49,43.71,40976
pugna,-0.50,43.73,58753
venomancer,-0.51,48.87,88026
nyx-assassin,-0.51,47.43,147064
terrorblade,-0.55,46.44,60128
bloodseeker,-0.56,47.81,260838
dark-seer,-0.80,46.67,55303
sand-king,-0.84,46.70,195631
troll-warlord,-0.95,46.81,121150
techies,-1.08,43.05,72397
luna,-1.14,51.79,160591
riki,-1.19,51.33,354380
winter-wyvern,-1.24,43.09,53319
viper,-1.46,45.86,98176
bounty-hunter,-1.53,43.03,230771
leshrac,-1.59,42.59,27636
windranger,-1.60,42.10,160215
weaver,-1.60,46.00,130288
lina,-1.63,41.28,108899
enchantress,-1.72,36.96,48252
slark,-1.86,47.58,411851
gyrocopter,-1.89,41.38,54944
razor,-1.97,42.37,82347
kunkka,-2.22,44.63,188502
naga-siren,-2.25,42.73,39832
timbersaw,-2.58,45.23,202375
death-prophet,-2.59,43.21,49115
natures-prophet,-2.67,37.90,124607
morphling,-2.69,44.64,168984
zeus,-2.79,50.67,125803
tiny,-2.98,41.39,121370
mirana,-3.13,48.02,315154
broodmother,-3.14,36.15,32936
magnus,-3.39,42.80,113495
clinkz,-3.73,41.64,118309
medusa,-3.83,47.47,95150
queen-of-pain,-3.90,38.29,58295
sniper,-3.98,47.19,335393
puck,-4.90,39.64,48385
meepo,-5.25,42.82,69134
ember-spirit,-5.84,36.94,63178
storm-spirit,-6.97,43.55,81495
templar-assassin,-6.97,39.87,50363
arc-warden,-8.35,37.69,26513
alchemist,-8.65,42.40,112925
outworld-devourer,-9.31,43.25,74101
invoker,-9.34,40.14,172881
tinker,-11.27,40.07,81216
