hero,para,rate,matches
templar-assassin,3.40,59.42,73242
anti-mage,3.13,57.30,253387
ursa,2.84,49.64,173841
huskar,2.57,57.97,160501
nyx-assassin,2.57,54.01,110906
undying,2.31,53.31,55138
troll-warlord,2.26,54.27,112491
bounty-hunter,2.20,57.87,179782
treant-protector,2.14,50.32,49651
tusk,1.81,61.70,55494
spirit-breaker,1.75,51.03,190928
lone-druid,1.72,63.75,25719
bloodseeker,1.70,53.13,235707
chen,1.62,61.69,13344
ember-spirit,1.60,62.07,74682
juggernaut,1.54,53.52,303172
crystal-maiden,1.46,48.24,190363
faceless-void,1.43,55.98,169890
viper,1.39,54.53,115714
earth-spirit,1.33,61.49,26701
storm-spirit,1.24,54.18,155491
puck,1.24,59.37,63030
lifestealer,1.16,54.50,165037
slardar,1.13,52.13,135121
outworld-devourer,1.09,53.22,114926
pudge,1.07,50.44,474386
techies,1.07,57.41,57427
phoenix,0.98,51.81,48615
clockwerk,0.94,52.83,60175
io,0.83,65.90,21663
chaos-knight,0.83,52.86,78870
sven,0.75,48.60,243309
weaver,0.70,53.96,126779
night-stalker,0.70,53.11,76050
alchemist,0.64,54.26,140709
queen-of-pain,0.59,60.83,80769
naga-siren,0.59,56.95,36293
skywrath-mage,0.58,56.35,71999
underlord,0.47,48.48,61700
terrorblade,0.46,53.88,53903
legion-commander,0.43,53.88,359042
phantom-lancer,0.41,57.42,91682
wraith-king,0.36,47.00,193254
shadow-fiend,0.34,55.25,135959
bane,0.34,57.10,68781
lycan,0.27,56.56,39352
lina,0.19,58.47,113982
enigma,0.19,50.85,66520
zeus,0.19,48.30,150862
tinker,0.12,55.24,156516
venomancer,0.09,51.26,77549
necrophos,0.08,47.90,155128
shadow-demon,0.01,56.81,45104
earthshaker,-0.03,52.74,143376
ancient-apparition,-0.04,52.18,70093
clinkz,-0.04,57.05,114872
beastmaster,-0.05,56.27,26268
tiny,-0.07,57.63,110865
oracle,-0.09,59.92,40622
doom,-0.15,59.16,42886
dark-seer,-0.21,53.17,43744
magnus,-0.23,55.90,77029
invoker,-0.23,55.92,299361
batrider,-0.24,57.60,38036
riki,-0.37,48.21,281913
vengeful-spirit,-0.38,50.18,103989
kunkka,-0.39,54.47,158520
enchantress,-0.41,62.44,46336
pugna,-0.44,56.13,54365
death-prophet,-0.45,55.71,64691
axe,-0.45,49.98,267497
broodmother,-0.45,62.70,33867
rubick,-0.47,56.32,121436
brewmaster,-0.54,54.93,26971
lion,-0.62,54.54,201825
ogre-magi,-0.66,48.20,138249
luna,-0.76,47.58,143063
keeper-of-the-light,-0.79,52.12,66550
jakiro,-0.80,49.09,64256
morphling,-0.80,54.02,143710
elder-titan,-0.81,47.85,41130
lich,-0.91,47.64,87877
visage,-0.92,57.71,16821
sand-king,-0.97,52.72,140998
centaur-warrunner,-0.97,46.95,85585
phantom-assassin,-0.97,49.91,519461
windranger,-0.99,56.97,163803
dazzle,-1.07,50.43,96815
dragon-knight,-1.22,52.67,77884
slark,-1.31,51.17,327349
natures-prophet,-1.44,60.49,108637
timbersaw,-1.45,53.13,147660
winter-wyvern,-1.51,55.84,44581
omniknight,-1.69,41.74,169865
gyrocopter,-1.76,57.12,53792
witch-doctor,-1.78,51.84,120700
razor,-1.95,55.99,89138
disruptor,-1.99,50.71,74133
mirana,-1.99,49.76,246756
medusa,-2.02,49.95,96407
tidehunter,-2.07,51.13,80468
drow-ranger,-2.13,50.31,269623
arc-warden,-2.23,57.88,31690
bristleback,-2.30,52.88,131348
leshrac,-2.34,55.71,29926
meepo,-2.51,53.75,58081
warlock,-2.56,45.99,68563
sniper,-2.89,49.71,350902
abaddon,-2.91,45.43,79192
silencer,-3.03,47.57,116976
spectre,-4.30,45.64,111256
