hero,para,rate,matches
meepo,2.83,51.68,52493
natures-prophet,2.52,44.97,78506
ursa,2.33,58.43,252144
weaver,2.08,52.90,109023
riki,2.04,58.14,227002
phantom-lancer,1.87,49.07,83571
enchantress,1.84,43.27,32589
broodmother,1.83,42.96,28195
lycan,1.80,49.86,34618
shadow-fiend,1.79,51.23,120312
undying,1.77,54.25,44248
huskar,1.43,49.55,142717
chaos-knight,1.40,53.72,75169
terrorblade,1.39,52.49,49295
slark,1.32,54.26,299829
lone-druid,1.25,43.05,20703
sniper,1.24,54.88,290765
troll-warlord,1.19,52.96,102269
leshrac,1.18,48.89,21573
mirana,1.14,55.26,185629
phantom-assassin,1.05,55.58,481063
naga-siren,0.97,49.23,29851
tusk,0.91,45.07,43064
death-prophet,0.89,49.86,57388
gyrocopter,0.69,47.53,44981
brewmaster,0.66,50.50,22467
clinkz,0.66,48.61,99591
chen,0.58,44.82,9072
razor,0.57,48.54,78801
windranger,0.51,48.05,131741
necrophos,0.51,57.79,104440
zeus,0.49,57.44,114348
wraith-king,0.48,58.79,179054
templar-assassin,0.47,48.12,66254
arc-warden,0.46,46.33,25137
pugna,0.45,49.22,36406
bloodseeker,0.37,53.36,200359
warlock,0.31,58.32,41989
night-stalker,0.29,52.82,65680
spectre,0.28,57.82,103126
doom,0.26,46.18,35810
centaur-warrunner,0.19,58.05,75090
witch-doctor,0.16,52.71,54267
viper,0.04,51.64,100275
abaddon,0.04,58.57,60772
omniknight,0.03,62.74,89574
pudge,0.03,55.50,369588
medusa,-0.05,54.40,85850
juggernaut,-0.05,52.67,316600
clockwerk,-0.06,53.03,48880
axe,-0.08,55.15,235189
anti-mage,-0.13,49.76,225043
bristleback,-0.16,51.19,117956
drow-ranger,-0.24,53.87,234786
slardar,-0.26,53.72,122228
sven,-0.30,56.95,235178
venomancer,-0.30,54.03,53707
underlord,-0.33,56.92,48282
lifestealer,-0.38,51.33,138768
magnus,-0.42,49.16,60758
lina,-0.47,46.76,78144
beastmaster,-0.52,48.83,21675
luna,-0.53,57.12,124102
spirit-breaker,-0.55,54.94,152256
dark-seer,-0.62,51.80,30613
dragon-knight,-0.65,51.75,72316
treant-protector,-0.72,55.71,30166
sand-king,-0.74,51.79,102939
tiny,-0.75,47.33,93757
legion-commander,-0.78,51.36,302206
invoker,-0.79,48.95,259380
vengeful-spirit,-0.79,54.59,60199
queen-of-pain,-0.84,44.42,66588
alchemist,-0.85,51.05,129489
phoenix,-0.86,53.63,31322
silencer,-0.87,55.83,76836
timbersaw,-0.90,51.03,132033
morphling,-0.95,50.46,126211
enigma,-1.04,54.08,42313
outworld-devourer,-1.11,52.18,103967
earthshaker,-1.12,52.06,89785
tinker,-1.15,49.65,132411
puck,-1.18,46.14,50126
skywrath-mage,-1.23,48.74,44419
kunkka,-1.23,50.09,130486
dazzle,-1.28,53.73,44325
faceless-void,-1.34,49.53,147943
storm-spirit,-1.37,51.18,131203
jakiro,-1.44,55.10,36433
ember-spirit,-1.67,43.43,65238
bane,-1.67,47.65,38322
techies,-1.68,47.75,37466
elder-titan,-1.80,56.10,28132
batrider,-1.85,46.74,28593
bounty-hunter,-1.96,47.79,129624
ogre-magi,-2.02,55.70,70807
winter-wyvern,-2.05,47.68,23953
tidehunter,-2.09,52.09,65362
crystal-maiden,-2.15,56.56,82662
nyx-assassin,-2.22,51.59,81690
lich,-2.26,55.99,46198
keeper-of-the-light,-2.41,51.60,33246
disruptor,-2.62,52.26,35540
visage,-2.97,45.69,11457
oracle,-3.02,43.95,21408
earth-spirit,-3.44,43.05,16951
ancient-apparition,-3.63,51.27,36613
shadow-demon,-4.15,46.55,22924
lion,-4.41,48.29,85915
rubick,-4.53,46.58,52851
io,-4.60,37.87,12139
