hero,para,rate,matches
timbersaw,6.80,58.57,203683
bristleback,5.85,58.28,136274
enigma,5.12,54.35,110016
outworld-devourer,4.49,55.99,180165
storm-spirit,4.41,56.85,290148
phoenix,4.31,54.51,66353
axe,3.98,53.18,313108
crystal-maiden,3.65,50.25,194930
leshrac,3.41,59.95,32537
undying,2.99,54.63,66332
sand-king,2.96,55.78,194583
necrophos,2.95,50.24,193747
shadow-shaman,2.92,52.43,116976
morphling,2.85,56.97,199554
slardar,2.62,53.87,167636
elder-titan,2.48,50.40,56846
omniknight,2.46,44.45,247712
lion,2.41,57.16,222716
batrider,2.40,60.06,49424
jakiro,2.18,51.53,72185
earthshaker,2.16,54.86,181252
dazzle,2.11,53.01,110564
bane,2.08,59.04,78813
queen-of-pain,2.01,62.61,97385
zeus,1.95,50.11,178657
witch-doctor,1.85,54.71,141426
magnus,1.82,57.98,110850
ancient-apparition,1.73,54.06,90622
weaver,1.68,55.44,130904
ember-spirit,1.48,62.90,92377
centaur-warrunner,1.41,49.03,102422
kunkka,1.38,56.39,202570
death-prophet,1.30,57.63,69169
skywrath-mage,1.26,57.68,86965
sven,1.18,49.76,259108
riki,1.14,49.89,282417
dragon-knight,0.88,54.74,80606
puck,0.87,60.08,86538
ogre-magi,0.72,49.82,170232
winter-wyvern,0.70,58.02,55862
nyx-assassin,0.60,53.92,157184
brewmaster,0.54,56.46,29677
treant-protector,0.48,50.46,53879
lina,0.46,59.54,122972
lich,0.44,49.25,97655
rubick,0.43,57.76,146168
dark-seer,0.43,54.46,52906
disruptor,0.43,52.91,102880
tiny,0.42,58.83,121087
pudge,0.42,51.06,531810
windranger,0.35,58.67,171100
gyrocopter,0.20,59.18,55670
visage,-0.07,59.13,17146
mirana,-0.09,51.66,324870
venomancer,-0.10,52.10,91116
warlock,-0.15,48.06,80715
keeper-of-the-light,-0.28,53.33,82520
clockwerk,-0.35,53.10,77221
faceless-void,-0.43,55.88,232206
earth-spirit,-0.45,61.31,34403
tinker,-0.46,55.84,194600
chaos-knight,-0.47,53.11,74155
underlord,-0.52,48.94,81490
juggernaut,-0.58,53.34,379289
techies,-0.62,57.37,52220
templar-assassin,-0.78,57.93,78684
tusk,-0.86,60.98,56650
vengeful-spirit,-0.93,50.83,115090
enchantress,-0.99,62.95,45122
ursa,-1.01,48.72,158440
oracle,-1.04,60.24,53171
meepo,-1.06,55.48,63367
pugna,-1.08,56.69,63817
io,-1.15,65.45,21749
shadow-demon,-1.16,57.06,63491
doom,-1.16,59.47,55580
razor,-1.20,57.32,92597
anti-mage,-1.26,55.78,311303
lone-druid,-1.36,62.68,25788
invoker,-1.44,56.15,420252
phantom-assassin,-1.61,50.51,482528
bloodseeker,-1.69,52.29,221023
broodmother,-1.78,62.73,31064
night-stalker,-1.80,52.71,76415
natures-prophet,-2.07,60.98,106204
bounty-hunter,-2.07,56.37,195857
naga-siren,-2.11,56.33,40588
troll-warlord,-2.14,52.85,95139
huskar,-2.35,56.09,143538
beastmaster,-2.36,55.88,30872
terrorblade,-2.36,53.28,59217
chen,-2.40,60.12,13251
legion-commander,-2.47,53.24,373338
lifestealer,-2.65,53.36,172693
medusa,-2.76,50.49,118043
clinkz,-2.77,56.39,113889
wraith-king,-2.77,46.45,207740
shadow-fiend,-2.83,54.41,155664
spirit-breaker,-3.01,49.56,184612
tidehunter,-3.03,51.54,120052
spectre,-3.15,47.10,147355
luna,-3.17,47.33,168035
drow-ranger,-3.18,50.68,277332
slark,-3.48,50.95,373335
arc-warden,-3.61,57.94,34100
alchemist,-4.02,52.65,148524
viper,-4.19,52.43,109603
sniper,-4.30,49.89,334610
phantom-lancer,-4.89,55.28,85724
lycan,-5.37,54.25,36472
abaddon,-5.45,45.13,85505
