hero,para,rate,matches
meepo,5.06,53.79,67768
spirit-breaker,2.44,57.54,163653
arc-warden,2.34,48.16,27918
alchemist,2.07,53.51,148643
pudge,1.93,57.51,447929
underlord,1.86,59.11,67492
batrider,1.84,49.45,38062
undying,1.74,55.19,53064
magnus,1.68,51.15,81894
clockwerk,1.66,54.90,65635
beastmaster,1.56,50.81,25260
templar-assassin,1.47,49.56,67418
faceless-void,1.35,51.84,194677
phantom-assassin,1.17,56.59,475872
slark,1.11,55.10,358382
tidehunter,1.09,54.73,94165
puck,1.05,48.13,60702
sven,1.03,58.65,250141
treant-protector,0.98,57.60,40841
storm-spirit,0.97,53.35,178937
tusk,0.95,46.03,46313
anti-mage,0.84,51.20,274591
slardar,0.70,55.17,160999
sand-king,0.68,53.47,153601
drow-ranger,0.55,55.24,246065
brewmaster,0.54,51.39,24039
earth-spirit,0.54,45.76,24366
juggernaut,0.51,53.91,345626
crystal-maiden,0.49,59.02,116721
nyx-assassin,0.46,53.95,128063
venomancer,0.42,55.35,64125
tiny,0.41,48.83,104759
luna,0.32,58.53,139577
terrorblade,0.25,52.85,51067
lycan,0.24,50.04,31994
lifestealer,0.22,52.58,156675
ogre-magi,0.21,57.90,118312
spectre,0.18,58.69,143822
zeus,0.18,58.19,125111
centaur-warrunner,0.17,58.96,92719
io,0.17,40.67,14870
winter-wyvern,0.16,49.70,34254
leshrac,0.10,49.31,23207
dark-seer,0.07,53.10,38962
bounty-hunter,0.03,49.70,151548
naga-siren,0.03,49.71,33258
ursa,-0.01,58.02,144438
vengeful-spirit,-0.02,55.95,78209
riki,-0.03,57.89,232218
night-stalker,-0.05,53.58,65649
mirana,-0.08,55.52,243283
visage,-0.11,47.98,12624
chaos-knight,-0.12,53.86,72238
earthshaker,-0.19,53.49,129898
omniknight,-0.21,63.47,128152
phantom-lancer,-0.26,48.99,83772
enigma,-0.27,55.43,57091
rubick,-0.28,49.59,93628
shadow-fiend,-0.33,51.11,134241
timbersaw,-0.37,52.25,167288
tinker,-0.38,50.98,158324
invoker,-0.40,50.08,293054
axe,-0.42,55.89,274157
dragon-knight,-0.43,52.80,75202
kunkka,-0.49,51.40,163993
abaddon,-0.51,59.15,69960
sniper,-0.52,54.86,276045
legion-commander,-0.73,52.32,339105
pugna,-0.75,49.57,42725
ember-spirit,-0.75,44.76,74667
weaver,-0.76,52.36,108775
outworld-devourer,-0.77,53.29,140804
warlock,-0.83,58.57,49790
shadow-shaman,-0.87,55.83,76836
queen-of-pain,-0.94,45.30,73679
lich,-0.95,57.65,60800
necrophos,-0.97,57.85,134250
dazzle,-1.01,54.80,66082
doom,-1.07,46.50,45717
witch-doctor,-1.17,52.94,82307
elder-titan,-1.19,57.36,41506
chen,-1.22,44.94,9350
keeper-of-the-light,-1.29,53.12,51039
medusa,-1.43,54.57,101588
disruptor,-1.44,53.82,56606
clinkz,-1.46,48.52,97777
huskar,-1.49,49.06,118982
broodmother,-1.53,42.45,26368
wraith-king,-1.53,58.51,192638
razor,-1.67,48.39,77182
viper,-1.67,51.68,88691
troll-warlord,-1.71,52.37,84297
lina,-1.72,47.10,85244
bloodseeker,-1.74,53.16,192859
morphling,-1.76,50.97,166520
lion,-1.79,50.54,133835
gyrocopter,-1.92,47.22,45657
death-prophet,-1.93,49.39,51870
bane,-2.05,48.39,49322
windranger,-2.06,47.75,135759
jakiro,-2.13,55.62,46883
bristleback,-2.38,50.97,115797
phoenix,-2.39,53.71,42614
natures-prophet,-2.52,43.67,81326
techies,-2.53,48.26,39504
lone-druid,-2.55,42.34,22045
oracle,-2.66,45.03,31666
skywrath-mage,-2.75,48.91,52120
ancient-apparition,-3.27,52.38,55809
shadow-demon,-3.33,47.86,36834
enchantress,-4.71,41.37,34080
