hero,para,rate,matches
timbersaw,6.84,51.13,118133
morphling,4.22,50.45,106654
storm-spirit,3.16,48.96,127680
ancient-apparition,3.09,47.58,50579
axe,2.67,45.35,178886
underlord,2.48,43.30,48105
enigma,2.41,45.79,44637
faceless-void,2.38,50.32,124402
phoenix,2.38,46.34,34996
elder-titan,2.34,43.23,31955
crystal-maiden,2.17,42.46,110105
necrophos,2.14,42.77,104444
outworld-devourer,2.06,47.55,87867
lich,1.80,42.85,57182
tinker,1.47,49.85,109210
techies,1.42,51.50,35682
slardar,1.40,46.14,94358
winter-wyvern,1.17,51.27,32207
ember-spirit,1.13,55.82,53069
slark,1.05,46.28,213818
disruptor,0.98,46.13,53809
keeper-of-the-light,0.94,46.92,46154
brewmaster,0.90,49.63,19989
jakiro,0.81,43.81,43881
magnus,0.79,50.38,55608
omniknight,0.76,36.95,112323
clockwerk,0.66,46.59,46047
sand-king,0.66,47.49,102483
pudge,0.59,44.13,311960
earthshaker,0.59,46.98,97816
leshrac,0.58,51.33,21904
troll-warlord,0.58,47.29,67383
phantom-assassin,0.49,44.58,319081
zeus,0.43,42.39,99966
treant-protector,0.39,43.42,33417
sven,0.35,42.38,151086
dark-seer,0.34,47.39,31839
alchemist,0.33,48.03,94279
ursa,0.24,42.37,108004
venomancer,0.22,45.26,55107
invoker,0.06,50.04,203285
juggernaut,-0.01,46.65,211240
mirana,-0.01,44.72,177412
windranger,-0.03,51.53,105240
kunkka,-0.05,48.62,113774
shadow-fiend,-0.09,48.97,95545
nyx-assassin,-0.10,46.55,90754
terrorblade,-0.11,47.53,38968
lion,-0.15,48.76,125052
bloodseeker,-0.18,46.11,142648
rubick,-0.19,50.46,78831
riki,-0.22,42.29,179819
queen-of-pain,-0.35,54.37,58721
bounty-hunter,-0.36,50.42,122691
dragon-knight,-0.36,47.09,52041
lone-druid,-0.43,56.60,17451
witch-doctor,-0.52,46.48,74541
legion-commander,-0.57,47.32,236139
dazzle,-0.62,44.65,63640
undying,-0.63,45.76,38966
luna,-0.66,41.67,98681
earth-spirit,-0.66,54.41,19955
warlock,-0.66,40.95,43261
enchantress,-0.70,56.48,32576
shadow-shaman,-0.73,43.65,71999
puck,-0.85,52.22,46709
shadow-demon,-0.86,50.35,35042
weaver,-0.96,47.07,83869
doom,-0.97,52.78,32150
io,-1.02,59.07,14563
tiny,-1.06,51.11,75767
drow-ranger,-1.08,44.87,171996
visage,-1.09,51.69,12371
vengeful-spirit,-1.16,43.82,71008
lina,-1.23,51.72,77234
gyrocopter,-1.23,51.51,38257
sniper,-1.27,44.57,216222
batrider,-1.28,51.07,29274
ogre-magi,-1.33,41.95,90199
arc-warden,-1.33,52.53,23044
bane,-1.39,50.19,46119
chen,-1.47,53.99,8972
oracle,-1.59,53.18,32235
templar-assassin,-1.65,50.61,50496
silencer,-1.66,42.32,86965
lifestealer,-1.80,46.97,105459
anti-mage,-2.12,48.48,177273
broodmother,-2.12,55.97,23143
tidehunter,-2.15,45.16,58700
clinkz,-2.29,49.89,75973
tusk,-2.34,53.41,38375
naga-siren,-2.38,49.39,26419
meepo,-2.41,47.91,39143
medusa,-2.56,43.78,65411
bristleback,-2.60,46.83,82416
night-stalker,-2.61,45.46,51156
centaur-warrunner,-3.11,40.14,59754
spirit-breaker,-3.20,42.71,113958
beastmaster,-3.22,48.65,19173
death-prophet,-3.24,48.32,44088
natures-prophet,-3.33,53.64,70126
phantom-lancer,-3.53,49.37,58643
spectre,-3.58,40.21,76468
viper,-3.68,45.98,73312
huskar,-3.69,48.63,98127
abaddon,-4.29,39.08,54043
razor,-4.29,48.89,61062
wraith-king,-4.66,38.96,121510
pugna,-4.99,47.84,47395
lycan,-5.05,47.83,27122
chaos-knight,-6.19,43.50,49812
