hero,para,rate,matches
anti-mage,4.21,45.64,157858
faceless-void,4.16,46.01,147951
naga-siren,4.01,44.46,22671
meepo,3.53,45.78,34732
broodmother,3.24,37.59,19573
alchemist,2.60,46.62,87043
brewmaster,2.47,45.22,16757
terrorblade,2.43,46.83,34061
phantom-lancer,2.30,43.14,54321
lifestealer,2.23,46.49,91683
juggernaut,2.15,47.65,192575
lycan,2.10,43.86,23064
morphling,1.98,45.79,92702
slark,1.94,48.42,201262
spectre,1.80,52.59,76208
centaur-warrunner,1.67,52.82,53702
underlord,1.65,51.94,38792
natures-prophet,1.59,38.62,50869
dragon-knight,1.54,46.75,48180
phantom-assassin,1.39,49.63,286472
mirana,1.31,49.22,128453
night-stalker,1.29,47.22,43699
medusa,1.27,48.99,58285
magnus,1.00,43.77,46959
chaos-knight,0.90,47.35,47230
sven,0.86,51.55,145747
lone-druid,0.85,37.03,14368
legion-commander,0.78,46.07,235984
axe,0.77,49.53,159099
arc-warden,0.72,40.46,18513
storm-spirit,0.70,46.16,91888
luna,0.62,51.73,83408
abaddon,0.52,52.84,41510
ursa,0.49,51.33,94739
templar-assassin,0.49,42.11,42369
wraith-king,0.48,52.77,112554
troll-warlord,0.35,46.45,58650
bristleback,0.32,45.37,72762
tiny,0.23,41.80,64603
riki,0.17,51.05,144386
ember-spirit,0.17,38.36,45153
treant-protector,0.12,50.14,23834
tinker,0.09,44.23,87778
clockwerk,0.05,47.03,43364
weaver,-0.01,45.77,69192
sniper,-0.01,48.16,172122
doom,-0.02,40.11,26672
shadow-fiend,-0.04,44.27,78709
gyrocopter,-0.14,41.17,31614
omniknight,-0.23,56.77,65566
huskar,-0.30,42.72,82106
viper,-0.31,45.43,59618
pudge,-0.33,49.29,247551
sand-king,-0.40,45.94,81456
clinkz,-0.41,42.12,62702
bounty-hunter,-0.50,42.52,90355
leshrac,-0.53,42.09,15646
tusk,-0.70,38.50,30138
ogre-magi,-0.72,50.47,56436
undying,-0.88,46.83,30522
invoker,-0.96,42.90,162261
beastmaster,-1.00,42.64,15808
timbersaw,-1.02,44.99,91551
windranger,-1.11,41.36,82310
warlock,-1.11,51.58,27410
razor,-1.20,41.76,49434
shadow-shaman,-1.23,48.74,44419
zeus,-1.25,50.51,71237
spirit-breaker,-1.30,48.56,96850
necrophos,-1.30,50.82,71576
puck,-1.30,40.20,34057
bloodseeker,-1.36,46.46,121122
kunkka,-1.38,44.05,92982
enigma,-1.48,47.88,31977
nyx-assassin,-1.49,46.00,68207
queen-of-pain,-1.59,38.28,44961
earthshaker,-1.66,45.82,69560
drow-ranger,-1.69,47.13,137843
elder-titan,-1.78,50.20,23484
lich,-1.84,50.32,34133
venomancer,-1.92,47.21,37471
dark-seer,-1.96,45.17,23857
slardar,-2.01,46.84,87229
enchantress,-2.15,35.91,23174
vengeful-spirit,-2.17,47.92,44468
jakiro,-2.44,48.65,26471
lina,-2.65,39.93,51771
rubick,-2.69,41.63,43540
death-prophet,-2.71,42.22,32111
silencer,-2.75,48.91,52120
batrider,-2.87,40.44,22636
lion,-2.90,43.19,67202
dazzle,-3.11,46.88,34883
pugna,-3.12,41.64,26826
tidehunter,-3.17,45.65,51014
visage,-3.27,39.77,9212
crystal-maiden,-3.32,50.09,62699
witch-doctor,-3.37,45.00,42833
bane,-3.46,40.98,28389
outworld-devourer,-3.73,44.96,75479
phoenix,-3.85,46.19,23112
earth-spirit,-3.95,37.17,13430
winter-wyvern,-4.14,40.90,19445
disruptor,-4.32,45.56,29671
ancient-apparition,-6.07,44.29,29337
techies,-6.26,39.90,26354
keeper-of-the-light,-6.47,43.79,26586
oracle,-6.71,36.76,18891
chen,-6.87,36.02,6677
shadow-demon,-8.72,38.85,18962
io,-14.30,29.19,10422
