hero,para,rate,matches
anti-mage,5.90,57.22,358714
broodmother,4.80,64.48,42973
ursa,4.77,48.95,219450
bristleback,4.49,54.95,200569
clinkz,4.06,57.81,191913
lycan,3.88,57.00,48111
spectre,2.98,47.52,176039
pudge,2.94,49.78,666302
huskar,2.82,56.54,202528
weaver,2.77,53.48,191829
legion-commander,2.74,53.53,489219
night-stalker,2.57,52.51,101245
riki,2.46,48.00,606943
troll-warlord,2.32,52.72,135693
centaur-warrunner,2.30,46.92,133708
nyx-assassin,2.28,52.27,193981
bounty-hunter,2.22,56.33,351518
templar-assassin,2.18,57.16,106706
io,2.15,65.32,27339
treant-protector,1.66,48.52,66372
doom,1.64,58.69,62786
timbersaw,1.61,53.21,269991
chen,1.59,60.16,16017
bloodseeker,1.53,51.48,294865
wraith-king,1.34,45.90,265618
shadow-fiend,1.31,54.23,203993
sand-king,1.29,52.35,235489
bane,1.19,56.04,80361
alchemist,1.16,52.98,221310
storm-spirit,1.03,52.51,240589
spirit-breaker,1.00,49.09,250507
mirana,0.96,49.69,432427
ember-spirit,0.94,60.17,102851
techies,0.86,55.75,71535
natures-prophet,0.83,60.39,126717
faceless-void,0.65,54.00,254194
kunkka,0.55,53.44,243517
tiny,0.47,56.41,156798
keeper-of-the-light,0.43,51.21,93469
tusk,0.41,59.36,74139
death-prophet,0.36,54.63,81258
phantom-assassin,0.26,48.97,669139
lone-druid,0.24,61.36,32444
viper,0.18,52.33,143574
lifestealer,0.13,52.41,236159
slark,0.08,50.34,484717
drow-ranger,-0.04,49.84,365524
invoker,-0.13,54.44,443295
brewmaster,-0.14,53.61,34141
meepo,-0.23,53.48,83418
axe,-0.35,48.48,423118
ancient-apparition,-0.37,50.47,97844
elder-titan,-0.43,46.49,64886
razor,-0.47,55.31,117679
lina,-0.47,56.58,145665
queen-of-pain,-0.48,58.70,116586
earth-spirit,-0.59,58.85,37871
windranger,-0.61,55.68,218550
enchantress,-0.65,60.84,55947
winter-wyvern,-0.68,54.79,62656
crystal-maiden,-0.71,45.67,213407
morphling,-0.74,52.52,223520
visage,-0.83,56.27,19919
arc-warden,-0.87,57.20,39136
juggernaut,-0.89,50.70,462921
lion,-0.96,52.83,257307
chaos-knight,-1.00,50.37,100617
necrophos,-1.00,45.86,219753
rubick,-1.01,54.50,159911
leshrac,-1.03,54.95,36562
batrider,-1.08,55.61,57147
skywrath-mage,-1.17,53.86,94358
shadow-shaman,-1.20,47.87,135121
pugna,-1.21,54.18,69876
magnus,-1.24,53.81,121604
ogre-magi,-1.27,46.38,206324
shadow-demon,-1.30,54.56,71441
dazzle,-1.31,48.78,121588
undying,-1.32,49.89,79697
outworld-devourer,-1.41,50.37,194663
vengeful-spirit,-1.46,48.11,141393
dark-seer,-1.47,50.98,61914
oracle,-1.47,57.61,62285
puck,-1.48,56.29,98601
earthshaker,-1.48,50.46,219712
gyrocopter,-1.49,55.78,69601
medusa,-1.62,48.63,145931
disruptor,-1.66,49.36,108390
witch-doctor,-1.68,50.38,145629
beastmaster,-1.76,53.80,36808
clockwerk,-1.82,49.87,91343
dragon-knight,-1.89,50.80,120250
abaddon,-1.99,44.35,107871
naga-siren,-2.04,53.97,47046
sven,-2.08,45.72,365769
warlock,-2.11,44.69,87935
sniper,-2.12,48.59,449926
phantom-lancer,-2.61,54.22,114047
omniknight,-2.68,39.86,230378
jakiro,-2.76,46.62,85144
phoenix,-2.78,48.38,69566
zeus,-2.84,45.33,203144
lich,-2.89,45.20,108598
silencer,-2.89,46.13,167636
tinker,-3.20,51.91,235446
terrorblade,-3.77,50.12,71720
underlord,-3.88,44.90,98210
luna,-4.14,44.47,202960
enigma,-4.46,47.01,88301
venomancer,-4.60,47.38,103950
tidehunter,-6.56,47.34,134835
