hero,para,rate,matches
chen,4.89,45.14,13886
lycan,4.87,49.74,37795
lifestealer,4.09,52.02,211800
templar-assassin,3.62,48.03,101806
medusa,3.44,54.71,123543
io,3.38,39.51,22967
alchemist,3.30,51.59,176270
phantom-assassin,3.15,55.15,635148
earth-spirit,3.07,44.38,31509
sniper,2.99,54.25,427196
lone-druid,2.80,42.16,24840
terrorblade,2.58,51.52,60532
sven,2.53,57.01,263445
riki,2.47,56.82,310765
troll-warlord,2.13,51.87,112034
clinkz,1.99,47.67,127745
shadow-fiend,1.84,49.68,198332
winter-wyvern,1.80,47.98,53778
bristleback,1.74,50.59,108474
juggernaut,1.63,51.99,402991
warlock,1.55,57.51,75288
beastmaster,1.50,48.25,24308
visage,1.44,46.21,16219
leshrac,1.35,47.41,31089
meepo,1.35,49.37,78370
luna,1.34,56.65,174631
techies,1.32,47.64,54117
elder-titan,1.30,56.32,47785
broodmother,1.24,41.19,29043
ursa,1.17,56.23,174273
enigma,1.15,53.71,70472
jakiro,1.03,54.93,72145
ember-spirit,0.93,43.04,88933
natures-prophet,0.90,42.73,105807
witch-doctor,0.81,51.49,125885
drow-ranger,0.79,52.87,323717
gyrocopter,0.76,46.01,56040
huskar,0.74,47.66,162889
abaddon,0.74,57.45,75829
dazzle,0.71,53.26,115924
silencer,0.70,55.17,160999
anti-mage,0.69,48.61,313477
invoker,0.63,48.09,402755
chaos-knight,0.63,51.76,74825
undying,0.57,52.05,56299
phoenix,0.54,52.83,53353
windranger,0.54,46.51,184521
keeper-of-the-light,0.48,51.57,89841
disruptor,0.46,52.36,100430
brewmaster,0.46,48.84,24032
lich,0.41,55.98,93263
razor,0.35,46.89,98252
omniknight,0.23,61.41,204413
shadow-demon,0.23,47.13,69051
death-prophet,0.22,47.98,70761
oracle,0.21,43.88,54557
legion-commander,0.14,50.28,413547
treant-protector,0.11,54.64,50223
kunkka,0.10,49.21,185860
weaver,0.07,50.31,134548
dark-seer,0.06,50.61,38607
naga-siren,-0.13,47.15,39612
viper,-0.16,49.99,119128
venomancer,-0.24,52.52,88742
shadow-shaman,-0.26,53.72,122228
arc-warden,-0.29,44.45,33630
dragon-knight,-0.29,50.39,76495
wraith-king,-0.32,56.81,196799
lina,-0.44,45.24,128682
phantom-lancer,-0.55,46.37,98392
mirana,-0.56,52.80,340142
enchantress,-0.71,40.69,48230
earthshaker,-0.78,50.71,153817
necrophos,-0.85,55.50,189219
bloodseeker,-0.90,51.15,249752
tidehunter,-0.96,51.16,63144
rubick,-0.98,46.78,152102
crystal-maiden,-1.07,55.69,194431
storm-spirit,-1.07,49.80,229739
outworld-devourer,-1.08,50.66,183884
pugna,-1.11,46.93,61346
spirit-breaker,-1.15,53.08,173766
underlord,-1.23,54.90,58781
morphling,-1.29,48.76,197034
night-stalker,-1.31,50.45,70902
vengeful-spirit,-1.31,52.79,130029
tiny,-1.33,45.53,115717
queen-of-pain,-1.40,42.67,103357
slark,-1.46,51.26,405254
centaur-warrunner,-1.52,55.57,69723
magnus,-1.55,47.07,73703
ancient-apparition,-1.61,50.83,93397
spectre,-1.63,55.23,143804
puck,-1.63,44.41,86804
tinker,-1.65,47.88,226598
lion,-1.72,48.13,232690
doom,-1.78,43.73,45034
ogre-magi,-1.79,54.34,170257
tusk,-1.80,42.36,57531
skywrath-mage,-2.01,46.84,87229
zeus,-2.15,54.44,185538
sand-king,-2.18,49.52,140492
axe,-2.25,52.45,245540
bane,-2.36,45.80,72185
bounty-hunter,-2.45,46.04,212251
timbersaw,-2.48,48.71,149261
pudge,-2.60,52.55,535558
faceless-void,-2.73,47.33,152804
nyx-assassin,-2.86,49.74,116795
batrider,-3.43,44.49,38875
clockwerk,-4.56,49.17,51909
