hero,para,rate,matches
medusa,5.56,51.85,309775
arc-warden,4.54,60.01,91962
tinker,4.38,55.67,550797
templar-assassin,4.20,57.98,227166
drow-ranger,4.14,51.61,881823
sniper,4.06,51.34,1099379
terrorblade,3.91,53.81,155935
silencer,3.89,49.05,373335
enchantress,3.79,63.26,121004
natures-prophet,3.79,61.87,315351
lifestealer,3.59,53.91,511076
treant-protector,3.58,49.12,139007
dragon-knight,3.49,53.27,226727
luna,3.31,47.62,457935
wraith-king,3.24,46.45,605825
spectre,3.20,47.32,414867
bristleback,3.16,53.94,398962
broodmother,3.10,63.14,83464
razor,3.03,56.95,258341
troll-warlord,3.00,52.76,322942
alchemist,2.99,53.63,498168
abaddon,2.94,46.28,237869
viper,2.93,53.46,313373
lich,2.85,47.56,240545
warlock,2.83,46.64,184926
venomancer,2.78,50.74,229194
lycan,2.74,56.07,100425
clinkz,2.63,56.71,342265
weaver,2.49,53.03,381560
gyrocopter,2.45,57.71,145082
ursa,2.33,47.50,520573
batrider,2.21,57.15,118024
lone-druid,2.16,62.24,74283
keeper-of-the-light,2.14,51.77,217998
rubick,2.08,55.90,357658
sven,2.05,47.34,844881
witch-doctor,1.96,51.93,323880
ember-spirit,1.91,60.45,238864
bounty-hunter,1.80,55.79,580335
brewmaster,1.78,54.34,70371
night-stalker,1.58,51.70,213146
chen,1.56,59.85,37374
mirana,1.52,49.66,919705
phantom-assassin,1.44,49.25,1837009
shadow-shaman,1.41,48.83,327349
ogre-magi,1.29,47.27,436310
death-prophet,1.20,54.79,175997
bane,1.15,55.72,197492
jakiro,1.06,48.14,182232
huskar,1.05,55.27,469535
doom,0.76,57.90,147347
vengeful-spirit,0.76,48.89,306578
kunkka,0.74,53.24,544720
zeus,0.56,46.62,459860
beastmaster,0.53,54.76,79856
juggernaut,0.41,51.07,1179613
naga-siren,0.29,54.95,100389
tidehunter,0.24,50.48,257781
morphling,0.24,52.74,567881
windranger,0.24,55.86,502130
lina,0.22,56.67,334507
winter-wyvern,0.14,54.95,129511
centaur-warrunner,0.13,45.62,267035
invoker,0.11,54.27,1077832
visage,-0.00,56.44,40827
oracle,-0.07,58.14,128276
slardar,-0.08,49.66,484717
ancient-apparition,-0.09,50.31,244020
phantom-lancer,-0.14,55.29,262051
pugna,-0.32,54.37,152023
underlord,-0.49,46.19,201878
io,-0.50,63.35,63059
earth-spirit,-0.57,58.57,87381
pudge,-0.66,47.74,1587508
leshrac,-0.77,54.80,78279
clockwerk,-0.82,50.08,186570
magnus,-0.82,53.75,261564
shadow-demon,-0.84,54.52,152922
skywrath-mage,-0.89,53.72,213818
tusk,-0.91,58.29,159058
enigma,-0.93,48.45,204154
chaos-knight,-0.95,50.10,215440
shadow-fiend,-0.99,52.70,482276
undying,-1.00,49.75,161673
spirit-breaker,-1.06,47.79,550431
crystal-maiden,-1.14,45.18,522986
phoenix,-1.27,48.83,156398
axe,-1.27,47.74,930080
dark-seer,-1.37,50.73,130705
queen-of-pain,-1.38,57.88,259930
nyx-assassin,-1.54,50.02,372620
legion-commander,-1.55,51.00,1246356
meepo,-1.66,52.42,210386
earthshaker,-1.68,50.06,458927
techies,-1.79,53.99,180973
tiny,-2.02,54.72,342449
lion,-2.04,51.96,574665
outworld-devourer,-2.20,49.68,420004
timbersaw,-2.40,50.81,582846
dazzle,-2.46,47.92,285834
bloodseeker,-3.11,48.83,941569
sand-king,-3.17,49.76,490077
puck,-3.30,54.96,217920
disruptor,-3.85,47.97,243498
necrophos,-3.90,44.23,516294
faceless-void,-4.23,51.10,632831
riki,-4.48,44.46,919665
elder-titan,-4.77,44.18,129320
anti-mage,-5.38,50.84,919409
storm-spirit,-6.00,48.57,569115
omniknight,-6.55,38.00,523959
