hero,para,rate,matches
io,8.12,41.02,53928
earth-spirit,4.92,44.87,81010
chen,4.81,44.79,33067
ancient-apparition,4.30,53.57,226137
tinker,3.97,50.30,534405
ember-spirit,3.88,43.99,183624
techies,3.66,48.43,153102
visage,3.32,46.75,34810
keeper-of-the-light,3.26,52.69,211944
enigma,3.17,54.48,184781
arc-warden,3.14,45.67,76946
dark-seer,3.07,51.82,115214
lich,3.00,57.12,224867
winter-wyvern,2.82,48.15,127844
phoenix,2.66,53.64,145735
jakiro,2.58,55.46,169282
gyrocopter,2.50,46.50,105207
lina,2.42,46.24,307306
zeus,2.39,56.66,427957
magnus,2.34,48.62,209396
invoker,2.33,48.59,994569
tidehunter,2.32,52.55,233048
crystal-maiden,2.29,57.27,491787
kunkka,2.13,49.90,472450
elder-titan,2.11,56.47,117906
pugna,1.99,48.09,142233
skywrath-mage,1.94,48.42,201262
lone-druid,1.91,41.50,60991
bane,1.70,47.41,181747
witch-doctor,1.63,51.60,307620
rubick,1.55,47.67,387434
warlock,1.50,57.18,171023
lion,1.50,49.40,569717
timbersaw,1.47,50.38,467369
windranger,1.38,46.60,432930
shadow-shaman,1.32,54.26,299829
sniper,1.29,53.05,840015
leshrac,1.21,47.04,67982
disruptor,1.17,52.43,224756
medusa,1.16,53.20,220088
abaddon,1.15,57.39,195392
venomancer,1.12,52.93,202529
silencer,1.11,55.10,358382
underlord,1.07,55.88,178757
brewmaster,1.00,48.80,58042
natures-prophet,1.00,42.47,280604
axe,0.96,53.87,793724
beastmaster,0.88,47.65,70362
earthshaker,0.84,51.23,423912
enchantress,0.74,40.99,106823
death-prophet,0.58,47.85,154049
ursa,0.53,55.57,366705
bristleback,0.53,49.69,319356
dazzle,0.52,52.87,267990
centaur-warrunner,0.51,56.42,228152
batrider,0.45,45.98,109305
puck,0.43,45.04,199994
alchemist,0.41,49.84,397761
omniknight,0.37,61.21,522202
doom,0.26,44.34,122343
troll-warlord,0.25,50.61,234904
meepo,0.24,48.53,173900
queen-of-pain,0.21,43.06,226434
dragon-knight,0.21,50.35,175487
lycan,0.20,47.22,76917
phantom-lancer,0.15,46.40,180015
naga-siren,0.11,46.96,74978
undying,0.10,51.51,145787
sven,0.09,55.36,484924
bloodseeker,0.08,51.36,557828
terrorblade,-0.02,49.91,98015
clockwerk,-0.04,51.20,165568
razor,-0.07,46.39,204262
spectre,-0.10,55.79,204237
tusk,-0.12,42.79,136194
treant-protector,-0.20,54.17,125188
pudge,-0.27,53.51,1449296
tiny,-0.32,45.70,265113
spirit-breaker,-0.36,53.21,469687
ogre-magi,-0.37,54.83,414153
night-stalker,-0.41,50.61,176192
templar-assassin,-0.42,45.86,192788
necrophos,-0.46,55.42,467970
oracle,-0.66,43.21,124063
sand-king,-0.68,49.98,435581
phantom-assassin,-0.68,52.80,1128528
outworld-devourer,-0.79,50.51,372061
bounty-hunter,-0.79,46.53,508949
broodmother,-0.92,40.03,69310
wraith-king,-1.00,56.13,453550
mirana,-1.00,52.27,787526
viper,-1.11,49.22,258320
chaos-knight,-1.26,50.49,154665
legion-commander,-1.27,49.27,987953
vengeful-spirit,-1.28,52.51,255781
slardar,-1.46,51.26,405254
lifestealer,-1.48,48.94,367204
shadow-demon,-1.48,46.03,132693
weaver,-1.54,49.21,273842
luna,-1.74,54.63,268341
faceless-void,-1.82,47.47,384102
shadow-fiend,-1.86,47.58,411851
morphling,-1.88,48.17,305939
storm-spirit,-2.15,48.97,500100
huskar,-2.34,45.91,359877
clinkz,-2.35,45.36,247509
nyx-assassin,-2.80,49.48,336884
juggernaut,-2.92,49.37,623418
riki,-3.34,53.32,729963
anti-mage,-4.19,45.96,453475
drow-ranger,-4.67,49.72,535502
