hero,para,rate,matches
underlord,8.05,50.86,185709
outworld-devourer,6.87,54.99,420304
enigma,6.67,52.87,181300
undying,6.46,54.21,153322
medusa,5.41,52.48,322804
death-prophet,5.40,57.75,191338
venomancer,5.35,52.70,237067
pugna,5.22,58.09,153924
silencer,4.68,50.11,334610
tidehunter,4.56,53.35,226445
leshrac,4.30,58.28,79172
dark-seer,4.25,54.31,117498
elder-titan,4.21,49.04,119937
necrophos,4.08,48.58,483539
disruptor,4.03,52.58,200270
sven,3.97,48.92,877923
razor,3.87,58.09,287730
jakiro,3.75,50.11,181701
magnus,3.66,56.85,230862
beastmaster,3.63,57.12,74273
warlock,3.62,47.68,185835
sand-king,3.58,53.91,437855
terrorblade,3.53,54.30,164466
earthshaker,3.30,53.27,476479
drow-ranger,3.28,51.87,1095285
kunkka,3.23,55.24,505078
batrider,3.15,58.35,110048
shadow-shaman,3.03,50.29,350902
visage,2.72,58.64,41163
phoenix,2.62,51.43,140210
winter-wyvern,2.56,56.95,123073
templar-assassin,2.50,57.71,235312
luna,2.49,47.92,494640
puck,2.46,58.90,212847
witch-doctor,2.42,52.84,314963
slardar,2.09,51.41,449926
vengeful-spirit,2.09,50.20,310342
earth-spirit,2.00,60.73,76824
lina,1.88,58.27,370787
faceless-void,1.85,55.01,549531
shadow-demon,1.82,56.64,128227
dragon-knight,1.73,53.04,242965
naga-siren,1.57,56.31,102192
gyrocopter,1.50,57.83,158376
crystal-maiden,1.49,47.05,539765
lion,1.40,54.45,550803
oracle,1.35,59.62,109403
rubick,1.34,56.16,320130
abaddon,1.28,46.19,234973
ember-spirit,1.19,60.67,231948
keeper-of-the-light,1.17,51.95,199688
bane,1.13,56.37,188279
skywrath-mage,1.05,55.43,216222
tiny,1.00,57.06,361425
doom,0.98,58.67,127426
ancient-apparition,0.96,51.51,190839
ogre-magi,0.96,47.79,403929
ursa,0.94,47.52,583580
riki,0.86,47.60,1084518
lone-druid,0.74,62.01,75749
timbersaw,0.68,53.08,481361
omniknight,0.67,41.58,483683
invoker,0.58,55.19,1037355
brewmaster,0.57,54.36,69881
juggernaut,0.39,51.72,1104013
treant-protector,0.38,48.26,131881
chen,0.34,59.77,37986
dazzle,0.25,49.91,264720
shadow-fiend,0.15,53.97,511419
nyx-assassin,0.01,51.47,342348
lich,-0.01,46.89,244980
axe,-0.09,48.97,908690
bristleback,-0.15,52.87,411582
tusk,-0.18,59.36,176148
troll-warlord,-0.23,51.76,393991
alchemist,-0.27,52.59,485842
broodmother,-0.28,61.69,91282
phantom-lancer,-0.28,55.87,306946
wraith-king,-0.33,45.50,635628
techies,-0.33,55.45,200379
bloodseeker,-0.38,50.86,816999
arc-warden,-0.41,57.81,86682
io,-0.43,63.99,61361
queen-of-pain,-0.52,59.02,260374
meepo,-0.76,53.55,227387
night-stalker,-0.89,51.09,225891
bounty-hunter,-0.89,54.96,614624
lifestealer,-0.91,52.22,513536
chaos-knight,-0.96,50.74,249556
weaver,-0.98,51.89,408477
enchantress,-1.00,60.96,141685
clinkz,-1.00,55.35,368506
mirana,-1.07,49.05,893496
windranger,-1.27,55.66,555207
tinker,-1.33,53.27,522010
viper,-1.37,51.88,395705
huskar,-1.42,54.56,599417
zeus,-1.53,46.30,532614
lycan,-1.84,54.22,111644
morphling,-1.92,52.25,456789
legion-commander,-2.21,51.30,1254043
natures-prophet,-2.21,58.91,323293
spirit-breaker,-2.32,47.83,709493
clockwerk,-2.50,49.88,196671
storm-spirit,-3.12,50.70,475222
pudge,-3.45,47.03,1653047
anti-mage,-3.53,52.47,823333
slark,-3.95,48.66,1099379
phantom-assassin,-3.96,47.26,2005710
centaur-warrunner,-4.07,44.34,260458
spectre,-8.16,42.71,408166
