hero,para,rate,matches
tidehunter,4.63,54.42,216531
ogre-magi,4.13,57.98,388950
wraith-king,3.72,59.48,576842
beastmaster,3.63,49.63,62787
treant-protector,3.37,56.79,121415
slardar,2.99,54.25,427196
chen,2.77,44.59,30979
chaos-knight,2.72,53.20,217872
techies,2.71,48.66,170885
clockwerk,2.57,53.21,152024
omniknight,2.49,63.14,431270
spectre,2.38,57.84,269492
undying,2.33,53.33,141974
vengeful-spirit,2.27,55.07,251755
lion,2.20,50.41,470196
naga-siren,2.09,48.56,80168
disruptor,2.01,53.54,175285
shadow-demon,1.96,48.30,106952
centaur-warrunner,1.93,57.88,244444
pudge,1.91,55.35,1346331
abaddon,1.85,58.44,211691
night-stalker,1.80,52.41,194786
io,1.73,39.23,47416
winter-wyvern,1.66,48.28,110411
nyx-assassin,1.65,52.42,279512
elder-titan,1.62,56.86,108826
venomancer,1.58,53.84,187884
sand-king,1.49,51.74,397079
batrider,1.42,47.09,88448
underlord,1.40,56.72,173538
phoenix,1.33,53.61,117490
tusk,1.31,44.06,140528
oracle,1.29,44.71,91309
slark,1.29,53.05,840015
shadow-shaman,1.24,54.88,290765
faceless-void,1.20,49.60,500423
dazzle,1.05,53.81,219368
earthshaker,1.00,51.97,447324
phantom-lancer,0.91,47.41,248994
doom,0.90,45.28,114644
rubick,0.88,48.02,290148
brewmaster,0.87,49.41,58939
necrophos,0.71,56.73,407050
spirit-breaker,0.56,54.36,529011
axe,0.49,54.28,881669
bristleback,0.45,50.31,392688
enigma,0.45,53.70,156635
visage,0.43,46.10,33086
dragon-knight,0.43,51.12,205924
ancient-apparition,0.42,52.24,164287
legion-commander,0.41,50.78,1078368
broodmother,0.41,41.20,72056
drow-ranger,0.36,53.00,762206
witch-doctor,0.33,51.61,272526
lone-druid,0.09,41.40,60547
tiny,0.08,46.54,299726
skywrath-mage,-0.01,48.16,172122
dark-seer,-0.04,50.92,97690
pugna,-0.05,47.78,129621
crystal-maiden,-0.06,56.61,428623
jakiro,-0.07,54.68,155464
bane,-0.07,47.24,158737
riki,-0.13,55.74,858849
lich,-0.17,56.02,211694
phantom-assassin,-0.18,53.72,1534875
warlock,-0.23,56.86,156899
storm-spirit,-0.29,50.56,347959
earth-spirit,-0.31,43.28,65546
ursa,-0.40,55.71,490177
mirana,-0.42,53.23,638909
lifestealer,-0.47,50.10,429624
silencer,-0.52,54.86,276045
troll-warlord,-0.66,50.81,315313
morphling,-0.72,49.40,312371
razor,-0.88,46.67,207738
meepo,-0.91,48.62,174046
lycan,-1.07,47.28,91060
bloodseeker,-1.13,51.38,698147
leshrac,-1.26,46.54,63663
keeper-of-the-light,-1.29,51.02,168722
terrorblade,-1.36,49.90,122416
gyrocopter,-1.39,45.38,114049
sven,-1.41,55.17,736198
death-prophet,-1.42,47.55,143223
luna,-1.51,55.40,334543
juggernaut,-1.54,50.72,842882
anti-mage,-1.59,47.86,651138
bounty-hunter,-1.60,46.80,493987
timbersaw,-1.64,49.48,424881
weaver,-1.73,49.76,281327
enchantress,-1.89,40.55,107912
puck,-1.93,44.63,154634
windranger,-2.34,45.53,386388
alchemist,-2.44,49.07,370540
zeus,-2.48,54.60,378996
viper,-2.90,48.97,279688
medusa,-2.92,51.69,208501
natures-prophet,-2.94,41.44,255271
magnus,-2.97,46.74,179570
lina,-3.16,44.35,282855
kunkka,-3.21,47.93,414183
queen-of-pain,-3.26,42.20,186357
templar-assassin,-3.58,45.04,161924
huskar,-3.77,45.87,466829
ember-spirit,-3.90,41.32,173706
shadow-fiend,-3.98,47.19,335393
invoker,-4.26,46.10,700735
outworld-devourer,-4.28,49.37,259781
clinkz,-5.35,44.58,250561
arc-warden,-6.39,42.06,61837
tinker,-6.94,45.63,361537
