hero,para,rate,matches
sniper,7.10,57.29,408166
natures-prophet,5.74,67.18,115466
drow-ranger,5.45,56.63,299177
arc-warden,5.00,64.48,32453
windranger,4.92,62.73,172573
enigma,4.86,55.64,72035
luna,4.44,52.48,172071
axe,4.25,54.74,313329
earthshaker,4.00,57.26,168003
shadow-shaman,3.92,54.36,111256
phantom-lancer,3.81,61.70,97459
clockwerk,3.63,56.62,72083
mirana,3.50,54.93,320400
vengeful-spirit,3.33,54.43,113852
gyrocopter,3.32,62.38,58649
ancient-apparition,3.15,56.21,78484
razor,3.10,61.18,95988
tinker,3.01,59.17,209806
silencer,2.99,52.90,147355
puck,2.87,62.61,74647
lina,2.86,62.31,117536
lion,2.84,58.78,200007
leshrac,2.79,60.95,30169
tiny,2.68,61.51,122355
skywrath-mage,2.56,59.79,76468
winter-wyvern,2.53,60.44,45925
zeus,2.45,51.75,167678
magnus,2.37,59.67,95105
riki,2.37,51.90,297757
techies,2.30,60.41,61154
naga-siren,2.29,60.22,40977
beastmaster,2.23,59.86,31619
broodmother,2.18,66.53,31936
chaos-knight,2.01,55.82,81501
bane,1.95,60.31,67448
sand-king,1.95,56.60,183737
queen-of-pain,1.88,63.84,91626
medusa,1.73,54.20,131933
faceless-void,1.66,58.41,213968
tusk,1.60,63.79,60664
death-prophet,1.52,59.11,74405
templar-assassin,1.47,60.58,84738
dragon-knight,1.46,56.42,86520
sven,1.33,51.21,283413
bloodseeker,1.22,55.21,222966
venomancer,1.01,54.06,89560
rubick,0.97,59.41,130128
visage,0.95,61.05,14343
troll-warlord,0.91,55.87,107603
weaver,0.85,56.35,132392
crystal-maiden,0.75,50.22,176379
outworld-devourer,0.61,55.27,155898
morphling,0.61,57.08,187187
lone-druid,0.48,65.11,28774
nyx-assassin,0.44,55.19,139429
enchantress,0.40,65.09,45015
keeper-of-the-light,0.39,55.05,78296
phantom-assassin,0.36,52.89,570352
earth-spirit,0.34,63.08,31988
clinkz,0.28,59.49,127648
disruptor,0.17,54.13,83586
pugna,0.13,58.71,59765
night-stalker,0.07,55.07,77348
oracle,0.06,62.20,44624
brewmaster,0.05,57.53,26513
batrider,0.05,60.00,45022
kunkka,0.02,56.98,191076
shadow-demon,-0.33,58.86,55477
tidehunter,-0.34,54.32,107969
lich,-0.39,50.19,96229
legion-commander,-0.47,55.67,404785
io,-0.61,67.01,23416
doom,-0.64,61.07,55468
ogre-magi,-0.95,50.34,163293
lycan,-0.98,58.08,38494
jakiro,-0.99,51.28,67681
invoker,-0.99,57.73,359734
spirit-breaker,-1.00,51.93,191454
shadow-fiend,-1.04,56.74,168458
witch-doctor,-1.16,54.44,120785
viper,-1.18,55.41,112211
bounty-hunter,-1.22,58.17,202766
centaur-warrunner,-1.27,49.08,104036
pudge,-1.29,51.53,519194
ursa,-1.63,49.75,167867
terrorblade,-1.66,54.99,61362
dark-seer,-1.74,54.61,50367
ember-spirit,-1.96,62.02,90270
storm-spirit,-2.07,54.65,196889
timbersaw,-2.10,55.01,200371
huskar,-2.31,57.42,151683
abaddon,-2.44,47.90,94045
wraith-king,-2.51,47.90,235758
slardar,-2.55,52.48,176039
chen,-2.57,61.27,14270
slark,-2.71,52.68,414867
underlord,-2.73,49.18,77844
bristleback,-2.77,54.85,139743
dazzle,-3.31,51.51,98792
warlock,-3.57,47.73,70821
meepo,-3.92,55.16,69857
phoenix,-4.20,51.36,59812
elder-titan,-4.26,48.39,50692
alchemist,-4.39,53.73,169016
necrophos,-5.58,47.37,202070
treant-protector,-6.11,48.43,52716
anti-mage,-6.34,54.16,315290
juggernaut,-6.86,51.23,393884
omniknight,-7.02,41.59,192788
lifestealer,-8.29,51.51,188786
undying,-8.58,49.73,67468
