hero,para,rate,matches
techies,4.50,53.17,55086
bounty-hunter,3.33,52.75,191676
zeus,3.20,61.31,204114
death-prophet,3.16,53.36,73953
clinkz,3.12,52.18,103029
venomancer,3.11,58.23,84970
io,3.06,43.21,19756
pugna,3.03,52.86,57559
chen,2.96,48.24,12892
tusk,2.93,48.33,52773
spirit-breaker,2.56,58.98,173420
clockwerk,2.55,56.77,68747
ancient-apparition,2.54,56.91,86243
lich,2.50,61.01,104524
sniper,2.38,57.84,269492
queen-of-pain,2.28,48.16,88271
gyrocopter,2.13,50.56,41428
tiny,2.08,51.03,96237
abaddon,1.85,61.89,87604
puck,1.84,49.89,75620
skywrath-mage,1.80,52.59,76208
nyx-assassin,1.76,56.02,135650
pudge,1.68,58.72,487084
crystal-maiden,1.65,61.04,169930
ursa,1.61,60.30,113815
riki,1.60,60.17,251660
winter-wyvern,1.49,51.74,49909
viper,1.32,54.63,95156
ember-spirit,1.24,47.03,65829
necrophos,1.24,60.48,176274
bloodseeker,1.22,56.13,196067
phoenix,1.11,57.00,56546
weaver,1.09,54.71,98296
earthshaker,1.05,55.52,158729
shadow-fiend,1.01,53.17,144920
treant-protector,0.93,58.91,50308
templar-assassin,0.93,50.67,69994
mirana,0.92,57.43,291955
earth-spirit,0.92,47.30,29627
kunkka,0.73,53.40,165405
dragon-knight,0.64,54.74,62641
keeper-of-the-light,0.58,55.48,80189
doom,0.40,48.55,47779
batrider,0.38,50.11,41855
enigma,0.34,57.11,66511
shadow-shaman,0.28,57.82,103126
razor,0.28,50.72,79455
phantom-assassin,0.24,57.41,312701
witch-doctor,0.24,55.05,120896
lina,0.22,49.40,116829
silencer,0.18,58.69,143822
rubick,0.17,51.18,136463
invoker,0.11,51.70,328017
timbersaw,0.09,53.84,166246
undying,0.04,55.61,58875
tidehunter,0.02,55.50,96471
visage,-0.03,49.38,12764
bane,-0.05,50.74,69244
medusa,-0.06,56.67,68674
tinker,-0.06,52.50,177247
slark,-0.10,55.79,204237
disruptor,-0.12,55.89,86466
underlord,-0.13,59.27,70750
jakiro,-0.14,58.08,66587
natures-prophet,-0.18,46.07,105705
chaos-knight,-0.19,55.17,52646
lycan,-0.31,51.12,28827
sand-king,-0.31,54.30,169227
windranger,-0.39,49.92,154165
night-stalker,-0.45,54.71,64235
dazzle,-0.46,56.45,99106
ogre-magi,-0.46,58.83,152891
dark-seer,-0.46,54.17,45132
troll-warlord,-0.49,54.36,72693
phantom-lancer,-0.52,50.21,59192
beastmaster,-0.54,51.12,27933
enchantress,-0.55,44.51,40401
lion,-0.57,52.52,205547
leshrac,-0.63,50.31,28138
storm-spirit,-0.70,53.81,187015
warlock,-0.76,59.92,71720
juggernaut,-0.90,54.50,197503
wraith-king,-0.93,60.16,152988
elder-titan,-0.95,58.80,46808
omniknight,-0.98,64.22,165445
huskar,-0.99,50.66,115785
sven,-1.00,58.78,139623
centaur-warrunner,-1.13,59.49,87688
legion-commander,-1.19,53.42,310374
bristleback,-1.31,52.88,110197
outworld-devourer,-1.32,54.33,136358
luna,-1.48,58.78,88497
lifestealer,-1.55,52.99,115231
slardar,-1.63,55.23,143804
oracle,-1.65,46.83,44392
axe,-1.71,56.48,269140
brewmaster,-1.80,51.53,22715
shadow-demon,-1.90,49.91,50843
morphling,-1.95,52.21,93659
vengeful-spirit,-2.20,56.04,96161
broodmother,-2.65,43.28,26204
terrorblade,-2.68,52.63,33803
arc-warden,-2.87,47.03,26641
faceless-void,-3.21,50.82,128585
drow-ranger,-3.46,54.33,168266
alchemist,-3.69,51.80,117854
magnus,-3.72,49.75,76453
meepo,-3.86,50.54,52987
anti-mage,-5.26,49.39,123535
lone-druid,-5.38,42.38,21872
naga-siren,-5.50,48.26,26161
