hero,para,rate,matches
clinkz,3.58,58.96,194320
anti-mage,3.38,57.29,415631
silencer,3.15,50.44,184612
keeper-of-the-light,3.04,53.97,107929
tinker,2.87,56.59,283776
drow-ranger,2.64,52.61,483152
natures-prophet,2.54,62.78,197900
skywrath-mage,2.53,57.29,113958
arc-warden,2.33,60.43,48666
sniper,2.22,52.17,709493
nyx-assassin,1.97,53.53,188346
pugna,1.94,57.32,83736
outworld-devourer,1.65,53.36,204722
night-stalker,1.63,53.44,128593
shadow-fiend,1.59,55.78,246373
ancient-apparition,1.56,52.86,109798
luna,1.54,48.52,247090
faceless-void,1.43,55.82,295064
legion-commander,1.39,54.24,605311
bane,1.31,57.50,105232
shadow-demon,1.27,57.37,77419
earth-spirit,1.26,61.30,44056
alchemist,1.25,54.44,237161
bounty-hunter,1.21,57.16,323690
spectre,1.11,48.07,191454
slark,0.99,52.21,550431
pudge,0.96,50.23,799945
invoker,0.93,56.41,498814
storm-spirit,0.93,53.85,267014
rubick,0.86,56.92,184557
lina,0.84,58.69,190362
templar-assassin,0.81,57.78,122698
ogre-magi,0.75,48.73,226785
timbersaw,0.69,54.12,273555
disruptor,0.65,51.92,127297
lycan,0.64,56.61,63218
broodmother,0.62,63.23,52349
oracle,0.54,60.14,64359
zeus,0.43,48.26,260393
mirana,0.41,50.82,426346
bloodseeker,0.39,52.29,436047
lone-druid,0.38,62.76,40835
magnus,0.31,56.04,129996
doom,0.27,59.27,73204
phantom-assassin,0.27,50.38,916775
queen-of-pain,0.21,60.45,137496
techies,0.06,56.68,100149
axe,0.05,50.07,495554
kunkka,0.04,54.56,271590
juggernaut,-0.03,52.54,547217
gyrocopter,-0.08,57.94,86656
ursa,-0.15,48.04,305541
death-prophet,-0.16,55.72,104099
beastmaster,-0.18,56.04,43780
phoenix,-0.19,51.06,81859
tusk,-0.22,60.33,94826
lifestealer,-0.23,53.60,262549
windranger,-0.23,57.26,277437
crystal-maiden,-0.27,47.26,280609
puck,-0.27,58.34,114478
batrider,-0.29,57.41,62462
lion,-0.29,54.57,306747
chen,-0.30,60.38,21060
leshrac,-0.37,56.69,45910
troll-warlord,-0.40,52.71,194470
riki,-0.44,48.02,525796
enchantress,-0.46,62.27,73288
ember-spirit,-0.57,60.60,123294
tiny,-0.63,57.15,187894
winter-wyvern,-0.67,56.17,69374
earthshaker,-0.78,52.19,251519
lich,-0.79,47.55,136984
warlock,-0.88,46.63,101044
slardar,-0.94,50.91,250507
vengeful-spirit,-0.94,49.74,170578
centaur-warrunner,-0.95,46.80,147112
dragon-knight,-1.01,52.63,132121
sand-king,-1.08,52.51,256352
morphling,-1.15,53.68,237260
brewmaster,-1.18,54.42,41623
dark-seer,-1.22,52.48,70575
terrorblade,-1.29,52.79,88074
huskar,-1.43,55.56,290110
naga-siren,-1.44,55.65,56854
elder-titan,-1.49,47.37,68995
weaver,-1.51,52.62,210080
dazzle,-1.70,49.95,143710
medusa,-1.72,49.95,158911
abaddon,-1.73,45.83,129281
viper,-1.74,52.70,195599
shadow-shaman,-1.76,48.97,190928
undying,-1.77,51.03,93799
visage,-1.87,57.02,24490
venomancer,-1.92,50.08,127860
bristleback,-1.93,52.93,226846
io,-2.06,63.87,34032
witch-doctor,-2.06,51.54,177109
clockwerk,-2.29,50.99,107500
phantom-lancer,-2.48,55.63,159104
sven,-2.60,46.83,427806
jakiro,-2.67,48.01,101252
necrophos,-2.77,46.39,261772
omniknight,-2.96,41.05,260614
wraith-king,-3.00,45.27,336931
razor,-3.27,55.08,149851
tidehunter,-3.80,50.08,139142
treant-protector,-4.39,46.96,80290
enigma,-4.41,48.37,104127
chaos-knight,-4.51,49.91,133881
underlord,-5.21,45.60,111943
meepo,-7.14,51.06,97518
