hero,para,rate,matches
shadow-fiend,3.30,51.83,220613
timbersaw,3.18,52.97,189828
phoenix,3.01,55.56,60436
dark-seer,2.83,53.44,52184
medusa,2.83,55.81,138832
juggernaut,2.81,54.02,455938
sven,2.66,58.49,335827
anti-mage,2.63,50.98,357713
warlock,2.62,59.52,83370
luna,2.58,58.74,207503
spectre,2.56,58.98,173420
silencer,2.44,57.54,163653
necrophos,2.44,58.74,214827
alchemist,2.41,52.57,206223
elder-titan,2.38,58.33,47999
abaddon,2.01,59.56,93960
meepo,1.86,51.03,83491
undying,1.73,54.07,64787
lich,1.61,58.05,109675
terrorblade,1.61,52.45,72497
omniknight,1.59,63.58,202810
troll-warlord,1.56,53.00,156007
enigma,1.56,55.34,77151
jakiro,1.53,56.60,79205
zeus,1.53,57.88,231896
bristleback,1.47,51.87,147436
lone-druid,1.43,42.97,30869
ember-spirit,1.37,44.62,106386
ancient-apparition,1.36,53.77,93790
gyrocopter,1.30,47.66,70538
morphling,1.30,51.45,211790
doom,1.28,46.49,54065
dazzle,1.24,54.95,116130
invoker,1.19,49.77,450276
underlord,1.16,57.62,77099
leshrac,1.11,48.70,37511
keeper-of-the-light,0.94,53.21,85858
outworld-devourer,0.93,53.10,185966
razor,0.87,48.53,122641
kunkka,0.85,50.98,203670
witch-doctor,0.82,52.90,143899
disruptor,0.80,53.94,95757
mirana,0.77,54.90,339016
death-prophet,0.74,49.63,86547
tinker,0.73,50.44,242951
weaver,0.66,52.01,170536
sniper,0.56,54.36,529011
lycan,0.51,49.07,47519
enchantress,0.47,42.53,57994
clinkz,0.45,48.35,160542
naga-siren,0.38,48.79,45464
lifestealer,0.36,51.55,410626
wraith-king,0.30,58.52,248839
ursa,0.18,57.05,237591
sand-king,0.08,52.06,176100
windranger,0.03,47.67,222330
centaur-warrunner,-0.08,57.75,96664
dragon-knight,-0.14,51.86,97709
templar-assassin,-0.16,47.66,106918
pugna,-0.25,48.72,70012
lina,-0.27,46.70,163463
crystal-maiden,-0.30,57.48,223157
phantom-assassin,-0.34,54.66,779587
slark,-0.36,53.21,469687
earthshaker,-0.37,52.30,177267
magnus,-0.38,49.02,87425
vengeful-spirit,-0.42,54.64,127599
winter-wyvern,-0.43,48.31,56244
riki,-0.45,56.57,410268
broodmother,-0.49,41.83,39571
shadow-shaman,-0.55,54.94,152256
queen-of-pain,-0.55,44.40,120560
shadow-demon,-0.59,48.13,57214
tiny,-0.66,47.22,142171
venomancer,-0.71,53.65,100512
puck,-0.77,46.17,92313
chaos-knight,-0.81,52.40,101207
rubick,-0.91,48.19,148412
treant-protector,-0.92,55.44,57798
ogre-magi,-0.98,56.14,165899
phantom-lancer,-1.07,47.50,128675
slardar,-1.15,53.08,173766
chen,-1.16,43.89,16401
brewmaster,-1.17,49.43,30905
clockwerk,-1.20,52.28,69437
viper,-1.27,50.81,159949
storm-spirit,-1.27,51.08,251234
skywrath-mage,-1.30,48.56,96850
lion,-1.43,49.64,239443
beastmaster,-1.44,48.22,30059
axe,-1.47,54.23,327655
legion-commander,-1.54,50.81,473206
drow-ranger,-1.60,52.98,375027
batrider,-1.80,46.61,47066
earth-spirit,-1.87,43.60,31542
bounty-hunter,-1.87,47.68,254155
natures-prophet,-2.11,42.79,141820
bloodseeker,-2.17,51.86,339498
pudge,-2.34,54.04,620130
oracle,-2.46,44.05,51387
bane,-2.53,47.08,83321
visage,-2.62,45.71,19326
arc-warden,-2.79,44.67,41019
nyx-assassin,-2.85,51.10,144667
night-stalker,-3.06,50.91,93220
huskar,-3.18,47.15,229417
tusk,-3.26,43.06,68541
techies,-3.27,46.83,73413
faceless-void,-3.59,48.25,204130
tidehunter,-3.73,51.07,90795
io,-5.51,37.37,28093
