hero,para,rate,matches
slark,6.42,51.43,569115
natures-prophet,4.97,60.87,152632
bloodseeker,4.55,50.95,353809
ancient-apparition,4.08,50.67,113114
ember-spirit,4.05,60.03,124674
tinker,3.89,53.67,332195
clockwerk,3.66,50.61,100667
sniper,3.43,49.30,475222
shadow-demon,3.33,55.10,88209
timbersaw,3.20,52.01,280656
zeus,2.85,45.98,233690
spectre,2.61,45.35,196889
naga-siren,2.60,54.52,51199
batrider,2.47,55.61,67290
pudge,2.42,47.51,811727
sand-king,2.40,50.91,262422
crystal-maiden,2.33,45.07,237143
phantom-lancer,2.18,54.88,119260
morphling,2.11,52.02,277099
keeper-of-the-light,2.04,50.02,131548
warlock,2.01,44.59,94037
elder-titan,2.01,45.64,73784
broodmother,1.97,60.82,40850
enigma,1.82,48.10,100566
bristleback,1.56,51.41,173051
phoenix,1.53,48.53,82424
mirana,1.46,47.94,466196
ogre-magi,1.20,45.55,224032
techies,1.09,53.90,77872
juggernaut,1.08,49.72,549130
meepo,1.05,52.18,100470
terrorblade,1.05,50.65,75094
venomancer,0.92,48.13,122211
faceless-void,0.89,52.15,322727
bounty-hunter,0.77,53.56,285218
gyrocopter,0.61,55.01,69745
rubick,0.54,53.39,195856
invoker,0.49,52.81,617689
axe,0.47,46.91,447996
alchemist,0.46,50.64,232315
lich,0.41,44.77,121011
winter-wyvern,0.39,53.42,67313
arc-warden,0.38,55.98,48246
puck,0.37,55.40,123465
jakiro,0.33,46.13,93095
windranger,0.20,54.18,253342
earthshaker,0.18,49.33,230117
ursa,0.14,44.83,229209
lifestealer,0.10,50.42,230104
lina,0.10,54.95,170367
underlord,0.05,44.78,117168
dark-seer,-0.11,49.71,69733
bane,-0.27,53.28,98534
phantom-assassin,-0.28,46.75,736261
weaver,-0.31,49.92,176483
witch-doctor,-0.31,49.11,162447
leshrac,-0.37,53.37,40658
doom,-0.40,55.60,80649
brewmaster,-0.43,51.50,35948
beastmaster,-0.53,52.53,42620
vengeful-spirit,-0.55,46.60,150841
razor,-0.58,53.31,126722
lone-druid,-0.65,58.94,35589
enchantress,-0.66,58.96,57308
necrophos,-0.68,44.07,257107
legion-commander,-0.70,49.78,576289
magnus,-0.74,52.14,139179
kunkka,-0.80,50.77,288733
tusk,-0.87,56.70,75573
spirit-breaker,-1.06,46.15,267014
chaos-knight,-1.10,48.37,98341
slardar,-1.12,47.49,240589
luna,-1.16,43.93,228400
queen-of-pain,-1.28,56.33,141872
undying,-1.33,47.94,85354
lion,-1.34,50.69,317801
wraith-king,-1.40,42.74,279590
shadow-shaman,-1.43,45.82,155491
tiny,-1.57,53.34,166541
outworld-devourer,-1.66,48.31,243330
chen,-1.84,56.25,18907
disruptor,-1.84,47.33,142955
viper,-1.87,49.33,141024
shadow-fiend,-1.92,50.57,250641
drow-ranger,-2.02,46.92,382380
centaur-warrunner,-2.07,43.00,137572
dazzle,-2.16,46.43,140694
sven,-2.37,43.67,359666
nyx-assassin,-2.39,47.96,252389
visage,-2.40,53.48,21934
death-prophet,-2.47,51.18,91343
oracle,-2.48,55.14,70897
troll-warlord,-2.65,48.24,132992
treant-protector,-2.76,44.50,70817
templar-assassin,-2.81,52.47,108625
skywrath-mage,-2.85,51.04,127680
io,-2.86,60.33,31502
tidehunter,-2.89,47.29,143893
night-stalker,-2.91,47.79,105168
lycan,-3.06,51.29,47659
clinkz,-3.09,51.94,164943
abaddon,-3.14,41.95,117620
pugna,-3.21,51.19,82477
dragon-knight,-3.27,48.18,107536
medusa,-3.60,45.75,150616
omniknight,-3.92,37.53,250913
riki,-4.18,43.01,425722
earth-spirit,-4.28,54.83,49312
huskar,-5.23,50.26,203571
silencer,-5.27,43.15,290148
anti-mage,-7.20,48.32,516890
