hero,para,rate,matches
earth-spirit,6.89,43.97,47000
drow-ranger,6.03,53.53,358436
ancient-apparition,4.92,52.14,111131
elder-titan,4.66,56.15,69894
enigma,4.00,53.18,89881
underlord,3.85,55.69,108813
tidehunter,3.72,51.53,136910
nyx-assassin,3.59,51.01,196865
visage,3.57,45.16,18666
shadow-demon,3.18,46.49,83978
phoenix,3.10,52.15,75635
techies,3.01,46.42,70295
clockwerk,2.99,51.03,97690
earthshaker,2.85,50.53,216456
bounty-hunter,2.77,46.49,276253
io,2.63,37.34,27178
rubick,2.34,46.34,193837
kunkka,2.34,48.30,226549
lifestealer,2.30,49.11,265141
chen,2.11,41.98,16545
pugna,1.79,46.30,67007
witch-doctor,1.76,49.97,148146
dark-seer,1.75,49.46,63411
venomancer,1.64,51.51,105732
sven,1.48,54.44,342196
timbersaw,1.42,48.66,251724
undying,1.41,50.49,79807
lich,1.38,54.55,109104
crystal-maiden,1.27,55.03,238254
winter-wyvern,1.20,45.71,63566
jakiro,1.20,53.04,83982
luna,1.18,54.58,197020
lina,1.17,44.01,116883
warlock,1.09,55.28,82812
keeper-of-the-light,1.04,49.87,112006
disruptor,1.02,50.66,117218
terrorblade,0.97,48.72,67823
silencer,0.97,53.35,178937
vengeful-spirit,0.94,52.01,138154
magnus,0.85,46.24,97302
skywrath-mage,0.70,46.16,91888
mirana,0.66,51.46,356750
riki,0.59,53.81,393650
sand-king,0.35,48.82,246148
beastmaster,0.16,45.65,38455
doom,0.11,42.63,68964
lion,0.09,47.04,271679
necrophos,-0.00,54.02,206550
bane,-0.01,44.95,85620
oracle,-0.14,41.80,65963
tusk,-0.23,41.12,66858
batrider,-0.23,44.02,59003
sniper,-0.29,50.56,347959
centaur-warrunner,-0.49,54.21,127559
spectre,-0.70,53.81,187015
abaddon,-0.71,54.70,104921
juggernaut,-0.74,48.82,485002
pudge,-0.75,51.60,615627
weaver,-0.93,47.85,145802
natures-prophet,-1.06,40.01,133410
slardar,-1.07,49.80,229739
ogre-magi,-1.09,52.79,207159
dazzle,-1.10,50.36,127326
lone-druid,-1.13,38.67,31001
faceless-void,-1.16,46.15,259572
spirit-breaker,-1.27,51.08,251234
medusa,-1.34,50.23,107761
clinkz,-1.37,44.18,127991
shadow-shaman,-1.37,51.18,131203
morphling,-1.38,46.78,218966
windranger,-1.41,43.69,171286
naga-siren,-1.50,44.57,42812
ursa,-1.53,52.80,209742
anti-mage,-1.59,45.58,397803
axe,-1.64,50.84,426225
gyrocopter,-1.67,42.98,56461
treant-protector,-1.75,51.70,63828
bloodseeker,-1.76,48.77,294559
lycan,-1.96,44.58,41784
zeus,-2.01,52.60,125495
slark,-2.15,48.97,500100
razor,-2.23,43.77,90590
omniknight,-2.24,58.05,244492
troll-warlord,-2.29,47.70,117416
bristleback,-2.33,46.64,157865
leshrac,-2.56,43.67,29502
enchantress,-2.62,38.06,50738
legion-commander,-2.84,46.87,518956
arc-warden,-3.35,41.21,30178
chaos-knight,-3.50,47.73,89689
brewmaster,-3.55,44.99,29668
broodmother,-3.61,37.40,35126
phantom-assassin,-3.68,49.60,608321
tiny,-3.74,42.54,123510
death-prophet,-3.80,44.16,47920
queen-of-pain,-3.87,39.75,54443
wraith-king,-3.90,52.90,257057
phantom-lancer,-3.91,42.92,104332
night-stalker,-4.10,47.14,88450
viper,-4.13,46.11,96629
huskar,-4.24,43.43,157915
meepo,-4.86,44.47,67749
dragon-knight,-5.05,46.12,79244
outworld-devourer,-5.41,46.58,75891
puck,-5.45,40.85,43360
ember-spirit,-5.62,38.44,66600
shadow-fiend,-6.97,43.55,81495
invoker,-7.23,42.51,174300
alchemist,-7.72,44.26,119393
templar-assassin,-9.02,40.39,45499
tinker,-9.34,42.35,75912
