hero,para,rate,matches
meepo,11.98,63.69,203657
chaos-knight,7.38,58.18,222738
phantom-lancer,5.11,61.92,251201
anti-mage,4.59,59.93,660107
lycan,3.94,60.42,81893
chen,3.64,64.65,27899
io,3.54,69.31,46486
naga-siren,3.53,60.40,78633
earth-spirit,3.16,64.32,58132
broodmother,3.08,66.60,68773
warlock,2.72,50.29,140353
bounty-hunter,2.44,59.78,398762
legion-commander,2.41,56.73,944948
spirit-breaker,2.40,53.17,427806
dazzle,2.40,54.00,201314
juggernaut,2.35,55.74,845388
lone-druid,2.31,65.79,54629
dark-seer,2.13,56.21,92867
tusk,2.05,63.55,121278
centaur-warrunner,1.99,50.15,197528
magnus,1.95,58.88,182942
nyx-assassin,1.95,55.47,244924
storm-spirit,1.92,56.33,359666
slardar,1.82,54.28,365769
tidehunter,1.68,54.87,189251
huskar,1.65,59.20,399462
lifestealer,1.64,56.54,414019
ember-spirit,1.64,63.78,169592
beastmaster,1.60,58.95,58583
puck,1.52,61.26,155363
faceless-void,1.52,57.79,414123
shadow-fiend,1.40,57.60,350145
phantom-assassin,1.38,52.88,1408432
kunkka,1.29,57.16,381676
earthshaker,1.19,55.16,360475
queen-of-pain,1.18,62.89,183605
doom,1.07,61.60,96717
bloodseeker,1.07,54.58,551250
disruptor,1.07,54.07,155904
riki,1.03,50.67,697122
elder-titan,1.02,50.51,93806
death-prophet,0.97,58.26,133714
bane,0.94,59.18,139551
terrorblade,0.91,55.89,124747
night-stalker,0.85,54.96,165085
pudge,0.82,52.09,1125401
tiny,0.68,59.78,263141
visage,0.66,60.35,30862
outworld-devourer,0.63,54.74,298026
abaddon,0.63,48.86,171088
luna,0.63,50.02,338526
oracle,0.57,62.01,89174
vengeful-spirit,0.44,52.36,222184
clinkz,0.38,59.01,246743
leshrac,0.19,58.88,57014
shadow-demon,0.16,58.62,108384
techies,0.11,58.59,138790
brewmaster,0.06,57.00,54186
gyrocopter,0.04,59.87,112711
rubick,-0.00,58.31,271931
ursa,-0.06,50.00,433650
arc-warden,-0.07,60.85,64337
keeper-of-the-light,-0.23,54.17,144811
bristleback,-0.24,55.74,315913
skywrath-mage,-0.25,57.62,151086
natures-prophet,-0.26,62.87,228315
witch-doctor,-0.28,54.39,238776
alchemist,-0.28,55.51,375609
ogre-magi,-0.34,50.11,304959
sand-king,-0.44,54.74,337454
zeus,-0.47,49.73,335496
lina,-0.49,59.77,246954
necrophos,-0.52,49.37,363465
dragon-knight,-0.56,54.76,184736
lion,-0.60,56.28,403598
shadow-shaman,-0.70,51.40,243309
templar-assassin,-0.77,58.73,168975
pugna,-0.78,57.66,113119
ancient-apparition,-0.83,53.51,143562
treant-protector,-0.84,50.61,99738
underlord,-0.85,49.60,143963
drow-ranger,-0.88,52.70,668616
axe,-0.99,51.45,705891
silencer,-1.14,50.24,259108
razor,-1.14,58.15,206920
morphling,-1.15,55.55,353114
viper,-1.22,54.86,257959
undying,-1.25,53.19,119166
crystal-maiden,-1.27,48.68,372082
spectre,-1.36,48.79,283413
batrider,-1.40,58.61,85435
winter-wyvern,-1.50,57.54,118040
jakiro,-1.53,50.47,134320
enchantress,-1.59,63.31,96524
weaver,-1.64,54.43,277497
invoker,-1.68,56.80,739473
omniknight,-1.75,43.42,406971
slark,-1.77,52.66,844881
mirana,-1.87,51.54,627033
venomancer,-2.02,51.91,164228
wraith-king,-2.13,47.56,492907
lich,-2.15,48.78,181872
clockwerk,-2.30,52.85,131258
timbersaw,-2.46,54.28,396997
troll-warlord,-2.49,53.46,283485
windranger,-2.75,57.63,381924
phoenix,-2.82,51.58,106752
enigma,-3.10,50.89,154142
sniper,-3.53,51.08,877923
tinker,-3.55,54.88,385868
medusa,-4.98,50.11,244316
