hero,para,rate,matches
io,6.66,44.15,48360
chen,5.31,48.77,23994
magnus,4.70,53.53,269353
techies,3.39,52.04,115782
oracle,3.12,48.54,82605
ogre-magi,3.07,60.37,290863
bane,2.87,51.66,128832
treant-protector,2.85,59.49,90380
doom,2.73,49.12,78767
omniknight,2.67,66.08,398785
spirit-breaker,2.66,58.49,335827
bounty-hunter,2.60,51.82,375714
nyx-assassin,2.54,55.90,221783
slardar,2.53,57.01,263445
broodmother,2.50,45.02,53044
tusk,2.37,47.51,98203
night-stalker,2.34,55.70,126823
abaddon,2.13,61.53,136283
earth-spirit,1.96,47.24,51465
necrophos,1.95,60.36,333077
mirana,1.78,57.38,577000
pudge,1.76,58.23,977645
lycan,1.72,51.61,59514
tidehunter,1.72,55.89,155670
earthshaker,1.63,55.29,316624
dark-seer,1.63,54.76,96994
visage,1.60,49.63,25865
queen-of-pain,1.56,47.27,175007
razor,1.50,50.78,156129
beastmaster,1.49,51.60,46870
dazzle,1.48,57.00,205341
storm-spirit,1.48,54.44,342196
centaur-warrunner,1.44,60.51,144800
phoenix,1.40,56.62,100841
wraith-king,1.38,61.04,300347
tiny,1.34,50.11,188888
leshrac,1.28,50.72,51824
chaos-knight,1.23,55.41,115772
brewmaster,1.19,52.55,41792
gyrocopter,1.14,49.52,84347
undying,1.13,55.68,97812
ember-spirit,1.12,46.43,134285
sand-king,1.04,54.49,292382
silencer,1.03,58.65,250141
death-prophet,0.95,51.67,120588
puck,0.94,48.90,152664
lina,0.93,49.20,234206
lone-druid,0.90,44.65,42585
skywrath-mage,0.86,51.55,145747
lion,0.82,52.71,401008
batrider,0.71,49.73,76232
meepo,0.67,52.37,131462
vengeful-spirit,0.65,57.14,201691
winter-wyvern,0.61,50.75,89774
bristleback,0.59,53.35,225598
timbersaw,0.58,53.56,306108
rubick,0.58,50.85,250679
dragon-knight,0.54,54.13,122104
weaver,0.52,53.86,221923
elder-titan,0.50,59.14,78575
riki,0.46,58.97,598460
viper,0.46,53.62,211926
crystal-maiden,0.39,59.75,410294
clinkz,0.38,50.24,200988
phantom-lancer,0.35,50.11,150044
underlord,0.33,59.02,117909
witch-doctor,0.27,54.53,227945
bloodseeker,0.27,55.06,458013
axe,0.23,57.06,527991
pugna,0.22,50.87,102529
lich,0.20,59.11,174028
disruptor,0.18,55.52,163116
zeus,0.14,58.96,322035
shadow-fiend,0.13,52.16,314861
slark,0.09,55.36,484924
windranger,0.07,49.61,330171
kunkka,0.06,52.51,312338
venomancer,0.06,55.97,148332
ursa,-0.06,58.79,283126
warlock,-0.06,59.82,132327
jakiro,-0.08,57.58,125076
legion-commander,-0.17,53.43,666404
huskar,-0.17,50.54,302558
enchantress,-0.22,44.12,83476
arc-warden,-0.22,47.77,52341
troll-warlord,-0.25,53.96,197438
templar-assassin,-0.28,49.52,143462
shadow-shaman,-0.30,56.95,235178
ancient-apparition,-0.31,54.79,149685
tinker,-0.32,51.83,370695
alchemist,-0.34,53.06,275704
clockwerk,-0.42,54.59,105641
invoker,-0.45,50.87,672526
keeper-of-the-light,-0.46,54.38,151134
naga-siren,-0.59,50.22,54964
phantom-assassin,-0.71,56.34,925383
outworld-devourer,-0.91,54.02,251684
spectre,-1.00,58.78,139623
enigma,-1.18,55.72,174652
shadow-demon,-1.27,49.69,87724
sniper,-1.41,55.17,736198
natures-prophet,-1.61,44.88,196829
lifestealer,-1.78,52.33,248627
medusa,-2.06,55.01,161290
luna,-2.11,57.89,215712
morphling,-2.20,51.55,213008
juggernaut,-2.42,53.14,462822
terrorblade,-2.68,52.10,76515
faceless-void,-3.80,49.99,250212
anti-mage,-4.82,49.10,350206
drow-ranger,-4.92,53.00,476559
