hero,para,rate,matches
riki,5.82,44.04,175991
weaver,5.41,49.28,64689
underlord,4.90,43.53,31783
bloodseeker,4.05,47.26,133413
undying,3.65,46.93,26917
omniknight,3.62,37.25,84932
shadow-fiend,3.42,49.89,78106
ember-spirit,3.23,56.18,44283
juggernaut,3.10,47.30,173567
kunkka,3.03,49.31,89652
tidehunter,2.41,46.47,36682
timbersaw,2.35,48.18,81899
meepo,2.33,49.44,39837
slark,2.19,46.01,180973
dark-seer,2.11,47.43,22086
clockwerk,1.89,46.37,30276
earthshaker,1.75,46.73,76368
outworld-devourer,1.73,46.60,56475
zeus,1.71,42.15,106820
faceless-void,1.45,49.07,89407
tinker,1.36,49.00,84290
venomancer,1.27,44.96,40099
bounty-hunter,1.24,50.44,104132
necrophos,1.05,41.54,77812
bristleback,1.03,47.78,68829
warlock,1.00,40.87,28764
phantom-assassin,0.97,44.01,319733
ursa,0.92,41.88,103854
puck,0.87,52.34,34950
mirana,0.86,44.33,131663
silencer,0.85,42.63,52220
gyrocopter,0.84,51.80,27661
morphling,0.83,48.02,75201
luna,0.76,41.50,73474
axe,0.74,43.72,147083
alchemist,0.71,47.42,87916
crystal-maiden,0.67,41.08,87028
ancient-apparition,0.56,45.63,33369
nyx-assassin,0.55,46.07,57510
elder-titan,0.49,41.68,19612
sniper,0.41,44.55,200379
magnus,0.38,49.39,40076
sand-king,0.35,46.56,72808
troll-warlord,0.34,46.39,64643
pugna,0.34,49.74,27994
tusk,0.26,54.06,32222
phantom-lancer,0.15,50.47,50982
witch-doctor,0.04,45.97,51851
disruptor,-0.06,44.89,32079
spirit-breaker,-0.07,43.32,100149
invoker,-0.13,49.17,163928
sven,-0.15,41.41,138790
arc-warden,-0.22,52.35,16167
tiny,-0.33,50.71,61029
phoenix,-0.44,44.29,24384
viper,-0.47,46.73,59823
earth-spirit,-0.59,53.68,15202
lina,-0.60,51.28,59189
rubick,-0.61,49.48,59214
treant-protector,-0.70,42.19,25071
legion-commander,-0.77,46.45,205950
jakiro,-0.78,42.36,29437
queen-of-pain,-0.89,53.30,43033
windranger,-0.90,50.30,87059
ogre-magi,-0.96,41.35,67433
lich,-0.99,40.92,42388
huskar,-1.06,49.19,91569
slardar,-1.07,44.25,71535
pudge,-1.19,42.59,272410
storm-spirit,-1.25,46.10,77872
shadow-shaman,-1.41,42.59,57427
batrider,-1.42,50.23,18731
skywrath-mage,-1.46,48.50,35682
night-stalker,-1.58,45.18,42654
winter-wyvern,-1.74,49.02,20639
drow-ranger,-1.89,43.74,151586
chaos-knight,-1.95,44.71,41970
terrorblade,-1.96,45.88,30803
razor,-2.01,49.29,48711
lifestealer,-2.16,46.03,88631
leshrac,-2.37,49.06,15262
doom,-2.48,51.21,24740
lycan,-2.54,48.33,21776
enchantress,-2.67,54.61,25649
brewmaster,-2.76,47.07,13513
keeper-of-the-light,-2.76,44.44,35285
io,-2.83,57.26,12573
lion,-2.95,46.64,86392
anti-mage,-3.06,47.25,142523
enigma,-3.10,42.58,31176
vengeful-spirit,-3.11,42.20,50272
medusa,-3.15,42.77,49225
spectre,-3.31,39.59,61154
shadow-demon,-3.44,48.28,22580
dazzle,-3.50,42.61,47338
abaddon,-3.55,38.65,46593
broodmother,-3.59,54.38,17815
centaur-warrunner,-3.62,39.20,46103
templar-assassin,-3.69,48.80,43971
visage,-3.78,49.53,7601
dragon-knight,-3.91,44.67,42898
clinkz,-4.34,48.10,65790
naga-siren,-4.65,47.50,22099
beastmaster,-5.70,46.66,16553
oracle,-6.30,49.90,19706
lone-druid,-6.34,52.53,15267
wraith-king,-7.57,37.08,109389
death-prophet,-7.80,45.32,35148
natures-prophet,-7.86,50.41,77678
chen,-8.11,49.64,8217
bane,-8.71,45.75,36022
