hero,para,rate,matches
anti-mage,9.29,47.02,126593
phantom-assassin,6.07,51.09,262713
chaos-knight,5.98,48.91,35785
phantom-lancer,5.16,43.55,44919
alchemist,5.13,46.95,76156
spectre,4.50,53.17,55086
legion-commander,4.37,46.90,157935
naga-siren,4.17,43.73,15840
morphling,3.95,45.87,69823
bristleback,3.86,46.17,55654
medusa,3.83,49.42,46592
wraith-king,3.79,53.70,87147
slark,3.66,48.43,153102
sven,3.39,52.04,115782
faceless-void,3.22,44.80,73575
lifestealer,3.18,46.12,67938
storm-spirit,3.01,46.42,70295
windranger,2.97,42.28,70825
sniper,2.71,48.66,170885
troll-warlord,2.60,46.69,53925
juggernaut,2.59,47.06,144730
terrorblade,2.45,46.05,25422
axe,2.34,49.50,109857
bloodseeker,1.91,47.21,103750
luna,1.77,51.53,62171
ember-spirit,1.71,38.20,38779
dragon-knight,1.56,45.96,35240
slardar,1.32,47.64,54117
centaur-warrunner,1.28,51.82,33755
ursa,0.90,50.76,78138
viper,0.90,45.20,49878
omniknight,0.78,56.57,50557
drow-ranger,0.73,47.51,121394
outworld-devourer,0.56,46.19,52127
lycan,0.52,42.41,16634
huskar,0.50,42.29,75986
invoker,0.48,42.75,153854
night-stalker,0.27,45.96,32604
clinkz,0.11,41.57,52263
weaver,0.02,45.00,55887
zeus,-0.23,50.25,65308
necrophos,-0.30,50.56,58344
ogre-magi,-0.37,49.87,41672
pudge,-0.41,48.47,263631
lion,-0.45,43.51,56368
tiny,-0.52,40.73,77706
meepo,-0.53,43.22,35734
riki,-0.71,49.82,126205
shadow-fiend,-1.08,43.05,72397
timbersaw,-1.13,44.17,67488
tinker,-1.36,42.83,76613
razor,-1.38,40.93,39663
enchantress,-1.53,35.42,18524
mirana,-1.57,47.06,101756
earthshaker,-1.59,45.09,52340
lina,-1.62,39.61,45254
templar-assassin,-1.64,40.47,36849
shadow-shaman,-1.68,47.75,37466
sand-king,-1.69,44.57,50886
magnus,-1.78,41.81,63157
lone-druid,-1.80,35.35,12062
gyrocopter,-1.91,39.70,22896
doom,-2.10,38.54,18358
clockwerk,-2.10,45.26,23037
vengeful-spirit,-2.22,47.13,37668
queen-of-pain,-2.25,37.30,36447
crystal-maiden,-2.47,49.77,60418
silencer,-2.53,48.26,39504
abaddon,-3.00,50.23,32884
death-prophet,-3.22,41.25,25840
brewmaster,-3.26,41.95,10782
spirit-breaker,-3.27,46.83,73413
warlock,-3.38,49.64,20451
natures-prophet,-3.48,35.98,44750
enigma,-3.51,46.13,21074
jakiro,-3.60,47.32,20098
lich,-3.68,48.62,28685
broodmother,-3.69,34.37,14808
tusk,-3.70,36.63,25725
kunkka,-4.21,42.05,69112
nyx-assassin,-4.57,43.82,40693
venomancer,-4.86,45.06,28848
witch-doctor,-5.24,43.39,34869
bounty-hunter,-5.40,39.70,70606
bane,-5.54,39.38,24369
puck,-5.54,37.76,29917
elder-titan,-5.64,47.49,13224
underlord,-6.06,47.26,23920
skywrath-mage,-6.26,39.90,26354
beastmaster,-6.29,39.64,10623
dazzle,-6.41,44.55,29779
rubick,-6.67,39.21,40786
phoenix,-7.05,43.93,17124
leshrac,-7.14,38.59,11747
undying,-7.15,43.15,19045
treant-protector,-7.30,45.70,17049
keeper-of-the-light,-7.49,42.59,25242
disruptor,-7.63,43.26,22412
winter-wyvern,-8.94,38.16,15900
dark-seer,-10.04,40.75,16401
arc-warden,-11.10,35.05,15220
shadow-demon,-11.98,36.79,15835
pugna,-12.23,37.05,20460
batrider,-14.76,34.84,15700
ancient-apparition,-15.08,39.38,25142
oracle,-20.07,30.90,15035
earth-spirit,-22.54,29.40,11700
tidehunter,-22.62,35.87,32463
visage,-30.11,28.21,7122
chen,-35.94,24.30,7436
io,-42.56,19.16,13996
