hero,para,rate,matches
lifestealer,6.59,49.43,113979
outworld-devourer,5.36,47.56,87782
oracle,5.29,55.36,29156
rubick,4.83,51.48,75642
nyx-assassin,4.77,47.31,82175
puck,4.60,53.56,48656
elder-titan,4.46,42.65,29111
anti-mage,3.96,49.97,175118
morphling,3.88,48.77,107994
techies,3.79,51.20,43971
zeus,3.70,42.30,106766
invoker,3.43,50.22,231607
omniknight,3.34,36.51,111451
storm-spirit,3.30,47.53,108625
clockwerk,3.19,46.27,43630
shadow-fiend,3.04,49.01,109002
mirana,3.02,44.59,186826
tinker,2.99,49.10,115426
juggernaut,2.96,46.54,226503
ancient-apparition,2.94,46.02,47139
pugna,2.71,50.22,35426
necrophos,2.63,41.52,106259
legion-commander,2.26,47.18,241849
timbersaw,2.26,47.45,116318
magnus,2.09,49.55,59114
tidehunter,1.82,45.52,57602
kunkka,1.82,48.04,119915
skywrath-mage,1.75,49.39,50496
ursa,1.72,41.55,119390
earth-spirit,1.67,54.22,20567
natures-prophet,1.67,54.95,72075
chen,1.64,54.23,9903
queen-of-pain,1.46,53.89,60942
lion,1.41,48.05,121323
centaur-warrunner,1.34,40.56,61267
tiny,1.32,50.87,79972
keeper-of-the-light,1.27,45.61,47157
earthshaker,1.23,45.81,99783
tusk,1.20,53.89,42288
visage,1.11,51.37,9918
sven,1.11,41.27,168975
silencer,1.09,42.07,78684
lycan,1.02,49.42,28822
io,0.94,58.82,16168
lina,0.82,51.33,77049
shadow-demon,0.68,49.66,35786
vengeful-spirit,0.64,43.17,73815
arc-warden,0.45,52.02,21860
phantom-assassin,0.24,43.03,349790
wraith-king,0.14,39.52,130953
disruptor,0.11,44.29,51745
meepo,-0.06,47.61,47496
abaddon,-0.09,39.39,54590
ogre-magi,-0.10,41.05,94645
clinkz,-0.13,49.54,83321
bane,-0.42,49.23,43719
night-stalker,-0.43,45.04,54590
winter-wyvern,-0.55,48.95,31244
medusa,-0.62,43.22,69360
huskar,-0.67,48.71,115659
undying,-0.71,44.29,38581
drow-ranger,-0.82,43.56,188121
riki,-0.85,40.62,195424
witch-doctor,-0.92,44.86,72654
treant-protector,-0.95,41.43,33066
spirit-breaker,-1.08,42.22,122698
pudge,-1.08,41.98,320468
lich,-1.28,40.15,56165
luna,-1.38,39.98,105337
razor,-1.38,48.94,63605
faceless-void,-1.40,47.02,126202
death-prophet,-1.48,47.76,43344
ember-spirit,-1.66,52.86,60184
weaver,-1.73,45.28,89874
bloodseeker,-1.77,43.95,158691
broodmother,-1.80,54.74,24963
dazzle,-1.88,42.67,63043
enchantress,-1.91,54.38,31102
enigma,-1.97,42.42,46532
spectre,-2.18,39.42,84738
windranger,-2.21,48.98,109355
leshrac,-2.51,48.33,20614
bounty-hunter,-2.52,47.91,132796
warlock,-2.55,38.80,43399
doom,-2.63,50.48,34095
lone-druid,-2.66,53.94,20116
slardar,-2.77,42.84,106706
beastmaster,-2.77,47.46,20999
bristleback,-2.81,45.31,89587
alchemist,-2.89,45.07,106579
sand-king,-2.93,44.39,105157
axe,-3.04,41.44,187784
phoenix,-3.05,42.49,36495
sniper,-3.22,42.29,235312
gyrocopter,-3.56,48.89,41590
underlord,-3.89,39.25,44865
brewmaster,-4.24,45.70,18180
troll-warlord,-4.44,43.54,80508
shadow-shaman,-4.59,40.58,73242
crystal-maiden,-4.72,38.26,113550
viper,-4.92,44.00,89484
slark,-5.26,42.02,227166
jakiro,-5.32,39.80,45752
chaos-knight,-5.64,42.39,54349
terrorblade,-5.83,43.44,41287
batrider,-6.63,46.94,29659
dragon-knight,-6.67,42.76,55655
naga-siren,-7.20,45.60,27304
dark-seer,-7.92,42.15,31816
venomancer,-7.98,40.24,62414
phantom-lancer,-8.57,45.46,67524
