hero,para,rate,matches
drow-ranger,9.51,50.91,168667
shadow-demon,5.41,43.37,34375
tidehunter,4.90,47.93,54490
disruptor,4.02,48.02,47880
earth-spirit,3.96,38.80,18615
slardar,3.62,48.03,101806
chen,3.56,38.63,8884
batrider,3.38,41.58,24916
elder-titan,3.38,51.33,26850
ogre-magi,3.37,51.04,89538
axe,2.99,49.12,167393
io,2.92,33.72,14072
lion,2.90,44.29,115630
rubick,2.81,42.52,78432
enigma,2.73,48.43,41569
jakiro,2.73,49.73,39021
beastmaster,2.49,42.68,19021
oracle,2.44,38.95,26706
phoenix,2.44,47.73,32356
keeper-of-the-light,2.43,46.47,44039
sand-king,2.28,45.69,95544
vengeful-spirit,2.20,48.57,69451
lich,2.06,50.83,51574
dazzle,2.04,47.88,58470
abaddon,2.03,52.14,48208
lone-druid,1.95,36.07,17036
winter-wyvern,1.79,41.99,28521
witch-doctor,1.76,45.92,65924
warlock,1.67,51.54,38580
earthshaker,1.67,45.90,93774
doom,1.67,39.37,30904
silencer,1.47,49.56,67418
centaur-warrunner,1.47,51.23,55924
dark-seer,1.22,45.17,27294
bristleback,1.22,44.32,77783
clockwerk,0.99,46.01,38421
faceless-void,0.98,43.15,105224
spectre,0.93,50.67,69994
bane,0.73,41.33,39541
kunkka,0.62,43.50,90461
luna,0.55,50.23,83839
ancient-apparition,0.51,45.93,44996
skywrath-mage,0.49,42.11,42369
shadow-shaman,0.47,48.12,66254
brewmaster,0.39,42.86,15241
omniknight,0.36,55.67,105512
anti-mage,0.35,42.52,152437
timbersaw,0.30,44.14,96686
pudge,0.22,48.09,245100
crystal-maiden,0.20,50.45,101040
visage,0.08,39.75,8718
chaos-knight,-0.01,45.47,47318
magnus,-0.09,41.88,42465
bloodseeker,-0.10,45.61,130539
spirit-breaker,-0.16,47.66,106918
natures-prophet,-0.20,36.57,64512
undying,-0.22,45.69,35168
nyx-assassin,-0.25,45.14,73505
sven,-0.28,49.52,143462
phantom-lancer,-0.31,40.63,56643
slark,-0.42,45.86,192788
underlord,-0.48,49.40,40576
lina,-0.66,39.35,58710
wraith-king,-0.68,50.72,116121
enchantress,-0.71,35.10,27341
venomancer,-0.77,46.32,47368
terrorblade,-0.81,43.92,34718
night-stalker,-0.88,44.77,46031
windranger,-0.95,40.03,79293
naga-siren,-1.08,40.88,22509
morphling,-1.10,42.98,85888
troll-warlord,-1.15,44.32,65485
mirana,-1.19,46.57,144915
legion-commander,-1.33,43.68,208713
lifestealer,-1.52,43.37,97266
ursa,-1.54,48.86,100738
tusk,-1.60,36.80,36762
techies,-1.64,40.47,36849
gyrocopter,-1.71,39.14,31840
necrophos,-1.76,49.15,89810
treant-protector,-1.77,47.76,31005
juggernaut,-1.93,44.33,181652
lycan,-2.09,40.67,24314
medusa,-2.31,45.84,50815
pugna,-2.33,40.59,31034
viper,-2.40,43.07,56395
tiny,-2.45,39.31,61841
bounty-hunter,-2.47,40.29,113275
dragon-knight,-2.51,43.47,42839
huskar,-2.57,40.36,83978
leshrac,-2.58,39.84,16429
razor,-2.63,39.78,46006
riki,-2.68,48.18,165796
phantom-assassin,-2.71,46.21,267790
death-prophet,-2.77,40.80,28700
queen-of-pain,-3.07,36.38,33880
zeus,-3.37,48.02,66314
sniper,-3.58,45.04,161924
puck,-3.75,37.85,26521
meepo,-3.95,41.10,33127
weaver,-4.17,42.48,70703
broodmother,-4.81,33.39,21204
clinkz,-5.53,38.62,64650
alchemist,-6.43,41.17,61271
invoker,-6.78,39.05,93273
shadow-fiend,-6.97,39.87,50363
arc-warden,-7.57,35.84,15400
ember-spirit,-7.58,34.13,34805
outworld-devourer,-8.22,41.54,40978
storm-spirit,-9.02,40.39,45499
tinker,-9.90,38.52,47868
