hero,para,rate,matches
omniknight,5.08,40.93,78216
templar-assassin,4.99,56.56,41287
anti-mage,4.85,54.47,135571
wraith-king,4.65,45.24,95202
meepo,4.42,53.79,30670
visage,4.38,57.07,10947
venomancer,4.16,49.55,44919
slardar,4.10,49.88,71720
treant-protector,3.93,47.44,27344
clockwerk,3.46,50.39,34147
lifestealer,3.34,51.93,81966
dazzle,3.23,48.86,44245
chen,3.14,58.98,7367
ancient-apparition,3.10,50.07,35552
arc-warden,3.07,57.35,19230
io,2.91,63.79,11774
silencer,2.83,46.72,59217
alchemist,2.52,51.55,79575
pudge,2.50,47.43,204989
bane,2.43,54.61,33160
earth-spirit,2.43,58.55,13609
rubick,2.39,54.25,51109
clinkz,2.36,54.74,64203
viper,2.24,51.28,62593
vengeful-spirit,2.17,47.75,55302
spectre,2.11,45.01,61362
juggernaut,2.04,50.07,154898
tidehunter,1.86,49.47,45319
undying,1.82,49.35,31614
techies,1.72,54.12,30803
beastmaster,1.68,53.57,15735
necrophos,1.61,44.96,76507
razor,1.52,54.31,50996
abaddon,1.50,43.84,42664
lycan,1.49,53.58,26268
spirit-breaker,1.48,47.21,88074
faceless-void,1.19,52.18,91579
luna,1.09,44.81,81213
doom,0.89,56.20,25906
oracle,0.81,56.89,22635
phantom-assassin,0.80,47.13,235931
riki,0.76,45.10,136441
disruptor,0.71,48.44,37668
nyx-assassin,0.68,49.35,63179
phoenix,0.65,47.98,25456
death-prophet,0.60,52.67,35565
bounty-hunter,0.50,53.29,91128
shadow-fiend,0.49,51.69,73832
shadow-demon,0.48,53.46,24307
morphling,0.44,51.05,74445
enigma,0.37,47.29,35464
winter-wyvern,0.37,53.29,26106
tusk,0.27,57.23,32339
ogre-magi,0.22,44.99,60001
skywrath-mage,0.10,52.47,38968
mirana,0.03,47.14,123550
naga-siren,-0.02,53.00,25074
outworld-devourer,-0.13,48.94,62861
ursa,-0.13,44.59,91048
witch-doctor,-0.17,49.06,53694
batrider,-0.18,54.05,23181
lion,-0.36,51.07,84234
puck,-0.38,54.86,32958
pugna,-0.41,52.56,30224
tiny,-0.46,53.83,61874
shadow-shaman,-0.53,46.12,53903
invoker,-0.66,52.09,130020
bloodseeker,-0.68,48.28,113083
chaos-knight,-0.69,48.45,45506
queen-of-pain,-0.76,56.52,46177
drow-ranger,-0.84,47.37,133378
enchantress,-0.90,58.71,27333
night-stalker,-0.91,48.65,44779
weaver,-1.05,49.42,68948
storm-spirit,-1.06,49.35,75094
broodmother,-1.06,58.90,22755
sven,-1.14,44.11,124747
medusa,-1.19,46.77,59173
jakiro,-1.26,45.28,34111
bristleback,-1.31,49.83,66530
magnus,-1.33,51.71,44295
natures-prophet,-1.35,57.09,52844
huskar,-1.48,52.13,82773
warlock,-1.52,42.93,34829
underlord,-1.59,43.93,36127
centaur-warrunner,-1.66,43.07,47196
dragon-knight,-1.71,48.83,45846
elder-titan,-1.73,43.85,26107
leshrac,-1.73,52.52,19498
lich,-1.80,43.67,43728
brewmaster,-1.81,50.67,17511
kunkka,-1.97,50.06,84067
lone-druid,-2.15,57.94,15453
keeper-of-the-light,-2.21,47.82,31855
windranger,-2.38,52.67,76933
earthshaker,-2.54,47.87,85178
lina,-2.98,53.15,59451
crystal-maiden,-3.16,42.54,77898
dark-seer,-3.24,48.04,24823
phantom-lancer,-3.36,51.79,54988
ember-spirit,-3.36,55.64,46588
legion-commander,-3.38,48.32,166097
zeus,-3.47,43.04,75399
troll-warlord,-3.60,47.65,59950
gyrocopter,-3.67,52.56,36481
sniper,-3.89,45.70,164466
slark,-4.20,46.19,155935
tinker,-5.09,48.92,76050
sand-king,-6.37,46.44,77401
axe,-7.07,43.27,130803
timbersaw,-7.84,46.33,77776
