hero,para,rate,matches
visage,4.35,45.38,8877
batrider,4.35,45.92,20231
leshrac,4.16,46.56,16906
broodmother,4.11,40.27,18759
bane,3.95,46.61,30295
oracle,3.73,43.30,21037
winter-wyvern,3.35,46.56,22881
queen-of-pain,3.19,42.55,39897
axe,2.95,53.09,108706
keeper-of-the-light,2.84,50.63,29318
tusk,2.82,42.26,27411
tiny,2.81,45.31,48709
slardar,2.58,51.52,60532
enchantress,2.57,39.98,23307
lion,2.57,48.09,76991
brewmaster,2.54,47.71,14394
natures-prophet,2.45,41.31,45335
techies,2.45,46.05,25422
skywrath-mage,2.43,46.83,34061
sand-king,2.31,49.65,65357
rubick,2.31,46.21,49587
gyrocopter,2.25,44.58,26750
earthshaker,2.21,50.10,66022
disruptor,2.16,51.11,34222
nyx-assassin,2.13,50.16,55842
night-stalker,2.09,50.06,36751
bloodseeker,2.07,50.55,90767
vengeful-spirit,2.00,52.43,49393
crystal-maiden,1.96,55.28,68294
kunkka,1.94,47.99,70653
chen,1.89,41.77,6449
lina,1.83,44.17,51429
death-prophet,1.82,46.62,31042
puck,1.71,43.82,29826
beastmaster,1.69,46.22,14142
undying,1.67,50.50,27647
spirit-breaker,1.61,52.45,72497
witch-doctor,1.59,49.77,47880
clockwerk,1.49,50.17,30145
shadow-shaman,1.39,52.49,49295
wraith-king,1.26,55.62,69381
razor,1.25,45.21,40609
bounty-hunter,1.21,45.67,79378
magnus,1.20,46.28,33723
pugna,1.14,45.89,27243
pudge,1.12,52.45,177742
mirana,1.01,51.52,104186
legion-commander,1.01,48.61,129461
jakiro,0.98,52.80,30580
storm-spirit,0.97,48.72,67823
dazzle,0.97,51.29,44111
doom,0.96,42.88,21930
shadow-demon,0.87,45.33,33428
centaur-warrunner,0.83,54.81,39958
io,0.81,36.56,9641
tidehunter,0.70,49.91,39295
naga-siren,0.68,45.44,18720
ogre-magi,0.68,53.61,55990
viper,0.67,48.30,50953
enigma,0.66,51.35,30057
lycan,0.60,45.62,20786
ancient-apparition,0.59,49.86,32674
venomancer,0.52,50.82,39532
bristleback,0.47,47.86,54312
faceless-void,0.37,46.74,76996
weaver,0.32,48.34,51756
riki,0.29,53.53,111969
silencer,0.25,52.85,51067
underlord,0.05,53.54,31644
invoker,0.03,45.72,114215
timbersaw,0.01,47.86,64293
elder-titan,-0.01,53.52,22157
slark,-0.02,49.91,98015
ursa,-0.08,53.46,65698
treant-protector,-0.17,52.41,24057
windranger,-0.21,44.10,64892
tinker,-0.27,46.46,69157
huskar,-0.32,45.09,63079
dark-seer,-0.33,48.33,21284
warlock,-0.36,54.37,30552
troll-warlord,-0.45,48.48,44745
earth-spirit,-0.50,40.82,12319
shadow-fiend,-0.55,46.44,60128
phantom-lancer,-0.62,44.28,40167
lich,-0.76,53.27,38370
zeus,-0.79,53.14,65886
chaos-knight,-0.80,48.95,33735
templar-assassin,-0.81,43.92,34718
abaddon,-0.89,54.48,35189
alchemist,-0.89,47.42,59764
dragon-knight,-0.98,47.97,36435
drow-ranger,-1.24,49.74,95790
phoenix,-1.32,49.79,22605
sniper,-1.36,49.90,122416
phantom-assassin,-1.38,50.67,162797
necrophos,-1.61,53.04,67915
ember-spirit,-1.62,39.95,31594
clinkz,-1.74,43.89,49132
outworld-devourer,-1.77,48.25,53311
lone-druid,-1.89,38.26,12356
arc-warden,-2.16,41.60,15396
lifestealer,-2.45,46.71,57801
omniknight,-2.66,57.69,67797
spectre,-2.68,52.63,33803
sven,-2.68,52.10,76515
luna,-2.94,52.24,50994
meepo,-3.08,45.19,24613
medusa,-3.44,49.05,38929
juggernaut,-3.95,47.13,96556
morphling,-4.96,44.96,45487
anti-mage,-5.39,43.70,70595
