hero,para,rate,matches
slardar,6.74,52.66,134835
phantom-assassin,4.75,50.48,337213
chaos-knight,4.54,52.49,59313
spirit-breaker,4.12,49.92,139142
crystal-maiden,3.67,47.01,124245
wraith-king,3.61,46.25,144934
ogre-magi,3.53,47.95,119556
riki,3.48,47.79,187794
silencer,3.44,48.46,120052
lion,3.03,54.28,151141
phantom-lancer,2.75,56.53,65064
storm-spirit,2.74,52.71,143893
night-stalker,2.48,51.79,58179
sand-king,2.47,52.29,142933
mirana,2.43,49.73,220188
windranger,2.43,56.72,118900
shadow-shaman,2.27,48.87,80468
nyx-assassin,2.17,51.54,108472
lifestealer,1.98,52.70,124133
faceless-void,1.92,54.01,161483
legion-commander,1.86,52.40,253027
skywrath-mage,1.84,54.84,58700
dragon-knight,1.84,52.05,61540
vengeful-spirit,1.76,49.00,87094
magnus,1.56,54.67,79539
treant-protector,1.50,47.77,40136
pudge,1.48,48.40,353082
axe,1.38,48.65,233537
medusa,1.04,49.27,84908
earthshaker,0.98,51.05,129417
centaur-warrunner,0.97,45.65,77677
weaver,0.86,51.82,92280
batrider,0.62,55.91,36190
tusk,0.58,58.82,42057
disruptor,0.51,49.78,70687
invoker,0.46,54.11,244995
rubick,0.42,54.63,132800
spectre,0.41,45.68,107969
warlock,0.40,45.18,59271
troll-warlord,0.26,51.00,68907
lina,0.21,56.31,86527
puck,0.08,56.53,54199
jakiro,0.01,47.28,53193
tiny,0.01,55.50,87605
witch-doctor,-0.18,50.48,94197
enigma,-0.19,48.45,59942
omniknight,-0.20,40.23,132660
queen-of-pain,-0.21,58.22,68325
morphling,-0.23,52.13,127583
slark,-0.25,49.52,257781
gyrocopter,-0.35,55.78,43125
viper,-0.38,51.38,79777
naga-siren,-0.57,54.12,30858
ancient-apparition,-0.76,49.61,63346
zeus,-0.85,45.61,120152
winter-wyvern,-0.97,53.99,37882
phoenix,-1.13,48.54,45566
bounty-hunter,-1.13,53.83,139440
ember-spirit,-1.21,58.25,60186
bristleback,-1.28,51.26,95689
shadow-demon,-1.29,53.92,46846
necrophos,-1.32,45.06,130679
kunkka,-1.44,51.73,147199
templar-assassin,-1.47,54.48,57602
brewmaster,-1.52,52.23,22246
terrorblade,-1.75,50.53,45319
doom,-1.77,56.09,40302
arc-warden,-1.89,55.97,25262
sven,-1.96,45.13,189251
techies,-2.00,53.53,36682
bloodseeker,-2.05,49.01,156273
dazzle,-2.12,47.73,74360
venomancer,-2.28,47.89,65923
tinker,-2.35,51.73,127549
shadow-fiend,-2.42,51.59,113823
beastmaster,-2.44,52.79,24374
clockwerk,-2.56,48.85,56764
enchantress,-2.60,59.03,33388
timbersaw,-2.66,50.33,144265
huskar,-2.79,52.82,102033
juggernaut,-2.86,49.05,259130
drow-ranger,-2.88,47.78,196189
luna,-2.93,44.40,123249
anti-mage,-2.95,51.80,187055
outworld-devourer,-3.00,48.92,118138
earth-spirit,-3.16,56.71,24098
broodmother,-3.32,58.88,25282
keeper-of-the-light,-3.35,48.64,55988
undying,-3.54,48.13,52790
ursa,-3.63,44.39,119996
elder-titan,-3.68,44.35,45689
underlord,-3.81,44.30,61075
lycan,-4.06,52.02,30703
dark-seer,-4.06,49.01,39206
sniper,-4.75,46.65,226445
oracle,-4.75,55.08,39145
io,-5.06,60.12,16975
pugna,-5.09,51.43,44161
lich,-6.16,43.06,70321
meepo,-6.52,49.49,45897
bane,-6.68,51.08,56998
lone-druid,-6.73,56.50,20319
leshrac,-6.81,51.13,25303
visage,-6.89,52.22,13747
clinkz,-6.91,51.10,88659
abaddon,-6.99,41.48,65615
alchemist,-7.97,47.59,114385
razor,-8.07,50.49,75538
natures-prophet,-8.61,54.15,78012
chen,-10.02,52.71,10826
death-prophet,-15.26,45.57,58334
