hero,para,rate,matches
templar-assassin,4.90,47.93,54490
sniper,4.63,54.42,216531
shadow-fiend,4.25,50.17,111321
juggernaut,3.78,52.40,239662
storm-spirit,3.72,51.53,136910
bloodseeker,3.55,52.76,129196
lifestealer,3.38,50.98,103049
bounty-hunter,3.06,47.96,119982
huskar,2.95,48.03,80283
legion-commander,2.89,50.98,210441
luna,2.86,56.82,113198
pudge,2.70,54.73,250323
outworld-devourer,2.65,51.90,113375
mirana,2.64,53.82,179906
alchemist,2.51,50.51,96932
kunkka,2.49,49.71,109038
slark,2.32,52.55,233048
lycan,2.06,47.73,23675
tusk,2.06,43.36,29208
tiny,2.03,46.41,59608
clinkz,1.98,47.00,71898
ursa,1.95,55.99,93954
drow-ranger,1.93,52.79,179573
viper,1.92,50.36,66085
zeus,1.87,56.01,104406
death-prophet,1.84,48.08,43952
ember-spirit,1.81,42.76,55127
vengeful-spirit,1.81,53.79,73633
gyrocopter,1.77,45.80,37569
razor,1.76,46.87,59248
sven,1.72,55.89,155670
lina,1.59,45.50,72478
riki,1.57,55.66,164926
anti-mage,1.49,48.33,187106
necrophos,1.40,56.10,97212
tinker,1.28,48.63,118084
chaos-knight,1.11,51.34,44648
silencer,1.09,54.73,94165
nyx-assassin,1.04,51.07,66639
troll-warlord,0.88,50.57,57338
weaver,0.85,50.03,75478
terrorblade,0.70,49.91,39295
windranger,0.46,45.82,95172
doom,0.44,44.06,27579
phantom-assassin,0.38,53.00,305263
medusa,0.21,52.34,79930
spectre,0.02,55.50,96471
queen-of-pain,-0.01,42.62,62588
phantom-lancer,-0.43,45.77,57777
rubick,-0.47,46.36,83776
night-stalker,-0.68,50.12,40242
earthshaker,-0.70,50.09,76075
wraith-king,-0.83,55.87,110666
invoker,-0.84,46.73,216097
morphling,-0.94,48.27,121372
slardar,-0.96,51.16,63144
witch-doctor,-1.04,49.89,80975
ogre-magi,-1.20,54.01,87619
dragon-knight,-1.24,49.26,46513
lion,-1.67,47.50,129916
phoenix,-1.88,50.92,33308
enigma,-1.90,51.45,50137
lich,-2.04,53.97,56730
jakiro,-2.05,52.61,40857
shadow-shaman,-2.09,52.09,65362
clockwerk,-2.15,49.76,29986
enchantress,-2.17,39.47,27818
venomancer,-2.23,50.83,54146
axe,-2.47,51.69,123785
bane,-2.49,45.10,43235
warlock,-2.50,54.58,47825
shadow-demon,-2.57,45.17,44666
undying,-2.62,49.76,32112
naga-siren,-2.73,45.28,26296
sand-king,-2.74,48.59,77039
omniknight,-2.86,58.90,101841
leshrac,-2.87,44.79,20423
disruptor,-3.03,49.91,62228
dazzle,-3.15,50.58,64493
skywrath-mage,-3.17,45.65,51014
faceless-void,-3.31,46.41,91866
elder-titan,-3.42,53.06,28844
spirit-breaker,-3.73,51.07,90795
beastmaster,-3.89,45.05,14696
puck,-3.92,42.75,48707
centaur-warrunner,-3.95,53.57,38029
treant-protector,-3.98,51.78,27464
bristleback,-4.05,47.08,53114
brewmaster,-4.76,45.67,15747
crystal-maiden,-4.88,52.92,110371
meepo,-5.26,45.52,43554
underlord,-5.82,51.73,32901
abaddon,-6.36,52.79,43454
pugna,-7.35,43.35,39169
keeper-of-the-light,-7.46,46.89,50008
oracle,-7.76,39.79,36127
lone-druid,-7.97,37.15,15337
ancient-apparition,-8.03,46.90,60598
broodmother,-8.04,36.83,18654
magnus,-8.21,43.28,49620
arc-warden,-8.55,40.17,22777
timbersaw,-8.73,44.98,82981
batrider,-8.92,41.37,23844
dark-seer,-9.96,44.94,23436
winter-wyvern,-9.99,41.83,32233
natures-prophet,-12.35,36.55,68297
earth-spirit,-13.22,36.80,20617
visage,-21.47,35.25,13477
techies,-22.62,35.87,32463
chen,-29.10,30.05,11390
io,-46.60,20.08,24173
