hero,para,rate,matches
phantom-lancer,10.35,58.84,124118
meepo,9.74,56.23,114157
axe,8.56,50.26,506140
winter-wyvern,8.38,57.25,63571
terrorblade,7.93,53.67,77776
chaos-knight,7.87,52.33,110611
naga-siren,7.62,56.76,50249
underlord,7.10,47.51,116486
lycan,6.29,55.82,49408
phantom-assassin,6.08,49.31,815325
broodmother,6.07,62.86,41785
brewmaster,6.03,54.42,35801
beastmaster,4.97,55.02,42963
shadow-demon,4.32,55.21,82515
riki,4.24,46.38,407385
sand-king,3.93,51.26,261509
centaur-warrunner,3.78,45.17,147441
dragon-knight,3.67,51.22,117131
lone-druid,3.36,60.92,38015
troll-warlord,3.25,50.76,148088
undying,3.20,49.73,89217
bristleback,3.19,51.82,203628
sven,3.09,45.72,396997
morphling,3.01,52.07,263756
omniknight,2.91,39.81,265852
tidehunter,2.84,49.67,144265
dark-seer,2.82,50.77,66028
natures-prophet,2.71,59.16,150872
spectre,2.69,44.99,200371
slark,2.61,49.19,582846
treant-protector,2.44,46.48,70985
earthshaker,1.83,49.74,230132
shadow-shaman,1.69,46.87,147660
alchemist,1.57,50.80,269128
magnus,1.49,52.91,138884
kunkka,1.47,51.53,287283
clockwerk,1.32,49.07,101622
windranger,1.24,54.35,241205
elder-titan,1.22,44.89,70748
legion-commander,1.21,50.34,572171
tusk,1.02,57.39,81230
razor,0.94,53.72,131685
abaddon,0.74,43.24,117002
oracle,0.67,56.54,64893
viper,0.66,50.21,148629
venomancer,0.66,47.61,114657
jakiro,0.61,45.86,90017
visage,0.53,54.69,19067
warlock,0.50,43.53,91468
rubick,0.43,52.93,189035
dazzle,0.43,47.26,136978
mirana,0.23,46.96,455174
wraith-king,0.13,43.01,284707
enigma,-0.13,46.79,97372
invoker,-0.15,52.08,521140
arc-warden,-0.21,55.26,44593
crystal-maiden,-0.29,43.53,236694
tiny,-0.37,53.61,171058
anti-mage,-0.38,51.48,399622
enchantress,-0.45,58.70,60238
witch-doctor,-0.58,48.59,158698
gyrocopter,-0.68,53.92,70965
lion,-0.69,50.63,288094
disruptor,-0.73,47.48,119484
vengeful-spirit,-0.75,46.11,148773
sniper,-0.76,46.92,481361
spirit-breaker,-0.80,45.88,273555
phoenix,-0.95,46.95,81665
puck,-0.99,54.26,106868
earth-spirit,-1.08,56.28,46431
io,-1.21,60.98,32186
chen,-1.22,56.22,19228
lich,-1.31,43.61,117599
medusa,-1.36,46.42,150090
shadow-fiend,-1.41,50.45,235546
huskar,-1.44,51.88,229065
night-stalker,-1.47,48.11,106567
leshrac,-1.75,52.25,37892
slardar,-1.76,46.79,269991
faceless-void,-1.77,50.39,302753
templar-assassin,-1.96,52.55,116318
weaver,-1.98,48.69,178012
techies,-2.09,51.82,81899
ancient-apparition,-2.10,47.28,119134
lina,-2.27,53.27,167862
ember-spirit,-2.43,55.91,115809
drow-ranger,-2.49,46.31,392418
queen-of-pain,-2.49,55.27,123599
tinker,-2.50,49.99,272446
pudge,-2.67,44.77,817958
bounty-hunter,-2.67,51.34,273798
batrider,-2.93,52.29,63834
doom,-3.11,53.70,75777
storm-spirit,-3.25,47.99,280656
clinkz,-3.33,51.43,159293
ogre-magi,-3.34,43.13,221946
bane,-3.51,51.17,91716
luna,-3.58,42.47,224760
ursa,-3.75,42.71,266201
bloodseeker,-3.91,46.44,335555
zeus,-4.12,42.49,230646
keeper-of-the-light,-4.21,46.57,184521
lifestealer,-4.32,47.81,255328
nyx-assassin,-4.63,46.48,209751
juggernaut,-4.70,46.50,519760
necrophos,-4.71,41.90,273815
death-prophet,-5.92,48.99,88104
skywrath-mage,-6.28,48.87,118133
outworld-devourer,-6.65,45.49,231632
pugna,-6.86,48.90,83665
silencer,-8.26,41.43,203683
