hero,para,rate,matches
bounty-hunter,4.40,46.82,249498
spirit-breaker,3.18,52.97,189828
winter-wyvern,2.73,46.00,62328
pudge,2.50,52.88,623216
earth-spirit,2.49,41.77,40348
meepo,2.25,47.39,93108
enigma,2.13,51.82,94723
bane,2.02,45.46,82213
bloodseeker,1.87,50.17,282905
ember-spirit,1.85,41.09,101518
chaos-knight,1.81,49.96,80284
lifestealer,1.63,48.39,209963
earthshaker,1.57,49.50,195509
nyx-assassin,1.57,49.61,140152
oracle,1.48,42.09,62878
slark,1.47,50.38,467369
storm-spirit,1.42,48.66,251724
tusk,1.36,41.39,60788
juggernaut,1.33,49.44,466177
legion-commander,1.29,48.46,484707
lion,1.26,47.19,275500
shadow-demon,1.21,45.21,80137
ursa,1.12,53.82,189816
treant-protector,1.10,52.80,56296
wraith-king,1.08,55.25,231406
viper,0.83,48.10,115720
riki,0.80,53.53,354662
ogre-magi,0.68,53.34,194913
venomancer,0.59,50.58,95861
sven,0.58,53.56,306108
kunkka,0.53,47.05,225684
mirana,0.49,50.98,375225
anti-mage,0.41,46.11,368070
morphling,0.39,47.22,235911
tinker,0.37,46.49,248239
lich,0.35,53.60,101473
alchemist,0.34,47.73,198280
templar-assassin,0.30,44.14,96686
arc-warden,0.16,42.32,37487
troll-warlord,0.10,48.47,118816
tiny,0.09,43.84,121970
spectre,0.09,53.84,166246
outworld-devourer,0.05,48.87,190860
huskar,0.03,44.97,162148
terrorblade,0.01,47.86,64293
omniknight,-0.15,58.91,227677
invoker,-0.21,45.34,456074
rubick,-0.24,44.78,189966
crystal-maiden,-0.25,53.81,231440
puck,-0.27,42.70,93224
ancient-apparition,-0.31,49.14,108302
pugna,-0.33,44.95,65836
clinkz,-0.34,44.25,125210
phantom-lancer,-0.37,44.12,102231
silencer,-0.37,52.25,167288
zeus,-0.42,53.07,186837
dragon-knight,-0.43,47.97,79439
chen,-0.49,40.53,17014
night-stalker,-0.62,48.45,75003
phantom-assassin,-0.72,50.73,635226
sand-king,-0.77,47.89,180002
beastmaster,-0.81,44.82,30030
necrophos,-0.83,53.19,197018
faceless-void,-0.86,45.90,193434
axe,-0.90,50.83,313532
shadow-shaman,-0.90,51.03,132033
lone-druid,-0.91,38.39,28833
abaddon,-0.96,54.17,83492
skywrath-mage,-1.02,44.99,91551
centaur-warrunner,-1.07,53.50,80180
naga-siren,-1.09,44.37,42195
techies,-1.13,44.17,67488
luna,-1.20,52.91,193329
dazzle,-1.46,49.79,125962
queen-of-pain,-1.48,40.36,103129
doom,-1.49,41.57,55159
witch-doctor,-1.55,47.96,143968
visage,-1.62,42.51,16136
sniper,-1.64,49.48,424881
clockwerk,-1.67,48.33,57944
brewmaster,-1.81,45.42,24015
disruptor,-1.95,48.79,112789
lycan,-1.96,44.19,39669
undying,-2.06,48.38,58124
medusa,-2.07,49.48,124149
weaver,-2.17,46.87,132521
phoenix,-2.31,49.03,58780
slardar,-2.48,48.71,149261
lina,-2.49,42.04,138236
keeper-of-the-light,-2.56,47.71,107318
shadow-fiend,-2.58,45.23,202375
vengeful-spirit,-2.58,49.81,133197
warlock,-2.74,52.81,79280
windranger,-2.86,42.67,184497
jakiro,-2.88,50.51,79238
bristleback,-3.16,45.87,103328
natures-prophet,-3.22,38.77,129609
elder-titan,-3.24,51.53,54875
magnus,-3.27,43.97,89635
drow-ranger,-3.31,48.43,319880
gyrocopter,-3.40,41.85,57445
enchantress,-3.46,37.37,49242
underlord,-3.51,51.37,66872
death-prophet,-3.82,43.78,68707
razor,-3.89,42.65,98807
io,-3.94,34.59,28552
dark-seer,-4.24,46.17,40187
batrider,-4.76,41.65,42203
broodmother,-4.83,36.57,27861
leshrac,-5.64,41.92,31147
tidehunter,-8.73,44.98,82981
