hero,para,rate,matches
outworld-devourer,6.42,50.51,227947
terrorblade,5.41,51.08,76050
drow-ranger,5.35,48.70,438872
phantom-assassin,5.07,47.52,863202
sven,4.69,45.12,385868
vengeful-spirit,4.20,47.09,164856
dazzle,3.99,47.62,148553
slardar,3.71,48.09,235446
omniknight,3.59,38.83,274698
shadow-fiend,3.56,51.67,245427
disruptor,3.40,48.14,127893
luna,3.32,44.22,220969
underlord,3.26,44.52,98317
winter-wyvern,3.26,53.23,67124
lich,2.74,44.12,117529
elder-titan,2.64,44.24,65048
tidehunter,2.64,48.27,127549
timbersaw,2.63,50.01,272446
jakiro,2.62,45.48,91994
morphling,2.54,50.53,271200
magnus,2.52,52.15,135922
ancient-apparition,2.49,48.19,111499
axe,2.47,46.15,421993
abaddon,2.11,42.56,113722
faceless-void,2.09,51.07,295406
riki,2.03,44.12,435228
venomancer,1.99,46.95,110506
windranger,1.97,53.45,254512
bloodseeker,1.95,47.98,336662
dark-seer,1.84,48.99,65708
kunkka,1.83,50.42,294254
keeper-of-the-light,1.71,48.17,115347
enigma,1.61,46.31,100285
necrophos,1.58,43.40,247870
crystal-maiden,1.57,43.08,260314
natures-prophet,1.56,57.23,164530
sniper,1.56,46.73,522010
razor,1.46,52.72,120915
mirana,1.44,46.24,502575
phoenix,1.39,46.77,79339
earthshaker,1.33,48.21,229607
undying,1.24,47.51,77725
shadow-demon,1.24,52.30,87217
troll-warlord,1.24,48.48,144885
oracle,1.14,55.53,71038
gyrocopter,1.14,53.63,70255
enchantress,1.00,58.31,62123
ogre-magi,0.99,43.80,226382
warlock,0.79,42.41,91823
brewmaster,0.77,50.45,35376
witch-doctor,0.76,47.96,161045
rubick,0.69,51.79,198628
silencer,0.59,44.16,194600
sand-king,0.58,48.33,242881
lion,0.44,49.93,300816
death-prophet,0.38,51.00,85100
lone-druid,0.33,57.90,36877
io,0.32,60.72,32636
earth-spirit,0.28,55.80,47261
bounty-hunter,0.15,51.56,282956
ursa,-0.04,43.11,237777
broodmother,-0.14,57.95,41510
shadow-shaman,-0.15,44.76,156516
dragon-knight,-0.24,48.02,105855
meepo,-0.25,49.85,124218
leshrac,-0.28,51.76,39029
chen,-0.50,55.39,19539
bristleback,-0.66,48.63,176238
lycan,-0.67,50.91,48997
queen-of-pain,-0.67,55.06,131060
beastmaster,-0.71,50.78,41799
lina,-0.76,52.83,163629
clinkz,-0.99,51.42,163450
huskar,-1.01,50.85,214713
puck,-1.02,52.99,128667
ember-spirit,-1.05,55.47,114830
tiny,-1.06,51.98,169751
doom,-1.08,53.58,68934
viper,-1.25,48.00,145517
techies,-1.27,51.00,84290
legion-commander,-1.29,47.84,605086
chaos-knight,-1.41,46.58,101604
skywrath-mage,-1.42,50.15,109210
naga-siren,-1.50,50.70,51941
invoker,-1.92,49.91,668601
weaver,-1.97,47.45,176089
bane,-1.98,50.74,98978
phantom-lancer,-2.01,51.01,120211
centaur-warrunner,-2.17,41.36,131280
batrider,-2.38,51.35,66021
pugna,-2.41,49.99,87750
zeus,-2.66,41.92,244816
templar-assassin,-2.73,50.90,115426
medusa,-2.76,44.53,147959
visage,-2.83,51.63,22556
arc-warden,-2.91,52.54,52630
juggernaut,-2.99,46.10,522912
tusk,-3.04,53.87,78733
treant-protector,-3.07,42.76,70644
spirit-breaker,-3.51,43.41,283776
wraith-king,-3.52,40.25,284365
clockwerk,-3.60,45.46,118207
alchemist,-4.04,46.77,247029
spectre,-4.06,40.83,209806
night-stalker,-4.06,45.63,106597
storm-spirit,-4.15,46.33,332195
nyx-assassin,-4.71,45.23,226787
slark,-5.01,44.33,550797
anti-mage,-5.32,47.72,435723
lifestealer,-5.42,46.06,246366
pudge,-5.63,42.22,822352
