hero,para,rate,matches
earth-spirit,6.73,42.19,44008
oracle,5.56,42.48,62834
shadow-demon,5.34,45.74,79092
io,5.02,36.60,26184
slark,3.97,50.30,534405
chen,3.81,41.02,16372
bounty-hunter,3.56,45.14,273748
anti-mage,3.44,46.20,413875
faceless-void,3.18,46.47,291582
visage,2.73,43.12,18603
winter-wyvern,2.42,44.58,63944
legion-commander,2.02,47.52,559358
nyx-assassin,1.93,48.49,171150
bane,1.86,44.12,84166
rubick,1.85,44.44,194867
clockwerk,1.61,48.65,84391
disruptor,1.60,49.27,110274
juggernaut,1.60,48.28,493301
omniknight,1.60,58.69,247615
pudge,1.60,51.13,596709
lifestealer,1.57,47.07,238066
lion,1.53,46.04,277976
batrider,1.41,43.08,54170
magnus,1.41,44.82,97148
ogre-magi,1.28,52.37,206170
tidehunter,1.28,48.63,118084
morphling,1.26,46.35,230538
phoenix,1.01,49.41,70462
ancient-apparition,1.00,48.50,106346
lone-druid,0.80,37.84,32790
keeper-of-the-light,0.73,48.04,104885
spirit-breaker,0.73,50.44,242951
wraith-king,0.60,53.71,275683
enigma,0.59,49.76,91221
treant-protector,0.55,51.23,61750
timbersaw,0.37,46.49,248239
ursa,0.28,52.11,218502
warlock,0.27,53.17,77495
centaur-warrunner,0.23,52.94,121095
axe,0.21,50.13,413237
beastmaster,0.21,44.02,38219
mirana,0.19,49.56,385621
clinkz,0.16,43.22,132978
pugna,0.10,43.89,63895
skywrath-mage,0.09,44.23,87778
bloodseeker,0.05,48.00,303445
riki,0.02,51.85,399910
spectre,-0.06,52.50,177247
dazzle,-0.20,49.16,130873
natures-prophet,-0.27,38.74,144037
terrorblade,-0.27,46.46,69157
sven,-0.32,51.83,370695
earthshaker,-0.38,47.29,216481
silencer,-0.38,50.98,158324
crystal-maiden,-0.41,52.47,230896
weaver,-0.52,46.40,150555
necrophos,-0.60,52.05,206211
dark-seer,-0.63,46.65,58181
undying,-0.75,47.76,71869
night-stalker,-0.77,47.12,88740
naga-siren,-0.77,43.27,43308
tusk,-0.95,39.23,68786
abaddon,-0.98,52.91,99835
shadow-shaman,-1.15,49.65,132411
sand-king,-1.31,46.37,223590
luna,-1.34,51.58,190471
techies,-1.36,42.83,76613
witch-doctor,-1.42,46.77,141639
bristleback,-1.55,45.38,167061
slardar,-1.65,47.88,226598
underlord,-1.71,51.08,89186
elder-titan,-1.75,51.08,60016
troll-warlord,-1.84,46.29,129107
lycan,-1.87,43.00,43552
lich,-1.87,51.17,103318
chaos-knight,-1.92,46.88,91725
vengeful-spirit,-2.12,48.80,136294
jakiro,-2.13,49.66,80370
venomancer,-2.30,47.89,93357
broodmother,-2.33,36.36,36629
dragon-knight,-2.35,45.81,82119
enchantress,-2.70,36.50,51234
brewmaster,-2.78,43.75,29383
kunkka,-2.78,44.27,221049
doom,-2.80,39.82,62420
phantom-assassin,-2.91,48.38,664221
phantom-lancer,-3.01,41.74,110167
medusa,-3.21,47.67,110890
huskar,-3.55,42.15,170220
lina,-3.78,40.28,111385
meepo,-4.06,43.26,80386
tiny,-4.09,40.82,130187
windranger,-4.17,40.90,174871
death-prophet,-4.73,42.17,48146
drow-ranger,-4.84,46.46,335902
queen-of-pain,-5.02,37.74,58266
leshrac,-5.08,40.98,29157
razor,-5.12,40.91,88035
puck,-5.18,39.42,44823
viper,-5.19,44.03,100841
zeus,-5.30,49.26,121373
gyrocopter,-6.02,39.54,57351
arc-warden,-6.05,38.53,31507
sniper,-6.94,45.63,361537
alchemist,-8.37,42.43,122860
invoker,-8.39,40.47,173649
ember-spirit,-8.44,35.82,65384
outworld-devourer,-8.95,43.32,76656
storm-spirit,-9.34,42.35,75912
templar-assassin,-9.90,38.52,47868
shadow-fiend,-11.27,40.07,81216
