hero,para,rate,matches
phantom-lancer,3.69,51.34,101466
troll-warlord,3.46,46.93,116487
arc-warden,3.23,53.25,33604
naga-siren,3.13,50.46,41113
faceless-void,3.07,48.94,185762
ursa,2.95,41.85,176580
nyx-assassin,2.87,46.24,121119
elder-titan,2.87,41.79,45736
puck,2.67,52.37,70708
earth-spirit,2.62,54.51,27920
morphling,2.55,47.94,155553
slark,2.55,45.28,342449
lycan,2.38,49.87,44253
anti-mage,2.33,48.98,256141
chen,2.29,54.36,13598
visage,2.28,51.75,17302
broodmother,2.27,56.80,36130
riki,2.21,41.67,293326
pugna,1.93,49.63,56217
storm-spirit,1.86,46.66,166541
clinkz,1.79,50.28,122403
bounty-hunter,1.70,49.77,189909
bloodseeker,1.69,45.29,237038
phantom-assassin,1.69,43.44,540770
axe,1.64,43.23,282263
meepo,1.63,48.20,67801
queen-of-pain,1.60,53.75,89740
lone-druid,1.57,56.07,27373
chaos-knight,1.39,45.34,85542
ancient-apparition,1.32,45.09,71783
night-stalker,1.25,45.59,82095
ember-spirit,1.22,54.20,81527
bane,1.19,49.81,65698
tinker,1.17,48.02,169751
beastmaster,1.16,49.17,29179
skywrath-mage,1.14,48.89,75767
io,0.93,58.61,22441
leshrac,0.90,49.81,32384
spirit-breaker,0.86,42.85,187894
dark-seer,0.80,45.94,45989
oracle,0.71,52.75,42368
alchemist,0.58,46.48,154684
terrorblade,0.54,46.17,61874
legion-commander,0.54,46.18,366421
shadow-demon,0.51,49.37,47446
outworld-devourer,0.50,45.16,129159
luna,0.48,40.53,155098
kunkka,0.48,47.21,175853
pudge,0.46,42.43,471781
timbersaw,0.43,46.39,171058
abaddon,0.37,39.38,81047
tusk,0.37,53.24,62505
techies,0.35,49.29,61029
earthshaker,0.26,45.17,160470
natures-prophet,0.24,53.97,108829
drow-ranger,0.24,43.82,289373
keeper-of-the-light,0.23,44.93,67747
weaver,0.21,45.97,133779
lina,0.17,50.79,118023
magnus,0.12,48.38,88858
shadow-shaman,0.09,42.37,110865
gyrocopter,0.03,50.50,61196
tidehunter,-0.01,44.50,87605
death-prophet,-0.17,48.19,65406
brewmaster,-0.18,47.44,29169
mirana,-0.19,43.00,280382
sand-king,-0.19,45.44,156425
doom,-0.48,51.39,49263
rubick,-0.54,48.63,117526
winter-wyvern,-0.57,48.73,46334
razor,-0.60,49.13,94857
slardar,-0.60,43.59,156798
silencer,-0.60,41.17,121087
huskar,-0.61,48.53,166541
lion,-0.65,46.87,180684
warlock,-0.65,39.36,65582
lich,-0.66,40.21,84780
shadow-fiend,-0.76,47.00,156623
invoker,-0.81,47.96,308108
windranger,-0.82,49.47,168405
sven,-0.99,40.22,263141
centaur-warrunner,-1.15,39.36,92309
clockwerk,-1.20,44.10,66489
crystal-maiden,-1.20,39.47,169211
medusa,-1.25,42.75,104914
vengeful-spirit,-1.28,42.15,108609
sniper,-1.29,42.94,361425
templar-assassin,-1.33,49.13,79972
disruptor,-1.34,43.45,75555
dazzle,-1.39,42.68,91568
dragon-knight,-1.39,44.98,86887
batrider,-1.40,49.37,42568
zeus,-1.42,40.02,157320
treant-protector,-1.51,41.00,50481
enigma,-1.54,42.41,70456
omniknight,-1.54,34.60,163034
juggernaut,-1.58,44.29,333694
venomancer,-1.65,42.80,82627
underlord,-1.96,39.84,69872
jakiro,-2.33,40.86,64779
ogre-magi,-2.46,39.89,134812
undying,-2.48,43.30,60332
phoenix,-2.51,42.52,52147
enchantress,-2.66,53.77,50401
witch-doctor,-2.83,43.80,109730
viper,-3.79,44.33,118640
spectre,-4.00,38.49,122355
necrophos,-4.01,38.65,163575
wraith-king,-4.54,37.48,200057
bristleback,-4.61,44.28,135333
lifestealer,-6.58,43.13,176436
