hero,para,rate,matches
io,8.17,35.24,42083
broodmother,5.99,36.97,29494
chen,5.21,39.04,11426
naga-siren,4.23,42.86,32905
lycan,4.06,43.01,34650
brewmaster,3.50,43.98,22651
doom,3.33,39.82,39113
enchantress,2.91,36.19,41106
ursa,2.88,50.84,138825
gyrocopter,2.82,40.74,48102
terrorblade,2.81,45.31,48709
juggernaut,2.70,46.21,259039
oracle,2.64,38.83,36516
phantom-lancer,2.49,41.57,81396
abaddon,2.29,52.07,63787
enigma,2.23,47.98,57727
meepo,2.21,43.53,52985
chaos-knight,2.21,46.27,63577
anti-mage,2.20,43.09,212787
winter-wyvern,2.11,41.91,40484
ancient-apparition,2.08,46.44,62042
spectre,2.08,51.03,96237
tidehunter,2.03,46.41,59608
warlock,1.97,51.49,55305
lifestealer,1.95,44.68,129754
beastmaster,1.89,42.22,23333
troll-warlord,1.86,45.46,93624
lich,1.86,50.53,71922
wraith-king,1.74,51.74,150302
phoenix,1.70,47.17,42314
bristleback,1.67,44.31,96369
visage,1.67,40.18,14182
razor,1.57,41.29,75865
viper,1.55,44.60,95100
elder-titan,1.37,50.13,35158
sven,1.34,50.11,188888
natures-prophet,1.33,36.94,89662
leshrac,1.30,41.23,27108
dark-seer,1.25,44.97,36968
night-stalker,1.23,45.52,63146
witch-doctor,1.17,45.45,92629
lone-druid,1.16,35.60,22090
bloodseeker,1.15,45.97,193233
dazzle,1.10,47.23,78151
treant-protector,0.95,48.87,41715
luna,0.94,50.21,122226
dragon-knight,0.94,44.80,61801
magnus,0.93,42.10,66423
necrophos,0.92,50.28,136198
weaver,0.89,44.52,108586
riki,0.79,49.69,246735
phantom-assassin,0.76,47.65,421598
venomancer,0.73,46.82,70486
huskar,0.69,41.51,130267
omniknight,0.67,55.63,135991
jakiro,0.66,48.52,54353
batrider,0.64,40.28,34682
bane,0.56,41.07,57715
ogre-magi,0.44,49.38,111478
morphling,0.44,43.45,122566
silencer,0.41,48.83,104759
clinkz,0.33,40.81,99610
undying,0.31,45.73,46585
skywrath-mage,0.23,41.80,64603
tusk,0.19,37.28,51132
bounty-hunter,0.13,41.17,162888
timbersaw,0.09,43.84,121970
sniper,0.08,46.54,299726
vengeful-spirit,0.07,47.35,89227
shadow-demon,-0.07,40.91,40454
medusa,-0.07,46.68,85129
death-prophet,-0.13,41.71,52335
pugna,-0.20,41.28,48864
ember-spirit,-0.21,36.66,62669
underlord,-0.28,49.29,53528
centaur-warrunner,-0.28,50.14,90488
slark,-0.32,45.70,265113
keeper-of-the-light,-0.37,45.00,63795
earthshaker,-0.37,44.78,125930
axe,-0.45,47.27,214750
crystal-maiden,-0.50,49.90,154653
techies,-0.52,40.73,77706
mirana,-0.58,46.65,228489
legion-commander,-0.62,43.79,298096
spirit-breaker,-0.66,47.22,142171
lion,-0.68,42.55,153669
disruptor,-0.69,45.64,65276
shadow-shaman,-0.75,47.33,93757
alchemist,-0.84,43.42,122802
zeus,-0.90,49.04,126182
lina,-0.99,39.02,97280
queen-of-pain,-1.13,36.91,71580
sand-king,-1.20,43.93,119454
clockwerk,-1.26,44.78,50683
slardar,-1.33,45.53,115717
rubick,-1.47,40.55,102792
faceless-void,-1.59,41.86,129876
arc-warden,-1.66,37.94,25796
windranger,-1.73,39.51,134707
earth-spirit,-1.75,36.48,22995
pudge,-2.18,46.74,382297
nyx-assassin,-2.39,43.97,99469
templar-assassin,-2.45,39.31,61841
shadow-fiend,-2.98,41.39,121370
kunkka,-3.39,41.57,132779
storm-spirit,-3.74,42.54,123510
puck,-3.77,37.65,54710
drow-ranger,-3.86,44.50,215397
tinker,-4.09,40.82,130187
outworld-devourer,-4.19,43.17,96861
invoker,-4.66,39.75,230507
