hero,para,rate,matches
spectre,6.50,51.57,52716
spirit-breaker,4.23,53.04,80290
wraith-king,3.59,49.26,82956
centaur-warrunner,3.25,49.70,40923
ogre-magi,2.68,50.57,58801
tinker,2.42,57.24,70644
storm-spirit,2.33,55.50,70817
zeus,2.32,50.07,66409
night-stalker,2.23,54.66,36755
axe,2.13,52.02,114872
mirana,2.07,52.56,113001
nyx-assassin,1.98,54.44,54277
morphling,1.73,56.13,64276
earth-spirit,1.52,62.31,13006
phantom-assassin,1.49,51.89,197693
abaddon,1.44,48.20,37828
dragon-knight,1.25,54.72,36677
tiny,1.08,59.00,50481
legion-commander,1.07,54.95,146117
puck,1.05,59.97,28154
elder-titan,0.95,49.44,21610
pudge,0.95,51.11,196412
queen-of-pain,0.91,61.73,38533
sven,0.87,49.39,99738
lifestealer,0.75,55.01,70622
templar-assassin,0.69,58.57,33066
bounty-hunter,0.56,57.66,84246
earthshaker,0.52,53.76,62945
techies,0.51,57.81,25071
lion,0.45,55.85,77793
riki,0.40,49.31,112893
weaver,0.40,54.53,55809
medusa,0.37,51.89,44739
clinkz,0.22,57.91,52728
shadow-fiend,0.21,55.90,60761
io,0.21,66.15,10481
clockwerk,0.19,53.17,30528
omniknight,0.15,43.24,72605
windranger,0.10,58.31,68928
arc-warden,0.08,59.95,16702
troll-warlord,0.06,53.83,43363
crystal-maiden,0.02,48.28,74464
underlord,0.01,48.99,32209
venomancer,-0.08,51.90,37911
bristleback,-0.10,54.79,54518
necrophos,-0.13,48.53,71355
ancient-apparition,-0.15,52.85,35611
natures-prophet,-0.18,61.95,49287
vengeful-spirit,-0.18,51.01,47277
bane,-0.20,57.51,32207
kunkka,-0.28,55.25,74303
skywrath-mage,-0.30,56.58,33417
anti-mage,-0.31,56.11,104724
faceless-void,-0.33,55.72,77862
luna,-0.35,48.50,64362
sniper,-0.35,51.74,131881
bloodseeker,-0.39,52.77,93892
invoker,-0.45,56.51,127427
winter-wyvern,-0.48,57.14,22350
silencer,-0.49,49.54,53879
tusk,-0.51,60.99,25709
shadow-demon,-0.55,57.20,21162
sand-king,-0.62,53.63,67689
lone-druid,-0.65,62.94,11991
razor,-0.77,57.37,41268
chaos-knight,-0.90,52.67,35304
lich,-0.90,48.37,39191
lycan,-0.92,56.59,20225
pugna,-0.92,56.57,26173
alchemist,-0.99,54.10,63401
enchantress,-1.02,62.73,22310
magnus,-1.05,56.15,39552
keeper-of-the-light,-1.07,52.69,30250
disruptor,-1.11,51.89,34707
beastmaster,-1.13,56.37,13310
drow-ranger,-1.15,51.54,109293
enigma,-1.17,50.88,32236
lina,-1.24,58.33,50052
viper,-1.30,53.80,48128
ember-spirit,-1.30,60.97,34015
tidehunter,-1.33,52.23,40136
juggernaut,-1.48,52.64,132109
rubick,-1.49,56.45,49552
slardar,-1.52,51.48,66372
witch-doctor,-1.53,52.69,50566
doom,-1.55,59.03,22060
visage,-1.56,58.04,9509
gyrocopter,-1.63,57.89,27057
huskar,-1.83,56.19,63239
timbersaw,-2.03,53.52,70985
shadow-shaman,-2.07,49.68,49651
undying,-2.18,51.68,28619
warlock,-2.29,46.83,30771
batrider,-2.47,57.00,20735
brewmaster,-2.52,54.54,14947
chen,-2.52,59.85,6401
jakiro,-2.60,48.91,30628
leshrac,-2.65,56.23,16316
broodmother,-2.72,61.93,17449
ursa,-2.74,47.65,70330
outworld-devourer,-2.76,51.90,55480
naga-siren,-3.19,55.51,19191
oracle,-3.19,58.73,21388
dark-seer,-3.22,52.27,22624
slark,-3.23,50.88,139007
meepo,-3.29,54.02,25123
terrorblade,-3.30,52.56,27344
dazzle,-3.37,49.96,43367
phantom-lancer,-3.55,55.85,40538
phoenix,-3.62,50.15,23390
death-prophet,-5.29,53.69,30533
